"Base","Missing","SourceNumber","Source","Created"
"'Å¸Á¶·¹ÀÎÁ®_³²","23","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_23.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","24","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_24.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","25","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_25.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","26","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_26.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","27","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_27.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","28","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_28.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","29","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_29.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","30","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_30.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","31","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_31.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","32","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_32.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","33","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_33.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","34","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_34.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","35","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_35.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","36","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_36.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","37","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_37.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","38","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_38.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","39","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_39.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","40","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_40.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","41","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_41.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","42","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_42.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","43","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_43.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","44","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_44.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","45","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_45.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","46","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_46.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","47","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_47.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","48","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_48.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","49","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_49.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","50","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_50.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","51","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_51.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","52","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_52.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","53","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_53.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","54","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_54.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","55","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_55.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","56","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_56.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","57","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_57.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","58","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_58.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","59","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_59.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","60","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_60.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","61","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_61.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","62","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_62.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","63","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_63.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","64","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_64.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","65","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_65.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","66","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_66.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","67","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_67.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","68","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_68.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","69","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_69.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","70","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_70.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","71","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_71.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","72","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_72.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","73","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_73.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","74","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_74.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","75","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_75.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","76","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_76.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","77","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_77.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","78","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_78.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","79","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_79.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","80","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_80.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","81","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_81.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","82","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_82.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","83","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_83.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","84","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_84.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","85","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_85.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","86","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_86.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","87","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_87.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","88","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_88.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","89","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_89.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","90","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_90.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","91","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_91.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","92","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_92.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","93","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_93.pal"
"'Å¸Á¶·¹ÀÎÁ®_³²","94","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\'Å¸Á¶·¹ÀÎÁ®_³²_94.pal"
