Base,WhiteCloth,DetailRed,DetailGold,DetailPurple,DetailGreen,Keep,Special
meister_riding_³²,16,2,2,10,38,187,1
meister_riding_¿©,16,2,2,10,48,177,1
meister_³²,16,2,2,10,38,187,1
meister_¿©,16,2,2,10,48,177,1
merchant_female,15,0,2,3,57,178,1
merchant_female_riding,15,0,2,3,57,178,1
merchant_male,14,0,2,3,58,178,1
merchant_male_riding,14,0,2,3,58,178,1
minstrel_male,18,2,2,7,61,165,1
monk_female,10,1,1,0,128,115,1
monk_female_riding,10,1,1,0,128,115,1
monk_male,18,1,2,3,47,184,1
monk_male_riding,18,1,2,3,47,184,1
new_peco_crusader_female,17,1,2,4,66,165,1
new_peco_crusader_male,19,1,2,9,60,164,1
night_watch_female,12,1,1,10,30,201,1
night_watch_female_riding,12,1,1,10,30,201,1
night_watch_male,11,1,1,10,40,192,1
night_watch_male_riding,11,1,1,10,40,192,1
night_watch_riding_³²,11,1,1,10,40,192,1
night_watch_riding_¿©,12,1,1,10,30,201,1
night_watch_³²,11,1,1,10,40,192,1
night_watch_¿©,12,1,1,10,30,201,1
ninja_female,12,1,2,14,28,198,1
ninja_male,13,1,2,11,37,191,1
oboro_female,12,1,2,14,28,198,1
oboro_¿©,12,1,2,14,28,198,1
ostrich_archer_female,13,0,1,9,49,183,1
ostrich_archer_male,13,0,2,3,52,185,1
ostrich_bard_female,12,1,2,13,9,218,1
ostrich_bard_male,13,1,2,3,48,188,1
ostrich_clown_male,13,1,2,3,48,188,1
ostrich_dancer_female,12,1,2,13,9,218,1
ostrich_dancer_male,13,1,2,3,48,188,1
ostrich_hunter_female,12,0,2,0,72,169,1
ostrich_hunter_male,13,1,2,3,48,188,1
ostrich_minstrel_male,18,2,2,7,61,165,1
ostrich_sniper_female,12,0,2,0,72,169,1
ostrich_sniper_male,13,1,2,3,48,188,1
ostrich_wanderer_female,18,1,2,7,51,176,1
paladin_female,17,1,2,4,66,165,1
paladin_male,19,1,2,9,60,164,1
peco_gunslinger_female,16,1,2,3,52,181,1
peco_gunslinger_male,16,1,2,3,52,181,1
peco_paladin_female,17,1,2,4,66,165,1
peco_paladin_male,19,1,2,9,60,164,1
peco_swordman_female,18,2,2,3,42,188,1
peco_swordman_male,20,1,2,3,46,183,1
priest_female,10,1,1,0,128,115,1
priest_female_riding,10,1,1,0,128,115,1
priest_male,18,1,2,3,47,184,1
priest_male_riding,18,1,2,3,47,184,1
professor_female,20,0,2,0,65,168,1
professor_male,14,0,2,0,58,181,1
rebellion_female,14,0,2,0,76,163,1
rebellion_female_riding,14,0,2,0,76,163,1
rebellion_male,13,0,2,0,63,177,1
rebellion_male_riding,13,0,2,0,63,177,1
rogue_female,16,0,2,0,52,185,1
rogue_male,13,0,2,0,63,177,1
royal_guard_female,17,1,2,7,42,186,1
royal_guard_male,14,1,2,7,48,183,1
rune_knight_female,19,1,2,7,41,185,1
rune_knight_female_riding,19,1,2,7,41,185,1
rune_knight_male,19,1,2,7,65,161,1
rune_knight_male_riding,19,1,2,7,65,161,1
sage_female,20,0,2,0,65,168,1
sage_male,14,0,2,0,58,181,1
shadow_chaser_female,15,1,2,3,43,191,1
shadow_chaser_male,16,2,2,6,33,196,1
shadow_cross_female,19,1,2,6,41,186,1
shadow_cross_female_riding,19,1,2,6,41,186,1
shadow_cross_male,18,1,2,6,27,201,1
shadow_cross_male_riding,18,1,2,6,27,201,1
shadow_cross_riding_³²,18,1,2,6,27,201,1
shadow_cross_riding_¿©,19,1,2,6,41,186,1
shadow_cross_³²,18,1,2,6,27,201,1
shadow_cross_¿©,19,1,2,6,41,186,1
shinkiro_male,13,1,2,11,37,191,1
shinkiro_male_riding,13,1,2,11,37,191,1
shinkiro_riding_³²,13,1,2,11,37,191,1
shinkiro_³²,13,1,2,11,37,191,1
shiranui_female,12,1,2,14,28,198,1
shiranui_female_riding,12,1,2,14,28,198,1
shiranui_riding_¿©,12,1,2,14,28,198,1
shiranui_¿©,12,1,2,14,28,198,1
sky_emperor2_³²,15,1,1,6,55,177,1
sky_emperor2_¿©,19,0,2,7,41,186,1
sky_emperor_female,19,0,2,7,41,186,1
sky_emperor_female_riding,19,0,2,7,41,186,1
sky_emperor_male,15,1,1,6,55,177,1
sky_emperor_male_riding,15,1,1,6,55,177,1
sky_emperor_riding_³²,15,1,1,6,55,177,1
sky_emperor_riding_¿©,19,0,2,7,41,186,1
sky_emperor_³²,15,1,1,6,55,177,1
sky_emperor_¿©,19,0,2,7,41,186,1
sniper_female,12,0,2,0,72,169,1
sniper_male,13,1,2,3,48,188,1
sorcerer_female,19,1,2,0,36,197,1
sorcerer_male,16,2,2,7,38,190,1
soul_ascetic_female,16,2,5,11,35,186,1
soul_ascetic_female_riding,16,2,5,11,35,186,1
soul_ascetic_male,16,2,5,11,35,186,1
soul_ascetic_male_riding,16,2,5,11,35,186,1
soul_ascetic_riding_³²,16,2,5,11,35,186,1
soul_ascetic_riding_¿©,16,2,5,11,35,186,1
soul_ascetic_³²,16,2,5,11,35,186,1
soul_ascetic_¿©,16,2,5,11,35,186,1
soul_linker_female,19,0,2,7,41,186,1
soul_linker_male,15,1,1,6,55,177,1
stalker_female,17,1,2,4,66,165,1
stalker_male,19,1,2,9,60,164,1
summoner_female,19,0,2,7,41,186,1
summoner_female_riding,19,0,2,7,41,186,1
summoner_male,15,1,1,6,55,177,1
summoner_male_riding,15,1,1,6,55,177,1
summoner_³²,17,2,2,9,38,187,1
summoner_¿©,21,1,2,13,36,182,1
super_novice_female,16,0,2,6,43,188,1
super_novice_female_riding,16,0,2,6,43,188,1
super_novice_male,16,0,2,6,43,188,1
super_novice_male_riding,16,0,2,6,43,188,1
sura_female,15,1,2,7,58,172,1
sura_female_riding,15,1,2,7,58,172,1
sura_male,16,1,2,7,53,176,1
sura_male_riding,16,1,2,7,53,176,1
swordman_female,18,2,2,3,42,188,1
swordman_male,20,1,2,3,46,183,1
taekwon_female,19,0,2,7,41,186,1
taekwon_female_riding,19,0,2,7,41,186,1
taekwon_male,15,1,1,6,55,177,1
taekwon_male_riding,15,1,1,6,55,177,1
thief_female,12,0,2,3,59,179,1
thief_male,17,1,2,7,38,190,1
trans_high_wizard_female,20,0,2,0,65,168,1
trans_high_wizard_male,14,0,2,0,58,181,1
trans_magician_female,17,1,2,6,38,191,1
trans_magician_male,22,1,2,3,50,177,1
trans_professor_female,20,0,2,0,65,168,1
trans_professor_male,14,0,2,0,58,181,1
trans_sage_female,20,0,2,0,65,168,1
trans_sage_male,14,0,2,0,58,181,1
trans_sorcerer_female,19,1,2,0,36,197,1
trans_sorcerer_male,16,2,2,7,38,190,1
trans_warlock_female,17,2,3,7,52,174,1
trans_warlock_male,17,3,3,10,47,175,1
trans_wizard_female,20,0,2,0,65,168,1
trans_wizard_male,14,0,2,0,58,181,1
troubadour_male,13,1,2,3,48,188,1
troubadour_male_riding,13,1,2,3,48,188,1
troubadour_riding_³²,13,1,2,3,48,188,1
troubadour_³²,13,1,2,3,48,188,1
trouvere_female,18,1,2,7,51,176,1
trouvere_female_riding,18,1,2,7,51,176,1
trouvere_riding_¿©,18,1,2,7,51,176,1
trouvere_¿©,18,1,2,7,51,176,1
wanderer_female,18,1,2,7,51,176,1
warlock_female,17,2,3,7,52,174,1
warlock_male,17,3,3,10,47,175,1
whitesmith_female,14,0,2,0,76,163,1
whitesmith_female_riding,14,0,2,0,76,163,1
whitesmith_male,14,0,2,0,58,181,1
whitesmith_male_riding,14,0,2,0,58,181,1
windhawk_female,12,1,1,10,30,201,1
windhawk_female_riding,12,1,1,10,30,201,1
windhawk_male,11,1,1,10,40,192,1
windhawk_male_riding,11,1,1,10,40,192,1
windhawk_riding_³²,11,1,1,10,40,192,1
windhawk_riding_¿©,12,1,1,10,30,201,1
windhawk_³²,11,1,1,10,40,192,1
windhawk_¿©,12,1,1,10,30,201,1
wizard_female,20,0,2,0,65,168,1
wizard_male,14,0,2,0,58,181,1
wolf_windhawk_female,12,1,1,10,30,201,1
wolf_windhawk_male,11,1,1,10,40,192,1
wolf_windhawk_³²,11,1,1,10,40,192,1
wolf_windhawk_¿©,12,1,1,10,30,201,1
°Ç³Ê_³²,16,1,2,3,52,181,1
°Ç³Ê_¿©,16,1,2,3,52,181,1
°Ë»ç_³²,20,1,2,3,46,183,1
°Ë»ç_¿©,18,2,2,3,42,188,1
°Ë»çÆäÄÚ_³²,20,1,2,3,46,183,1
°Ë»çÆäÄÚ_¿©,18,2,2,3,42,188,1
°áÈ¥_³²,7,0,1,0,126,121,1
°áÈ¥_¿©,17,0,2,11,24,201,1
±Ã¼ö_³²,13,0,2,3,52,185,1
±Ã¼ö_¿©,13,0,1,9,49,183,1
±Ç¼º_³²,15,1,1,6,55,177,1
±Ç¼º_¿©,19,0,2,7,41,186,1
±Ç¼ºÀ¶ÇÕ_³²,15,1,1,6,55,177,1
±Ç¼ºÀ¶ÇÕ_¿©,19,0,2,7,41,186,1
±Ç¼ºÆ÷¸µ_³²,15,1,1,6,55,177,1
±Ç¼ºÆ÷¸µ_¿©,19,0,2,7,41,186,1
±×¸®Æù·Î¾â_³²,15,1,2,7,48,182,1
±×¸®Æù·Î¾â_¿©,15,1,2,7,48,182,1
±â»ç_³²,19,1,2,9,60,164,1
±â»ç_¿©,17,1,2,4,66,165,1
±æ·ÎÆ¾Å©·Î½º_³²,18,1,2,6,27,201,1
±æ·ÎÆ¾Å©·Î½º_¿©,19,1,2,6,41,186,1
´ÑÀÚ_³²,13,1,2,11,37,191,1
´ÑÀÚ_¿©,12,1,2,14,28,198,1
´í¼­_¿©,12,0,2,0,72,169,1
µµµÏ_³²,17,1,2,7,38,190,1
µµµÏ_¿©,12,0,2,3,59,179,1
µÎ²¨ºñ´ÑÀÚ_³²,13,1,2,11,37,191,1
µÎ²¨ºñ´ÑÀÚ_¿©,12,1,2,14,28,198,1
µÎ²¨ºñ¼Ò¿ï¸µÄ¿_³²,15,1,1,6,55,177,1
µÎ²¨ºñ¼Ò¿ï¸µÄ¿_¿©,19,0,2,7,41,186,1
·¹ÀÎÀú_³²,11,1,1,10,40,192,1
·¹ÀÎÀú_¿©,12,1,1,10,30,201,1
·Î±×_³²,13,0,2,0,63,177,1
·Î±×_¿©,16,0,2,0,52,185,1
·Îµå³ªÀÌÆ®_³²,19,1,2,9,60,164,1
·Îµå³ªÀÌÆ®_¿©,17,1,2,4,66,165,1
·Î¾â°¡µå_³²,14,1,2,7,48,183,1
·Î¾â°¡µå_¿©,17,1,2,7,42,186,1
·é³ªÀÌÆ®_³²,19,1,2,7,65,161,1
·é³ªÀÌÆ®_¿©,19,1,2,7,41,185,1
·é³ªÀÌÆ®»Ú¶ì_³²,19,1,2,7,65,161,1
·é³ªÀÌÆ®»Ú¶ì_¿©,19,1,2,7,41,185,1
·éµå·¡°ï_³²,17,1,2,7,61,167,1
·éµå·¡°ï_¿©,17,1,2,7,61,167,1
¸®º§¸®¿Â_³²,16,1,2,3,52,181,1
¸®º§¸®¿Â_¿©,16,1,2,3,52,181,1
¸¶¹ý»ç_³²,22,1,2,3,50,177,1
¸¶¹ý»ç_¿©,17,1,2,6,38,191,1
¸ùÅ©_³²,18,1,2,3,47,184,1
¸ùÅ©_¿©,10,1,1,0,128,115,1
¸ùÅ©¾ËÆÄÄ«_³²,18,1,2,3,47,184,1
¸ùÅ©¾ËÆÄÄ«_¿©,10,1,1,0,128,115,1
¹«Èñ_³²,13,1,2,3,48,188,1
¹«Èñ_¿©,12,1,2,13,9,218,1
¹«Èñ¹ÙÁö_¿©,12,1,2,13,9,218,1
¹ÌÄÉ´Ð_³²,16,2,2,10,38,187,1
¹ÌÄÉ´Ð_¸¶µµ±â¾î_³²,16,2,2,10,38,187,1
¹ÌÄÉ´Ð_¸¶µµ±â¾î_¿©,16,2,2,10,48,177,1
¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_³²,16,2,2,10,38,187,1
¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_¿©,16,2,2,10,48,177,1
¹ÌÄÉ´Ð_¿©,16,2,2,10,48,177,1
¹ÌÄÉ´Ð¸äµÅÁö_³²,16,2,2,10,38,187,1
¹ÌÄÉ´Ð¸äµÅÁö_¿©,16,2,2,10,48,177,1
¹Î½ºÆ®·²_³²,18,2,2,7,61,165,1
¹Î½ºÆ®·²_¿©,18,1,2,7,51,176,1
¹Ùµå_³²,13,1,2,3,48,188,1
¹Ùµå_¿©,12,1,2,13,9,218,1
»çÀÚ±â»ç_³²,19,1,2,9,60,164,1
»çÀÚ±â»ç_¿©,17,1,2,4,66,165,1
»çÀÚ·Îµå³ªÀÌÆ®_³²,19,1,2,9,60,164,1
»çÀÚ·Îµå³ªÀÌÆ®_¿©,17,1,2,4,66,165,1
»çÀÚ·Î¾â°¡µå_³²,14,1,2,7,48,183,1
»çÀÚ·Î¾â°¡µå_¿©,17,1,2,7,42,186,1
»çÀÚ·é³ªÀÌÆ®_³²,19,1,2,7,65,161,1
»çÀÚ·é³ªÀÌÆ®_¿©,19,1,2,7,41,185,1
»çÀÚÅ©·ç¼¼ÀÌ´õ_³²,19,1,2,9,60,164,1
»çÀÚÅ©·ç¼¼ÀÌ´õ_¿©,17,1,2,4,66,165,1
»çÀÚÆÈ¶óµò_³²,19,1,2,9,60,164,1
»çÀÚÆÈ¶óµò_¿©,17,1,2,4,66,165,1
»óÀÎ_³²,14,0,2,3,58,178,1
»óÀÎ_¿©,15,0,2,3,57,178,1
»óÀÎ¸äµÅÁö_³²,14,0,2,3,58,178,1
»óÀÎ¸äµÅÁö_¿©,15,0,2,3,57,178,1
¼ºÁ¦_³²,15,1,2,14,28,195,1
¼ºÁ¦_³²_Å»°Í,13,1,2,11,38,190,1
¼ºÁ¦_¿©,13,1,2,11,38,190,1
¼ºÁ¦_¿©_Å»°Í,13,1,2,11,38,190,1
¼ºÁ¦À¶ÇÕ_³²,13,1,2,11,38,190,1
¼ºÁ¦À¶ÇÕ_¿©,13,1,2,11,38,190,1
¼ºÁ÷ÀÚ_³²,17,0,2,3,52,181,1
¼ºÁ÷ÀÚ_¿©,16,0,2,3,65,169,1
¼ºÅõ»ç2_³²,12,1,2,13,9,218,1
¼ºÅõ»ç2_¿©,12,1,2,13,9,218,1
¼ºÅõ»ç_³²,12,1,2,13,9,218,1
¼ºÅõ»ç_¿©,12,1,2,13,9,218,1
¼¼ÀÌÁö_³²,14,0,2,0,58,181,1
¼¼ÀÌÁö_¿©,20,0,2,0,65,168,1
¼Ò¼­·¯_³²,16,2,2,7,38,190,1
¼Ò¼­·¯_¿©,19,1,2,0,36,197,1
¼Ò¿ï¸®ÆÛ_³²,16,2,5,11,35,186,1
¼Ò¿ï¸®ÆÛ_¿©,16,2,5,11,35,186,1
¼Ò¿ï¸µÄ¿_³²,15,1,1,6,55,177,1
¼Ò¿ï¸µÄ¿_¿©,19,0,2,7,41,186,1
½¦µµ¿ìÃ¼ÀÌ¼­_³²,16,2,2,6,33,196,1
½¦µµ¿ìÃ¼ÀÌ¼­_¿©,15,1,2,3,43,191,1
½´¶ó_³²,16,1,2,7,53,176,1
½´¶ó_¿©,15,1,2,7,58,172,1
½´¶ó¾ËÆÄÄ«_³²,16,1,2,7,53,176,1
½´¶ó¾ËÆÄÄ«_¿©,15,1,2,7,58,172,1
½´ÆÛ³ëºñ½º_³²,16,0,2,6,43,188,1
½´ÆÛ³ëºñ½º_¿©,16,0,2,6,43,188,1
½´ÆÛ³ëºñ½ºÆ÷¸µ_³²,16,0,2,6,43,188,1
½´ÆÛ³ëºñ½ºÆ÷¸µ_¿©,16,0,2,6,43,188,1
½º³ªÀÌÆÛ_³²,13,1,2,3,48,188,1
½º³ªÀÌÆÛ_¿©,12,0,2,0,72,169,1
½ºÅäÄ¿_³²,19,1,2,9,60,164,1
½ºÅäÄ¿_¿©,17,1,2,4,66,165,1
½ÅÆäÄÚÅ©·ç¼¼ÀÌ´õ_³²,19,1,2,9,60,164,1
½ÅÆäÄÚÅ©·ç¼¼ÀÌ´õ_¿©,17,1,2,4,66,165,1
¾ÆÅ©ºñ¼ó_³²,12,1,2,13,43,184,1
¾ÆÅ©ºñ¼ó_¿©,11,0,2,0,67,175,1
¾ÆÅ©ºñ¼ó¾ËÆÄÄ«_³²,12,1,2,13,43,184,1
¾ÆÅ©ºñ¼ó¾ËÆÄÄ«_¿©,11,0,2,0,67,175,1
¾î»õ½Å_³²,12,1,2,13,9,218,1
¾î¼¼½Å_³²,13,0,2,0,63,177,1
¾î¼¼½Å_¿©,16,0,2,0,52,185,1
¾î¼¼½ÅÅ©·Î½º_³²,13,0,2,0,63,177,1
¾î¼¼½ÅÅ©·Î½º_¿©,16,0,2,0,52,185,1
¿©¿ì¸¶¹ý»ç_³²,22,1,2,3,50,177,1
¿©¿ì¸¶¹ý»ç_¿©,17,1,2,6,38,191,1
¿©¿ì¼¼ÀÌÁö_³²,14,0,2,0,58,181,1
¿©¿ì¼¼ÀÌÁö_¿©,20,0,2,0,65,168,1
¿©¿ì¼Ò¼­·¯_³²,16,2,2,7,38,190,1
¿©¿ì¼Ò¼­·¯_¿©,19,1,2,0,36,197,1
¿©¿ì¿ö·Ï_³²,17,3,3,10,47,175,1
¿©¿ì¿ö·Ï_¿©,17,2,3,7,52,174,1
¿©¿ìÀ§Àúµå_³²,14,0,2,0,58,181,1
¿©¿ìÀ§Àúµå_¿©,20,0,2,0,65,168,1
¿©¿ìÇÁ·ÎÆä¼­_³²,14,0,2,0,58,181,1
¿©¿ìÇÁ·ÎÆä¼­_¿©,20,0,2,0,65,168,1
¿©¿ìÇÏÀÌÀ§Àúµå_³²,14,0,2,0,58,181,1
¿©¿ìÇÏÀÌÀ§Àúµå_¿©,20,0,2,0,65,168,1
¿¬±Ý¼ú»ç_³²,14,0,2,0,53,186,1
¿¬±Ý¼ú»ç_¿©,14,0,2,0,76,163,1
¿¬±Ý¼ú»ç¸äµÅÁö_³²,14,0,2,0,53,186,1
¿¬±Ý¼ú»ç¸äµÅÁö_¿©,14,0,2,0,76,163,1
¿ïÇÁ·¹ÀÎÀú_³²,11,1,1,10,36,196,1
¿ïÇÁ·¹ÀÎÀú_¿©,12,1,1,10,30,201,1
¿ö·Ï_³²,17,3,3,10,47,175,1
¿ö·Ï_¿©,17,2,3,7,52,174,1
¿ø´õ·¯_³²,12,4,2,6,9,222,1
¿ø´õ·¯_¿©,18,1,2,7,51,176,1
À§Àúµå_³²,14,0,2,0,58,181,1
À§Àúµå_¿©,20,0,2,0,65,168,1
Á¦³×¸¯_³²,14,1,2,10,52,176,1
Á¦³×¸¯_¿©,16,1,2,7,53,176,1
Á¦³×¸¯¸äµÅÁö_³²,14,1,2,10,52,176,1
Á¦³×¸¯¸äµÅÁö_¿©,16,1,2,7,53,176,1
Á¦Ã¶°ø_³²,13,0,2,0,63,177,1
Á¦Ã¶°ø_¿©,14,0,2,0,76,163,1
