"Base","BaseNoSex","HasSpriteDir","OldCount","OldMax","OldHas520"
"abyss_chaser_riding_¿©","abyss_chaser_riding","False","8","7","False"
"abyss_chaser_riding_³²","abyss_chaser_riding","False","8","7","False"
"ÆäÄÚ°Ç³Ê_¿©","ÆäÄÚ°Ç³Ê","False","8","7","False"
"ÆäÄÚ°Ç³Ê_³²","ÆäÄÚ°Ç³Ê","False","8","7","False"
"ÆäÄÚ°Ë»ç_¿©","ÆäÄÚ°Ë»ç","False","4","3","False"
"ÆäÄÚ°Ë»ç_³²","ÆäÄÚ°Ë»ç","False","5","4","False"
"ÆäÄÚÆÈ¶óµò_¿©","ÆäÄÚÆÈ¶óµò","False","4","3","False"
"ÆäÄÚÆÈ¶óµò_³²","ÆäÄÚÆÈ¶óµò","False","4","3","False"
"ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º_¿©","ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º","False","8","7","False"
"ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º_³²","ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º","False","8","7","False"
"ÄÌº£·Î½ºµµµÏ_¿©","ÄÌº£·Î½ºµµµÏ","False","5","4","False"
"ÄÌº£·Î½ºµµµÏ_³²","ÄÌº£·Î½ºµµµÏ","False","5","4","False"
"ÄÌº£·Î½º·Î±×_¿©","ÄÌº£·Î½º·Î±×","False","4","3","False"
"ÄÌº£·Î½º·Î±×_³²","ÄÌº£·Î½º·Î±×","False","5","4","False"
"ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­_¿©","ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­","False","8","7","False"
"ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­_³²","ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­","False","8","7","False"
"ÄÌº£·Î½º½ºÅäÄ¿_¿©","ÄÌº£·Î½º½ºÅäÄ¿","False","4","3","False"
"ÄÌº£·Î½º½ºÅäÄ¿_³²","ÄÌº£·Î½º½ºÅäÄ¿","False","4","3","False"
"ÄÌº£·Î½º¾î½ê½Å_¿©","ÄÌº£·Î½º¾î½ê½Å","False","5","4","False"
"ÄÌº£·Î½º¾î½ê½Å_³²","ÄÌº£·Î½º¾î½ê½Å","False","5","4","False"
"ÄÌº£·Î½º¾î½ê½ÅÅ©·Î½º_¿©","ÄÌº£·Î½º¾î½ê½ÅÅ©·Î½º","False","4","3","False"
"ÄÌº£·Î½º¾î½ê½ÅÅ©·Î½º_³²","ÄÌº£·Î½º¾î½ê½ÅÅ©·Î½º","False","4","3","False"
"arch_mage_¿©","arch_mage","True","8","7","False"
"arch_mage_³²","arch_mage","True","8","7","False"
"arch_mage_riding_¿©","arch_mage_riding","False","8","7","False"
"arch_mage_riding_³²","arch_mage_riding","False","8","7","False"
"Áý½Ã_³²","Áý½Ã","False","4","3","False"
"biolo_¿©","biolo","True","8","7","False"
"biolo_³²","biolo","True","8","7","False"
"biolo_riding_¿©","biolo_riding","False","8","7","False"
"biolo_riding_³²","biolo_riding","False","8","7","False"
"ÇÁ¸®½ºÆ®¾ËÆÄÄ«_¿©","ÇÁ¸®½ºÆ®¾ËÆÄÄ«","False","5","4","False"
"ÇÁ¸®½ºÆ®¾ËÆÄÄ«_³²","ÇÁ¸®½ºÆ®¾ËÆÄÄ«","False","5","4","False"
"cardinal_¿©","cardinal","True","8","7","False"
"cardinal_³²","cardinal","True","8","7","False"
"cardinal_riding_¿©","cardinal_riding","False","8","7","False"
"cardinal_riding_³²","cardinal_riding","False","8","7","False"
"ÇÏÀÌÇÁ¸®½ºÆ®¾ËÆÄÄ«_¿©","ÇÏÀÌÇÁ¸®½ºÆ®¾ËÆÄÄ«","False","4","3","False"
"ÇÏÀÌÇÁ¸®½ºÆ®¾ËÆÄÄ«_³²","ÇÏÀÌÇÁ¸®½ºÆ®¾ËÆÄÄ«","False","5","4","False"
"dancer_b_riding_¿©","dancer_b_riding","False","4","3","False"
"dragon_knight_¿©","dragon_knight","True","8","7","False"
"dragon_knight_³²","dragon_knight","True","8","7","False"
"dragon_knight_chicken_¿©","dragon_knight_chicken","True","8","7","False"
"dragon_knight_chicken_³²","dragon_knight_chicken","True","8","7","False"
"dragon_knight_riding_¿©","dragon_knight_riding","False","8","7","False"
"dragon_knight_riding_³²","dragon_knight_riding","False","8","7","False"
"È­ÀÌÆ®½º¹Ì½º¸äµÅÁö_¿©","È­ÀÌÆ®½º¹Ì½º¸äµÅÁö","False","4","3","False"
"È­ÀÌÆ®½º¹Ì½º¸äµÅÁö_³²","È­ÀÌÆ®½º¹Ì½º¸äµÅÁö","False","4","3","False"
"elemetal_master_¿©","elemetal_master","True","8","7","False"
"elemetal_master_³²","elemetal_master","True","8","7","False"
"elemetal_master_riding_¿©","elemetal_master_riding","False","8","7","False"
"elemetal_master_riding_³²","elemetal_master_riding","False","8","7","False"
"frog_kagerou_³²","frog_kagerou","False","8","7","False"
"frog_oboro_¿©","frog_oboro","False","8","7","False"
"hanbok_¿©","hanbok","False","8","7","False"
"hanbok_³²","hanbok","False","8","7","False"
"hyper_novice_¿©","hyper_novice","True","8","7","False"
"hyper_novice_³²","hyper_novice","True","8","7","False"
"hyper_novice_riding_¿©","hyper_novice_riding","False","8","7","False"
"hyper_novice_riding_³²","hyper_novice_riding","False","8","7","False"
"imperial_guard_¿©","imperial_guard","True","8","7","False"
"imperial_guard_³²","imperial_guard","True","8","7","False"
"imperial_guard_chicken_¿©","imperial_guard_chicken","True","8","7","False"
"imperial_guard_chicken_³²","imperial_guard_chicken","True","8","7","False"
"imperial_guard_riding_¿©","imperial_guard_riding","False","8","7","False"
"imperial_guard_riding_³²","imperial_guard_riding","False","8","7","False"
"inquisitor_¿©","inquisitor","True","8","7","False"
"inquisitor_³²","inquisitor","True","8","7","False"
"inquisitor_riding_¿©","inquisitor_riding","False","8","7","False"
"inquisitor_riding_³²","inquisitor_riding","False","8","7","False"
"meister_¿©","meister","True","8","7","False"
"meister_³²","meister","True","8","7","False"
"meister_madogear1_¿©","meister_madogear1","False","8","7","False"
"meister_madogear1_³²","meister_madogear1","False","8","7","False"
"meister_madogear2_¿©","meister_madogear2","False","8","7","False"
"meister_madogear2_³²","meister_madogear2","False","8","7","False"
"meister_riding_¿©","meister_riding","False","8","7","False"
"meister_riding_³²","meister_riding","False","8","7","False"
"night_watch_¿©","night_watch","True","8","7","False"
"night_watch_³²","night_watch","True","8","7","False"
"night_watch_riding_¿©","night_watch_riding","False","8","7","False"
"night_watch_riding_³²","night_watch_riding","False","8","7","False"
"º¹»ç¾ËÆÄÄ«_¿©","º¹»ç¾ËÆÄÄ«","False","5","4","False"
"º¹»ç¾ËÆÄÄ«_³²","º¹»ç¾ËÆÄÄ«","False","5","4","False"
"oktoberfest_¿©","oktoberfest","False","8","7","False"
"oktoberfest_³²","oktoberfest","False","8","7","False"
"peco_rebellion_¿©","peco_rebellion","False","8","7","False"
"peco_rebellion_³²","peco_rebellion","False","8","7","False"
"santa_¿©","santa","False","8","7","False"
"santa_³²","santa","False","8","7","False"
"shadow_cross_¿©","shadow_cross","True","8","7","False"
"shadow_cross_³²","shadow_cross","True","8","7","False"
"shadow_cross_riding_¿©","shadow_cross_riding","False","8","7","False"
"shadow_cross_riding_³²","shadow_cross_riding","False","8","7","False"
"shinkiro_³²","shinkiro","True","8","7","False"
"shinkiro_riding_³²","shinkiro_riding","False","8","7","False"
"shiranui_¿©","shiranui","True","8","7","False"
"shiranui_riding_¿©","shiranui_riding","False","8","7","False"
"sky_emperor_¿©","sky_emperor","True","8","7","False"
"sky_emperor_³²","sky_emperor","True","8","7","False"
"sky_emperor_riding_¿©","sky_emperor_riding","False","8","7","False"
"sky_emperor_riding_³²","sky_emperor_riding","False","8","7","False"
"sky_emperor2_¿©","sky_emperor2","False","8","7","False"
"sky_emperor2_³²","sky_emperor2","False","8","7","False"
"soul_ascetic_¿©","soul_ascetic","True","8","7","False"
"soul_ascetic_³²","soul_ascetic","True","8","7","False"
"soul_ascetic_riding_¿©","soul_ascetic_riding","False","8","7","False"
"soul_ascetic_riding_³²","soul_ascetic_riding","False","8","7","False"
"summer_¿©","summer","False","8","7","False"
"summer_³²","summer","False","8","7","False"
"summer2_¿©","summer2","False","8","7","False"
"summer2_³²","summer2","False","8","7","False"
"troubadour_³²","troubadour","True","8","7","False"
"troubadour_riding_³²","troubadour_riding","False","8","7","False"
"trouvere_¿©","trouvere","True","8","7","False"
"trouvere_riding_¿©","trouvere_riding","False","8","7","False"
"windhawk_¿©","windhawk","True","8","7","False"
"windhawk_³²","windhawk","True","8","7","False"
"windhawk_riding_¿©","windhawk_riding","False","8","7","False"
"windhawk_riding_³²","windhawk_riding","False","8","7","False"
"wolf_windhawk_¿©","wolf_windhawk","False","8","7","False"
"wolf_windhawk_³²","wolf_windhawk","False","8","7","False"
