"To","From","Reason","OldCount","OldMax"
"»çÀÚÅ©·ç¼¼ÀÌ´õ_¿©","Å©·ç_¿©","substring","4","3"
"»çÀÚÅ©·ç¼¼ÀÌ´õ_³²","Å©·ç_³²","substring","5","4"
"»çÀÚÆÈ¶óµò_¿©","ÆÈ¶óµò_¿©","substring","4","3"
"»çÀÚÆÈ¶óµò_³²","ÆÈ¶óµò_³²","substring","4","3"
"»óÀÎ¸äµÅÁö_¿©","»óÀÎ_¿©","substring","5","4"
"»óÀÎ¸äµÅÁö_³²","»óÀÎ_³²","substring","5","4"
"µÎ²¨ºñ´ÑÀÚ_¿©","´ÑÀÚ_¿©","substring","8","7"
"µÎ²¨ºñ´ÑÀÚ_³²","´ÑÀÚ_³²","substring","8","7"
"µÎ²¨ºñ¼Ò¿ï¸µÄ¿_¿©","¼Ò¿ï¸µÄ¿_¿©","substring","8","7"
"µÎ²¨ºñ¼Ò¿ï¸µÄ¿_³²","¼Ò¿ï¸µÄ¿_³²","substring","8","7"
"·é³ªÀÌÆ®»Ú¶ì_¿©","·é³ªÀÌÆ®_¿©","substring","4","7"
"·é³ªÀÌÆ®»Ú¶ì_³²","·é³ªÀÌÆ®_³²","substring","4","7"
"¼ºÁ¦_¿©_Å»°Í","¼ºÁ¦_¿©","substring","4","3"
"¼ºÁ¦_³²_Å»°Í","¼ºÁ¦_¿©","substring","4","3"
"¼ºÁ¦À¶ÇÕ_¿©","¼ºÁ¦_¿©","substring","8","7"
"¼ºÁ¦À¶ÇÕ_³²","¼ºÁ¦_³²","substring","8","7"
"½´¶ó¾ËÆÄÄ«_¿©","½´¶ó_¿©","substring","8","7"
"½´¶ó¾ËÆÄÄ«_³²","½´¶ó_³²","substring","8","7"
"½´ÆÛ³ëºñ½ºÆ÷¸µ_¿©","½´ÆÛ³ëºñ½º_¿©","substring","8","7"
"½´ÆÛ³ëºñ½ºÆ÷¸µ_³²","½´ÆÛ³ëºñ½º_³²","substring","8","7"
"½ÅÆäÄÚÅ©·ç¼¼ÀÌ´õ_¿©","½ÅÆäÄÚÅ©·ç¼¼ÀÌ´õ_¿©","substring","4","3"
"½ÅÆäÄÚÅ©·ç¼¼ÀÌ´õ_³²","½ÅÆäÄÚÅ©·ç¼¼ÀÌ´õ_³²","substring","4","3"
"¾ÆÅ©ºñ¼ó¾ËÆÄÄ«_¿©","¾ÆÅ©ºñ¼ó_¿©","substring","8","7"
"¾ÆÅ©ºñ¼ó¾ËÆÄÄ«_³²","¾ÆÅ©ºñ¼ó_³²","substring","8","7"
"¹«Èñ_³²","¹«Èñ_³²","substring","4","3"
"¹«Èñ¹ÙÁö_¿©","¹«Èñ_¿©","substring","4","3"
"¹ÌÄÉ´Ð_¸¶µµ±â¾î_¿©","¹ÌÄÉ´Ð_¿©","substring","8","7"
"¹ÌÄÉ´Ð_¸¶µµ±â¾î_³²","¹ÌÄÉ´Ð_³²","substring","8","7"
"¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_¿©","¹ÌÄÉ´Ð_¿©","substring","8","7"
"¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_³²","¹ÌÄÉ´Ð_³²","substring","8","7"
"¹ÌÄÉ´Ð¸äµÅÁö_¿©","¹ÌÄÉ´Ð_¿©","substring","8","7"
"¹ÌÄÉ´Ð¸äµÅÁö_³²","¹ÌÄÉ´Ð_³²","substring","8","7"
"¹Ùµå_¿©","¹Ùµå_¿©","substring","4","3"
"Á¦³×¸¯¸äµÅÁö_¿©","Á¦³×¸¯_¿©","substring","8","7"
"Á¦³×¸¯¸äµÅÁö_³²","Á¦³×¸¯_³²","substring","8","7"
"Á¦Ã¶°ø¸äµÅÁö_¿©","Á¦Ã¶°ø_¿©","substring","5","4"
"Á¦Ã¶°ø¸äµÅÁö_³²","Á¦Ã¶°ø_³²","substring","5","4"
"Ã¨ÇÇ¿Â¾ËÆÄÄ«_¿©","Ã¨ÇÇ¿Â_¿©","substring","4","3"
"Ã¨ÇÇ¿Â¾ËÆÄÄ«_³²","Ã¨ÇÇ¿Â_³²","substring","4","3"
"Å¸Á¶¿ø´õ·¯_¿©","¿ø´õ·¯_¿©","substring","8","7"
"Å¸Á¶±Ã¼ö_¿©","±Ã¼ö_¿©","substring","5","4"
"Å¸Á¶±Ã¼ö_³²","±Ã¼ö_³²","substring","5","4"
"Å¸Á¶½º³ªÀÌÆÛ_¿©","½º³ªÀÌÆÛ_¿©","substring","4","3"
"Å¸Á¶½º³ªÀÌÆÛ_³²","½º³ªÀÌÆÛ_³²","substring","4","3"
"Å¸Á¶¹«Èñ_¿©","¹«Èñ_¿©","substring","5","4"
"Å¸Á¶¹«Èñ_³²","¹«Èñ_³²","substring","4","3"
"Å¸Á¶¹Î½ºÆ®·²_³²","¹Î½ºÆ®·²_³²","substring","8","7"
"Å¸Á¶¹Ùµå_¿©","¹Ùµå_¿©","substring","4","3"
"Å¸Á¶¹Ùµå_³²","¹Ùµå_³²","substring","5","4"
"Å¸Á¶Å©¶ó¿î_³²","Å©¶ó¿î_³²","substring","4","3"
"Å¸Á¶ÇåÅÍ_¿©","ÇåÅÍ_¿©","substring","5","4"
"Å¸Á¶ÇåÅÍ_³²","ÇåÅÍ_³²","substring","5","4"
"Å©¸®¿¡ÀÌÅÍ¸äµÅÁö_¿©","Å©¸®¿¡ÀÌÅÍ_¿©","substring","4","3"
"Å©¸®¿¡ÀÌÅÍ¸äµÅÁö_³²","Å©¸®¿¡ÀÌÅÍ_³²","substring","4","3"
"ÅÂ±Ç¼Ò³âÆ÷¸µ_¿©","ÅÂ±Ç¼Ò³â_¿©","substring","8","7"
"ÅÂ±Ç¼Ò³âÆ÷¸µ_³²","ÅÂ±Ç¼Ò³â_³²","substring","8","7"
"abyss_chaser_¿©","abyss_chaser_¿©","substring","8","7"
"abyss_chaser_³²","abyss_chaser_³²","substring","8","7"
"abyss_chaser_riding_¿©","abyss_chaser_¿©","substring","8","7"
"abyss_chaser_riding_³²","abyss_chaser_³²","substring","8","7"
"ÆäÄÚ°Ç³Ê_¿©","°Ç³Ê_¿©","substring","8","7"
"ÆäÄÚ°Ç³Ê_³²","°Ç³Ê_³²","substring","8","7"
"ÆäÄÚ°Ë»ç_¿©","°Ë»ç_¿©","substring","4","3"
"ÆäÄÚ°Ë»ç_³²","°Ë»ç_³²","substring","5","4"
"ÆäÄÚÆÈ¶óµò_¿©","ÆäÄÚÆÈ¶ó_¿©","substring","4","3"
"ÆäÄÚÆÈ¶óµò_³²","ÆäÄÚÆÈ¶ó_³²","substring","4","3"
"ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º_¿©","±æ·ÎÆ¾Å©·Î½º_¿©","substring","8","7"
"ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º_³²","±æ·ÎÆ¾Å©·Î½º_³²","substring","8","7"
"ÄÌº£·Î½ºµµµÏ_¿©","µµµÏ_¿©","substring","5","4"
"ÄÌº£·Î½ºµµµÏ_³²","µµµÏ_³²","substring","5","4"
"ÄÌº£·Î½º·Î±×_¿©","·Î±×_¿©","substring","4","3"
"ÄÌº£·Î½º·Î±×_³²","·Î±×_³²","substring","5","4"
"ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­_¿©","½¦µµ¿ìÃ¼ÀÌ¼­_¿©","substring","8","7"
"ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­_³²","½¦µµ¿ìÃ¼ÀÌ¼­_³²","substring","8","7"
"ÄÌº£·Î½º½ºÅäÄ¿_¿©","½ºÅäÄ¿_¿©","substring","4","3"
"ÄÌº£·Î½º½ºÅäÄ¿_³²","½ºÅäÄ¿_³²","substring","4","3"
"arch_mage_¿©","arch_mage_¿©","substring","8","7"
"arch_mage_³²","arch_mage_³²","substring","8","7"
"arch_mage_riding_¿©","arch_mage_¿©","substring","8","7"
"arch_mage_riding_³²","arch_mage_³²","substring","8","7"
"biolo_¿©","biolo_¿©","substring","8","7"
"biolo_³²","biolo_³²","substring","8","7"
"biolo_riding_¿©","biolo_¿©","substring","8","7"
"biolo_riding_³²","biolo_³²","substring","8","7"
"ÇÁ¸®½ºÆ®¾ËÆÄÄ«_¿©","ÇÁ¸®½ºÆ®_¿©","substring","5","4"
"ÇÁ¸®½ºÆ®¾ËÆÄÄ«_³²","ÇÁ¸®½ºÆ®_³²","substring","5","4"
"cardinal_¿©","cardinal_¿©","substring","8","7"
"cardinal_³²","cardinal_³²","substring","8","7"
"cardinal_riding_¿©","cardinal_¿©","substring","8","7"
"cardinal_riding_³²","cardinal_³²","substring","8","7"
"ÇÏÀÌÇÁ¸®½ºÆ®¾ËÆÄÄ«_¿©","ÇÏÀÌÇÁ¸®½ºÆ®_¿©","substring","4","3"
"ÇÏÀÌÇÁ¸®½ºÆ®¾ËÆÄÄ«_³²","ÇÏÀÌÇÁ¸®½ºÆ®_³²","substring","5","4"
"dragon_knight_¿©","dragon_knight_¿©","substring","8","7"
"dragon_knight_³²","dragon_knight_³²","substring","8","7"
"dragon_knight_chicken_¿©","dragon_knight_chicken_¿©","substring","8","7"
"dragon_knight_chicken_³²","dragon_knight_chicken_³²","substring","8","7"
"dragon_knight_riding_¿©","dragon_knight_¿©","substring","8","7"
"dragon_knight_riding_³²","dragon_knight_³²","substring","8","7"
"È­ÀÌÆ®½º¹Ì½º¸äµÅÁö_¿©","È­ÀÌÆ®½º¹Ì½º_¿©","substring","4","3"
"È­ÀÌÆ®½º¹Ì½º¸äµÅÁö_³²","È­ÀÌÆ®½º¹Ì½º_³²","substring","4","3"
"elemetal_master_¿©","elemetal_master_¿©","substring","8","7"
"elemetal_master_³²","elemetal_master_³²","substring","8","7"
"elemetal_master_riding_¿©","elemetal_master_¿©","substring","8","7"
"elemetal_master_riding_³²","elemetal_master_³²","substring","8","7"
"frog_kagerou_³²","kagerou_³²","substring","8","7"
"frog_oboro_¿©","oboro_¿©","substring","8","7"
"hyper_novice_¿©","hyper_novice_¿©","substring","8","7"
"hyper_novice_³²","hyper_novice_³²","substring","8","7"
"hyper_novice_riding_¿©","hyper_novice_¿©","substring","8","7"
"hyper_novice_riding_³²","hyper_novice_³²","substring","8","7"
"imperial_guard_¿©","imperial_guard_¿©","substring","8","7"
"imperial_guard_³²","imperial_guard_³²","substring","8","7"
"imperial_guard_chicken_¿©","imperial_guard_chicken_¿©","substring","8","7"
"imperial_guard_chicken_³²","imperial_guard_chicken_³²","substring","8","7"
"imperial_guard_riding_¿©","imperial_guard_¿©","substring","8","7"
"imperial_guard_riding_³²","imperial_guard_³²","substring","8","7"
"inquisitor_¿©","inquisitor_¿©","substring","8","7"
"inquisitor_³²","inquisitor_³²","substring","8","7"
"inquisitor_riding_¿©","inquisitor_¿©","substring","8","7"
"inquisitor_riding_³²","inquisitor_³²","substring","8","7"
"meister_¿©","meister_¿©","substring","8","7"
"meister_³²","meister_³²","substring","8","7"
"meister_madogear1_¿©","meister_¿©","substring","8","7"
"meister_madogear1_³²","meister_³²","substring","8","7"
"meister_madogear2_¿©","meister_¿©","substring","8","7"
"meister_madogear2_³²","meister_³²","substring","8","7"
"meister_riding_¿©","meister_¿©","substring","8","7"
"meister_riding_³²","meister_³²","substring","8","7"
"night_watch_¿©","night_watch_¿©","substring","8","7"
"night_watch_³²","night_watch_³²","substring","8","7"
"night_watch_riding_¿©","night_watch_¿©","substring","8","7"
"night_watch_riding_³²","night_watch_³²","substring","8","7"
"shadow_cross_¿©","shadow_cross_¿©","substring","8","7"
"shadow_cross_³²","shadow_cross_³²","substring","8","7"
"shadow_cross_riding_¿©","shadow_cross_¿©","substring","8","7"
"shadow_cross_riding_³²","shadow_cross_³²","substring","8","7"
"shinkiro_³²","shinkiro_³²","substring","8","7"
"shinkiro_riding_³²","shinkiro_³²","substring","8","7"
"shiranui_¿©","shiranui_¿©","substring","8","7"
"shiranui_riding_¿©","shiranui_¿©","substring","8","7"
"sky_emperor_¿©","sky_emperor_¿©","substring","8","7"
"sky_emperor_³²","sky_emperor_³²","substring","8","7"
"sky_emperor_riding_¿©","sky_emperor_¿©","substring","8","7"
"sky_emperor_riding_³²","sky_emperor_³²","substring","8","7"
"sky_emperor2_¿©","sky_emperor_¿©","substring","8","7"
"sky_emperor2_³²","sky_emperor_³²","substring","8","7"
"soul_ascetic_¿©","soul_ascetic_¿©","substring","8","7"
"soul_ascetic_³²","soul_ascetic_³²","substring","8","7"
"soul_ascetic_riding_¿©","soul_ascetic_¿©","substring","8","7"
"soul_ascetic_riding_³²","soul_ascetic_³²","substring","8","7"
"troubadour_³²","troubadour_³²","substring","8","7"
"troubadour_riding_³²","troubadour_³²","substring","8","7"
"trouvere_¿©","trouvere_¿©","substring","8","7"
"trouvere_riding_¿©","trouvere_¿©","substring","8","7"
"windhawk_¿©","windhawk_¿©","substring","8","7"
"windhawk_³²","windhawk_³²","substring","8","7"
"windhawk_riding_¿©","windhawk_¿©","substring","8","7"
"windhawk_riding_³²","windhawk_³²","substring","8","7"
"wolf_windhawk_¿©","windhawk_¿©","substring","8","7"
"wolf_windhawk_³²","windhawk_³²","substring","8","7"
