"Base","Style","Range","Mode"
"merchant_male","10","48..51","fine_probe"
"merchant_male","11","52..55","fine_probe"
"merchant_male","12","56..59","fine_probe"
"merchant_male","13","60..63","fine_probe"
"merchant_female_riding","2","16..19","fine_probe"
"merchant_female_riding","3","20..23","fine_probe"
"merchant_female_riding","4","24..27","fine_probe"
"merchant_female_riding","5","28..31","fine_probe"
"merchant_female_riding","6","32..35","fine_probe"
"merchant_female_riding","7","36..39","fine_probe"
"merchant_female_riding","8","40..43","fine_probe"
"merchant_female_riding","9","44..47","fine_probe"
"merchant_female_riding","10","48..51","fine_probe"
"merchant_female_riding","11","52..55","fine_probe"
"merchant_female_riding","12","56..59","fine_probe"
"merchant_female_riding","13","60..63","fine_probe"
"merchant_male_riding","2","16..19","fine_probe"
"merchant_male_riding","3","20..23","fine_probe"
"merchant_male_riding","4","24..27","fine_probe"
"merchant_male_riding","5","28..31","fine_probe"
"merchant_male_riding","6","32..35","fine_probe"
"merchant_male_riding","7","36..39","fine_probe"
"merchant_male_riding","8","40..43","fine_probe"
"merchant_male_riding","9","44..47","fine_probe"
"merchant_male_riding","10","48..51","fine_probe"
"merchant_male_riding","11","52..55","fine_probe"
"merchant_male_riding","12","56..59","fine_probe"
"merchant_male_riding","13","60..63","fine_probe"
"»óÀÎ_¿©","2","16..19","fine_probe"
"»óÀÎ_¿©","3","20..23","fine_probe"
"»óÀÎ_¿©","4","24..27","fine_probe"
"»óÀÎ_¿©","5","28..31","fine_probe"
"»óÀÎ_¿©","6","32..35","fine_probe"
"»óÀÎ_¿©","7","36..39","fine_probe"
"»óÀÎ_¿©","8","40..43","fine_probe"
"»óÀÎ_¿©","9","44..47","fine_probe"
"»óÀÎ_¿©","10","48..51","fine_probe"
"»óÀÎ_¿©","11","52..55","fine_probe"
"»óÀÎ_¿©","12","56..59","fine_probe"
"»óÀÎ_¿©","13","60..63","fine_probe"
"»óÀÎ_³²","2","16..19","fine_probe"
"»óÀÎ_³²","3","20..23","fine_probe"
"»óÀÎ_³²","4","24..27","fine_probe"
"»óÀÎ_³²","5","28..31","fine_probe"
"»óÀÎ_³²","6","32..35","fine_probe"
"»óÀÎ_³²","7","36..39","fine_probe"
"»óÀÎ_³²","8","40..43","fine_probe"
"»óÀÎ_³²","9","44..47","fine_probe"
"»óÀÎ_³²","10","48..51","fine_probe"
"»óÀÎ_³²","11","52..55","fine_probe"
"»óÀÎ_³²","12","56..59","fine_probe"
"»óÀÎ_³²","13","60..63","fine_probe"
