Base,Color,Changed,AvgDelta,MaxDelta,TopChangedIndices
cardinal_male,1,138,146.9,421.1,"208:421,240:414,160:387,224:380,241:379,209:366,242:349,225:348,161:345,176:335,226:318,210:309,243:306,162:303,177:297,227:290,228:267,211:263"
cardinal_male,2,138,154.8,421.1,"208:421,240:414,160:387,176:383,224:380,241:379,209:366,242:349,225:348,177:346,161:345,226:318,178:314,210:309,243:306,162:303,227:290,179:284"
cardinal_male,3,138,148.6,421.1,"208:421,240:414,160:387,176:380,224:380,241:379,209:366,242:349,177:348,225:348,161:345,178:318,226:318,210:309,243:306,162:303,179:290,227:290"
cardinal_male,4,170,138.8,421.1,"208:421,240:414,160:387,224:380,241:379,209:366,242:349,225:348,161:345,176:344,177:319,226:318,210:309,243:306,162:303,227:290,178:287,228:267"
shadow_cross_male,1,163,145.4,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,226:318,210:307,243:306,162:303"
shadow_cross_male,2,163,141.6,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,226:318,210:307,243:306,162:303"
shadow_cross_male,3,163,146.0,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,226:318,210:307,243:306,162:303"
shadow_cross_male,4,155,193.6,433.1,"176:433,208:414,224:414,240:414,177:413,178:394,16:386,24:386,32:386,56:386,80:386,104:386,144:386,152:386,160:386,184:386,225:379,241:379"
arch_mage_male,1,132,146.3,433.1,"176:433,208:421,240:414,177:413,178:394,224:380,241:379,179:375,209:366,180:357,242:349,225:348,0:329,226:318,210:309,243:306,181:295,227:290"
arch_mage_male,2,132,152.3,433.1,"176:433,208:421,240:414,177:413,178:394,224:380,241:379,179:375,209:366,180:357,242:349,225:348,0:329,226:318,210:309,243:306,181:295,227:290"
arch_mage_male,3,132,145.5,433.1,"176:433,208:421,240:414,177:413,178:394,224:380,241:379,179:375,209:366,180:357,242:349,225:348,0:329,226:318,210:309,243:306,181:295,227:290"
arch_mage_male,4,175,140.9,433.1,"176:433,80:426,208:421,240:414,177:413,81:398,178:394,224:380,241:379,179:375,209:366,82:366,180:357,242:349,225:348,83:337,0:329,226:318"
windhawk_male,1,154,131.1,421.1,"208:421,176:388,160:387,224:380,209:366,177:352,225:348,161:345,226:318,178:316,210:309,162:303,227:290,179:276,228:267,211:263,163:261,16:237"
windhawk_male,2,154,138.7,421.1,"208:421,176:388,160:387,224:380,209:366,177:352,225:348,161:345,226:318,178:316,210:309,162:303,227:290,179:276,228:267,211:263,163:261,16:237"
windhawk_male,3,154,130.9,421.1,"208:421,176:388,160:387,224:380,209:366,177:352,225:348,161:345,226:318,178:316,210:309,162:303,227:290,179:276,228:267,211:263,163:261,16:237"
windhawk_male,4,186,166.0,413.8,"208:414,224:414,176:388,16:386,24:386,32:386,56:386,80:386,104:386,144:386,152:386,160:386,184:386,209:379,225:379,177:352,210:349,226:349"
meister_male,1,137,159.0,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,226:318,210:309,243:306,162:303"
meister_male,2,137,156.2,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,226:318,210:309,243:306,162:303"
meister_male,3,137,158.4,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,226:318,210:309,243:306,162:303"
meister_male,4,169,148.0,433.1,"176:433,208:421,240:414,177:413,178:394,160:387,224:380,241:379,179:375,209:366,180:357,242:349,225:348,161:345,226:318,210:309,243:306,162:303"
