Base,Style1,Style2,Style3,Style4,Style5
biolo_riding_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
biolo_riding_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
biolo_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
biolo_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
cardinal_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
cardinal_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
cardinal_legacy_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
cardinal_legacy_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
cardinal_legacy_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
cardinal_legacy_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
cardinal_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
cardinal_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
cardinal_riding_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
cardinal_riding_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
cardinal_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
cardinal_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
cart_summoner_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
cart_summoner_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
cartsummoner_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
cartsummoner_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
champion_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
champion_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
champion_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
champion_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
clown_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
creator_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
creator_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
creator_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
creator_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
crusader_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
crusader_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dancer_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dancer_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dancer_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dog_guillotine_cross_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dog_guillotine_cross_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dog_rogue_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dog_rogue_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dog_shadow_chaser_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dog_shadow_chaser_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dog_stalker_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dog_stalker_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dog_thief_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dog_thief_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dragon_knight_chicken_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dragon_knight_chicken_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dragon_knight_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dragon_knight_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dragon_knight_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dragon_knight_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dragon_knight_riding_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dragon_knight_riding_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dragon_knight_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
dragon_knight_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
elemental_master_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
elemental_master_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
elemetal_master_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
elemetal_master_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
elemetal_master_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
elemetal_master_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
elemetal_master_riding_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
elemetal_master_riding_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
elemetal_master_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
elemetal_master_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
frog_kagerou_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
frog_kagerou_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
frog_ninja_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
frog_ninja_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
frog_oboro_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
frog_oboro_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
frog_soul_linker_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
frog_soul_linker_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
genetic_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
genetic_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
genetic_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
genetic_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
guillotine_cross_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
guillotine_cross_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
gunslinger_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
gunslinger_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
high_priest_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
high_priest_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
high_priest_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
high_priest_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
high_wizard_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
high_wizard_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
hunter_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
hunter_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
hyper_novice_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
hyper_novice_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
hyper_novice_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
hyper_novice_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
hyper_novice_riding_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
hyper_novice_riding_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
hyper_novice_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
hyper_novice_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
imperial_guard_chicken_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
imperial_guard_chicken_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
imperial_guard_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
imperial_guard_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
imperial_guard_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
imperial_guard_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
imperial_guard_riding_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
imperial_guard_riding_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
imperial_guard_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
imperial_guard_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
inquisitor_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
inquisitor_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
inquisitor_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
inquisitor_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
inquisitor_riding_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
inquisitor_riding_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
inquisitor_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
inquisitor_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
kagerou_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
kagerou_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
knight_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
knight_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
lion_crusader_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
lion_crusader_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
lion_knight_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
lion_knight_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
lion_lord_knight_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
lion_lord_knight_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
lion_paladin_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
lion_paladin_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
lion_royal_guard_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
lion_royal_guard_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
lion_rune_knight_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
lion_rune_knight_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
lord_knight_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
lord_knight_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
magician_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
magician_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
mechanic_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
mechanic_female_madogear,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
mechanic_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
mechanic_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
mechanic_male_madogear,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
mechanic_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
meister_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
meister_female_madogear1,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
meister_female_madogear2,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
meister_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
meister_madogear1_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
meister_madogear1_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
meister_madogear2_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
meister_madogear2_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
meister_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
meister_male_madogear1,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
meister_male_madogear2,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
meister_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
meister_riding_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
meister_riding_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
meister_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
meister_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
merchant_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
merchant_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
merchant_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
merchant_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
minstrel_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
monk_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
monk_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
monk_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
monk_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
new_peco_crusader_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
new_peco_crusader_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
night_watch_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
night_watch_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
night_watch_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
night_watch_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
night_watch_riding_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
night_watch_riding_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
night_watch_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
night_watch_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
ninja_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
ninja_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
oboro_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
oboro_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
ostrich_archer_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
ostrich_archer_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
ostrich_bard_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
ostrich_bard_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
ostrich_clown_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
ostrich_dancer_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
ostrich_dancer_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
ostrich_hunter_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
ostrich_hunter_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
ostrich_minstrel_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
ostrich_sniper_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
ostrich_sniper_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
ostrich_wanderer_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
paladin_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
paladin_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
peco_gunslinger_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
peco_gunslinger_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
peco_paladin_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
peco_paladin_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
peco_swordman_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
peco_swordman_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
priest_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
priest_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
priest_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
priest_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
professor_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
professor_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
rebellion_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
rebellion_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
rebellion_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
rebellion_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
rogue_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
rogue_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
royal_guard_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
royal_guard_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
rune_knight_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
rune_knight_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
rune_knight_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
rune_knight_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sage_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sage_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shadow_chaser_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shadow_chaser_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shadow_cross_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shadow_cross_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shadow_cross_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shadow_cross_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shadow_cross_riding_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shadow_cross_riding_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shadow_cross_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shadow_cross_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shinkiro_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shinkiro_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shinkiro_riding_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shinkiro_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shiranui_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shiranui_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shiranui_riding_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
shiranui_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sky_emperor2_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sky_emperor2_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sky_emperor_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sky_emperor_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sky_emperor_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sky_emperor_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sky_emperor_riding_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sky_emperor_riding_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sky_emperor_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sky_emperor_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sniper_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sniper_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sorcerer_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sorcerer_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
soul_ascetic_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
soul_ascetic_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
soul_ascetic_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
soul_ascetic_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
soul_ascetic_riding_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
soul_ascetic_riding_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
soul_ascetic_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
soul_ascetic_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
soul_linker_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
soul_linker_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
stalker_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
stalker_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
summoner_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
summoner_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
summoner_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
summoner_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
summoner_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
summoner_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
super_novice_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
super_novice_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
super_novice_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
super_novice_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sura_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sura_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sura_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
sura_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
swordman_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
swordman_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
taekwon_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
taekwon_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
taekwon_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
taekwon_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
thief_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
thief_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trans_high_wizard_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trans_high_wizard_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trans_magician_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trans_magician_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trans_professor_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trans_professor_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trans_sage_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trans_sage_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trans_sorcerer_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trans_sorcerer_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trans_warlock_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trans_warlock_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trans_wizard_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trans_wizard_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
troubadour_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
troubadour_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
troubadour_riding_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
troubadour_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trouvere_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trouvere_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trouvere_riding_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
trouvere_¿©,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
wanderer_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
warlock_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
warlock_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
whitesmith_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
whitesmith_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
whitesmith_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
whitesmith_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
windhawk_female,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
windhawk_female_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
windhawk_male,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
windhawk_male_riding,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
windhawk_riding_³²,base_162,176-183 red,208-215 green,224-231 blue,240-247 gold
