Base,Source,Main,MainShadow,Detail,Gold,Purple,Green,Dark,Accent
hyper_novice_riding_¿©,162,159,12,0,2,6,44,27,6
hyper_novice_³²,162,159,12,0,2,6,44,27,6
hyper_novice_¿©,162,159,12,0,2,6,44,27,6
imperial_guard_chicken_³²,162,81,42,2,2,7,49,48,25
imperial_guard_chicken_¿©,162,156,13,2,2,7,43,26,7
imperial_guard_female,162,156,13,2,2,7,43,26,7
imperial_guard_female_riding,162,156,13,2,2,7,43,26,7
imperial_guard_male,162,81,42,2,2,7,49,48,25
imperial_guard_male_riding,162,81,42,2,2,7,49,48,25
imperial_guard_riding_³²,162,81,42,2,2,7,49,48,25
imperial_guard_riding_¿©,162,156,13,2,2,7,43,26,7
imperial_guard_³²,162,81,42,2,2,7,49,48,25
imperial_guard_¿©,162,156,13,2,2,7,43,26,7
inquisitor_female,162,135,15,2,2,7,59,29,7
inquisitor_female_riding,162,135,15,2,2,7,59,29,7
inquisitor_male,162,141,15,2,2,7,54,28,7
inquisitor_male_riding,162,141,15,2,2,7,54,28,7
inquisitor_riding_³²,162,141,15,2,2,7,54,28,7
inquisitor_riding_¿©,162,135,15,2,2,7,59,29,7
inquisitor_³²,162,141,15,2,2,7,54,28,7
inquisitor_¿©,162,135,15,2,2,7,59,29,7
kagerou_male,162,61,13,2,2,12,38,120,8
kagerou_³²,162,61,13,2,2,12,38,120,8
knight_female,162,70,41,2,2,3,67,46,25
knight_male,162,64,45,2,2,7,61,47,28
lion_crusader_female,162,70,41,2,2,3,67,46,25
lion_crusader_male,162,64,45,2,2,7,61,47,28
lion_knight_female,162,70,41,2,2,3,67,46,25
lion_knight_male,162,64,45,2,2,7,61,47,28
lion_lord_knight_female,162,70,41,2,2,3,67,46,25
lion_lord_knight_male,162,64,45,2,2,7,61,47,28
lion_paladin_female,162,70,41,2,2,3,67,46,25
lion_paladin_male,162,64,45,2,2,7,61,47,28
lion_royal_guard_female,162,156,13,2,2,7,43,26,7
lion_royal_guard_male,162,81,42,2,2,7,49,48,25
lion_rune_knight_female,162,148,14,2,2,7,42,33,8
lion_rune_knight_male,162,113,15,2,2,7,66,42,9
lord_knight_female,162,70,41,2,2,3,67,46,25
lord_knight_male,162,64,45,2,2,7,61,47,28
magician_female,162,158,15,2,2,6,39,27,7
magician_male,162,144,18,2,2,3,51,26,10
mechanic_female,162,67,48,4,2,10,49,49,27
mechanic_female_madogear,162,67,48,4,2,10,49,49,27
mechanic_female_riding,162,67,48,4,2,10,49,49,27
mechanic_male,162,78,48,4,2,10,39,48,27
mechanic_male_madogear,162,78,48,4,2,10,39,48,27
mechanic_male_riding,162,78,48,4,2,10,39,48,27
meister_female,162,67,48,4,2,10,49,49,27
meister_female_madogear1,162,67,48,4,2,10,49,49,27
meister_female_madogear2,162,67,48,4,2,10,49,49,27
meister_female_riding,162,67,48,4,2,10,49,49,27
meister_madogear1_³²,162,78,48,4,2,10,39,48,27
meister_madogear1_¿©,162,67,48,4,2,10,49,49,27
meister_madogear2_³²,162,78,48,4,2,10,39,48,27
meister_madogear2_¿©,162,67,48,4,2,10,49,49,27
meister_male,162,78,48,4,2,10,39,48,27
meister_male_madogear1,162,78,48,4,2,10,39,48,27
meister_male_madogear2,162,78,48,4,2,10,39,48,27
meister_male_riding,162,78,48,4,2,10,39,48,27
meister_riding_³²,162,78,48,4,2,10,39,48,27
meister_riding_¿©,162,67,48,4,2,10,49,49,27
meister_³²,162,78,48,4,2,10,39,48,27
meister_¿©,162,67,48,4,2,10,49,49,27
merchant_female,162,136,13,0,2,3,58,37,7
merchant_female_riding,162,136,13,0,2,3,58,37,7
merchant_male,162,144,12,0,2,3,59,30,6
merchant_male_riding,162,144,12,0,2,3,59,30,6
minstrel_male,162,58,47,4,2,7,62,48,28
monk_female,162,76,9,2,1,0,129,33,6
monk_female_riding,162,76,9,2,1,0,129,33,6
monk_male,162,79,46,2,2,3,48,48,28
monk_male_riding,162,79,46,2,2,3,48,48,28
new_peco_crusader_female,162,70,41,2,2,3,67,46,25
new_peco_crusader_male,162,64,45,2,2,7,61,47,28
night_watch_female,162,162,10,2,1,10,31,35,5
night_watch_female_riding,162,162,10,2,1,10,31,35,5
night_watch_male,162,151,10,2,1,10,41,36,5
night_watch_male_riding,162,151,10,2,1,10,41,36,5
night_watch_riding_³²,162,151,10,2,1,10,41,36,5
night_watch_riding_¿©,162,162,10,2,1,10,31,35,5
night_watch_³²,162,151,10,2,1,10,41,36,5
night_watch_¿©,162,162,10,2,1,10,31,35,5
ninja_female,162,65,15,2,2,15,29,120,8
ninja_male,162,61,13,2,2,12,38,120,8
oboro_female,162,65,15,2,2,15,29,120,8
oboro_¿©,162,65,15,2,2,15,29,120,8
ostrich_archer_female,162,144,11,0,1,8,50,36,6
ostrich_archer_male,162,141,13,0,2,3,53,37,7
ostrich_bard_female,162,80,17,2,2,12,10,127,6
ostrich_bard_male,162,78,45,2,2,3,49,50,27
ostrich_clown_male,162,78,45,2,2,3,49,50,27
ostrich_dancer_female,162,80,17,2,2,12,10,127,6
ostrich_dancer_male,162,78,45,2,2,3,49,50,27
ostrich_hunter_female,162,135,10,0,2,0,73,30,6
ostrich_hunter_male,162,78,45,2,2,3,49,50,27
ostrich_minstrel_male,162,58,47,4,2,7,62,48,28
ostrich_sniper_female,162,135,10,0,2,0,73,30,6
ostrich_sniper_male,162,78,45,2,2,3,49,50,27
ostrich_wanderer_female,162,140,17,2,2,7,52,27,9
paladin_female,162,70,41,2,2,3,67,46,25
paladin_male,162,64,45,2,2,7,61,47,28
peco_gunslinger_female,162,79,43,2,2,3,53,48,26
peco_gunslinger_male,162,79,43,2,2,3,53,48,26
peco_paladin_female,162,70,41,2,2,3,67,46,25
peco_paladin_male,162,64,45,2,2,7,61,47,28
peco_swordman_female,162,147,19,4,2,3,43,29,9
peco_swordman_male,162,149,17,2,2,3,47,27,9
priest_female,162,76,9,2,1,0,129,33,6
priest_female_riding,162,76,9,2,1,0,129,33,6
priest_male,162,79,46,2,2,3,48,48,28
priest_male_riding,162,79,46,2,2,3,48,48,28
professor_female,162,142,12,0,2,0,66,26,8
professor_male,162,152,9,0,2,0,59,29,5
rebellion_female,162,126,8,0,2,0,77,37,6
rebellion_female_riding,162,126,8,0,2,0,77,37,6
rebellion_male,162,146,9,0,2,0,64,30,5
rebellion_male_riding,162,146,9,0,2,0,64,30,5
rogue_female,162,157,10,0,2,0,53,28,6
rogue_male,162,146,9,0,2,0,64,30,5
royal_guard_female,162,156,13,2,2,7,43,26,7
royal_guard_male,162,81,42,2,2,7,49,48,25
rune_knight_female,162,148,14,2,2,7,42,33,8
rune_knight_female_riding,162,148,14,2,2,7,42,33,8
rune_knight_male,162,113,15,2,2,7,66,42,9
rune_knight_male_riding,162,113,15,2,2,7,66,42,9
sage_female,162,142,12,0,2,0,66,26,8
sage_male,162,152,9,0,2,0,59,29,5
shadow_chaser_female,162,160,12,2,2,3,44,27,6
shadow_chaser_male,162,93,45,4,2,6,34,46,26
shadow_cross_female,162,152,17,2,2,6,42,26,9
shadow_cross_female_riding,162,152,17,2,2,6,42,26,9
shadow_cross_male,162,168,16,2,2,6,28,26,8
shadow_cross_male_riding,162,168,16,2,2,6,28,26,8
shadow_cross_riding_³²,162,168,16,2,2,6,28,26,8
shadow_cross_riding_¿©,162,152,17,2,2,6,42,26,9
shadow_cross_³²,162,168,16,2,2,6,28,26,8
shadow_cross_¿©,162,152,17,2,2,6,42,26,9
shinkiro_male,162,61,13,2,2,12,38,120,8
shinkiro_male_riding,162,61,13,2,2,12,38,120,8
shinkiro_riding_³²,162,61,13,2,2,12,38,120,8
shinkiro_³²,162,61,13,2,2,12,38,120,8
shiranui_female,162,65,15,2,2,15,29,120,8
shiranui_female_riding,162,65,15,2,2,15,29,120,8
shiranui_riding_¿©,162,65,15,2,2,15,29,120,8
shiranui_¿©,162,65,15,2,2,15,29,120,8
sky_emperor2_³²,162,74,43,2,1,6,56,49,25
sky_emperor2_¿©,162,156,14,0,2,7,42,27,8
sky_emperor_female,162,156,14,0,2,7,42,27,8
sky_emperor_female_riding,162,156,14,0,2,7,42,27,8
sky_emperor_male,162,74,43,2,1,6,56,49,25
sky_emperor_male_riding,162,74,43,2,1,6,56,49,25
sky_emperor_riding_³²,162,74,43,2,1,6,56,49,25
sky_emperor_riding_¿©,162,156,14,0,2,7,42,27,8
sky_emperor_³²,162,74,43,2,1,6,56,49,25
sky_emperor_¿©,162,156,14,0,2,7,42,27,8
sniper_female,162,135,10,0,2,0,73,30,6
sniper_male,162,78,45,2,2,3,49,50,27
sorcerer_female,162,167,14,2,2,0,37,26,8
sorcerer_male,162,85,45,4,2,7,39,48,26
soul_ascetic_female,162,89,40,4,5,10,37,46,25
soul_ascetic_female_riding,162,89,40,4,5,10,37,46,25
soul_ascetic_male,162,89,40,4,5,10,37,46,25
soul_ascetic_male_riding,162,89,40,4,5,10,37,46,25
soul_ascetic_riding_³²,162,89,40,4,5,10,37,46,25
soul_ascetic_riding_¿©,162,89,40,4,5,10,37,46,25
soul_ascetic_³²,162,89,40,4,5,10,37,46,25
soul_ascetic_¿©,162,89,40,4,5,10,37,46,25
soul_linker_female,162,156,14,0,2,7,42,27,8
soul_linker_male,162,74,43,2,1,6,56,49,25
stalker_female,162,70,41,2,2,3,67,46,25
stalker_male,162,64,45,2,2,7,61,47,28
summoner_female,162,156,14,0,2,7,42,27,8
summoner_female_riding,162,156,14,0,2,7,42,27,8
summoner_male,162,74,43,2,1,6,56,49,25
summoner_male_riding,162,74,43,2,1,6,56,49,25
summoner_³²,162,91,42,4,2,9,39,48,21
summoner_¿©,162,86,47,2,2,12,37,44,26
super_novice_female,162,159,12,0,2,6,44,27,6
super_novice_female_riding,162,159,12,0,2,6,44,27,6
super_novice_male,162,159,12,0,2,6,44,27,6
super_novice_male_riding,162,159,12,0,2,6,44,27,6
sura_female,162,135,15,2,2,7,59,29,7
sura_female_riding,162,135,15,2,2,7,59,29,7
sura_male,162,141,15,2,2,7,54,28,7
sura_male_riding,162,141,15,2,2,7,54,28,7
swordman_female,162,147,19,4,2,3,43,29,9
swordman_male,162,149,17,2,2,3,47,27,9
taekwon_female,162,156,14,0,2,7,42,27,8
taekwon_female_riding,162,156,14,0,2,7,42,27,8
taekwon_male,162,74,43,2,1,6,56,49,25
taekwon_male_riding,162,74,43,2,1,6,56,49,25
thief_female,162,144,11,0,2,3,60,31,5
thief_male,162,157,15,2,2,7,39,27,7
trans_high_wizard_female,162,142,12,0,2,0,66,26,8
trans_high_wizard_male,162,152,9,0,2,0,59,29,5
trans_magician_female,162,158,15,2,2,6,39,27,7
trans_magician_male,162,144,18,2,2,3,51,26,10
trans_professor_female,162,142,12,0,2,0,66,26,8
trans_professor_male,162,152,9,0,2,0,59,29,5
trans_sage_female,162,142,12,0,2,0,66,26,8
trans_sage_male,162,152,9,0,2,0,59,29,5
trans_sorcerer_female,162,167,14,2,2,0,37,26,8
trans_sorcerer_male,162,85,45,4,2,7,39,48,26
trans_warlock_female,162,145,10,2,3,7,53,30,6
trans_warlock_male,162,86,31,4,3,10,48,55,19
trans_wizard_female,162,142,12,0,2,0,66,26,8
trans_wizard_male,162,152,9,0,2,0,59,29,5
troubadour_male,162,78,45,2,2,3,49,50,27
troubadour_male_riding,162,78,45,2,2,3,49,50,27
troubadour_riding_³²,162,78,45,2,2,3,49,50,27
troubadour_³²,162,78,45,2,2,3,49,50,27
trouvere_female,162,140,17,2,2,7,52,27,9
trouvere_female_riding,162,140,17,2,2,7,52,27,9
trouvere_riding_¿©,162,140,17,2,2,7,52,27,9
trouvere_¿©,162,140,17,2,2,7,52,27,9
wanderer_female,162,140,17,2,2,7,52,27,9
warlock_female,162,145,10,2,3,7,53,30,6
warlock_male,162,86,31,4,3,10,48,55,19
whitesmith_female,162,126,8,0,2,0,77,37,6
whitesmith_female_riding,162,126,8,0,2,0,77,37,6
whitesmith_male,162,152,9,0,2,0,59,29,5
whitesmith_male_riding,162,152,9,0,2,0,59,29,5
windhawk_female,162,162,10,2,1,10,31,35,5
windhawk_female_riding,162,162,10,2,1,10,31,35,5
windhawk_male,162,151,10,2,1,10,41,36,5
windhawk_male_riding,162,151,10,2,1,10,41,36,5
windhawk_riding_³²,162,151,10,2,1,10,41,36,5
windhawk_riding_¿©,162,162,10,2,1,10,31,35,5
windhawk_³²,162,151,10,2,1,10,41,36,5
windhawk_¿©,162,162,10,2,1,10,31,35,5
wizard_female,162,142,12,0,2,0,66,26,8
wizard_male,162,152,9,0,2,0,59,29,5
wolf_windhawk_female,162,162,10,2,1,10,31,35,5
wolf_windhawk_male,162,151,10,2,1,10,41,36,5
wolf_windhawk_³²,162,151,10,2,1,10,41,36,5
wolf_windhawk_¿©,162,162,10,2,1,10,31,35,5
°Ç³Ê_³²,162,79,43,2,2,3,53,48,26
°Ç³Ê_¿©,162,79,43,2,2,3,53,48,26
°Ë»ç_³²,162,149,17,2,2,3,47,27,9
°Ë»ç_¿©,162,147,19,4,2,3,43,29,9
°Ë»çÆäÄÚ_³²,162,149,17,2,2,3,47,27,9
°Ë»çÆäÄÚ_¿©,162,147,19,4,2,3,43,29,9
°áÈ¥_³²,162,88,6,0,1,0,127,32,2
°áÈ¥_¿©,162,177,11,0,2,11,25,25,5
±Ã¼ö_³²,162,141,13,0,2,3,53,37,7
±Ã¼ö_¿©,162,144,11,0,1,8,50,36,6
±Ç¼º_³²,162,74,43,2,1,6,56,49,25
±Ç¼º_¿©,162,156,14,0,2,7,42,27,8
±Ç¼ºÀ¶ÇÕ_³²,162,74,43,2,1,6,56,49,25
±Ç¼ºÀ¶ÇÕ_¿©,162,156,14,0,2,7,42,27,8
±Ç¼ºÆ÷¸µ_³²,162,74,43,2,1,6,56,49,25
±Ç¼ºÆ÷¸µ_¿©,162,156,14,0,2,7,42,27,8
±×¸®Æù·Î¾â_³²,162,82,42,2,2,7,49,47,25
±×¸®Æù·Î¾â_¿©,162,82,42,2,2,7,49,47,25
±â»ç_³²,162,64,45,2,2,7,61,47,28
±â»ç_¿©,162,70,41,2,2,3,67,46,25
±æ·ÎÆ¾Å©·Î½º_³²,162,168,16,2,2,6,28,26,8
±æ·ÎÆ¾Å©·Î½º_¿©,162,152,17,2,2,6,42,26,9
´ÑÀÚ_³²,162,61,13,2,2,12,38,120,8
´ÑÀÚ_¿©,162,65,15,2,2,15,29,120,8
´í¼­_¿©,162,135,10,0,2,0,73,30,6
µµµÏ_³²,162,157,15,2,2,7,39,27,7
µµµÏ_¿©,162,144,11,0,2,3,60,31,5
µÎ²¨ºñ´ÑÀÚ_³²,162,61,13,2,2,12,38,120,8
µÎ²¨ºñ´ÑÀÚ_¿©,162,65,15,2,2,15,29,120,8
µÎ²¨ºñ¼Ò¿ï¸µÄ¿_³²,162,74,43,2,1,6,56,49,25
µÎ²¨ºñ¼Ò¿ï¸µÄ¿_¿©,162,156,14,0,2,7,42,27,8
·¹ÀÎÀú_³²,162,151,10,2,1,10,41,36,5
·¹ÀÎÀú_¿©,162,162,10,2,1,10,31,35,5
·Î±×_³²,162,146,9,0,2,0,64,30,5
·Î±×_¿©,162,157,10,0,2,0,53,28,6
·Îµå³ªÀÌÆ®_³²,162,64,45,2,2,7,61,47,28
·Îµå³ªÀÌÆ®_¿©,162,70,41,2,2,3,67,46,25
·Î¾â°¡µå_³²,162,81,42,2,2,7,49,48,25
·Î¾â°¡µå_¿©,162,156,13,2,2,7,43,26,7
·é³ªÀÌÆ®_³²,162,113,15,2,2,7,66,42,9
·é³ªÀÌÆ®_¿©,162,148,14,2,2,7,42,33,8
·é³ªÀÌÆ®»Ú¶ì_³²,162,113,15,2,2,7,66,42,9
·é³ªÀÌÆ®»Ú¶ì_¿©,162,148,14,2,2,7,42,33,8
·éµå·¡°ï_³²,162,118,14,2,2,7,62,43,8
·éµå·¡°ï_¿©,162,118,14,2,2,7,62,43,8
¸®º§¸®¿Â_³²,162,79,43,2,2,3,53,48,26
¸®º§¸®¿Â_¿©,162,79,43,2,2,3,53,48,26
¸¶¹ý»ç_³²,162,144,18,2,2,3,51,26,10
¸¶¹ý»ç_¿©,162,158,15,2,2,6,39,27,7
¸ùÅ©_³²,162,79,46,2,2,3,48,48,28
¸ùÅ©_¿©,162,76,9,2,1,0,129,33,6
¸ùÅ©¾ËÆÄÄ«_³²,162,79,46,2,2,3,48,48,28
¸ùÅ©¾ËÆÄÄ«_¿©,162,76,9,2,1,0,129,33,6
¹«Èñ_³²,162,78,45,2,2,3,49,50,27
¹«Èñ_¿©,162,80,17,2,2,12,10,127,6
¹«Èñ¹ÙÁö_¿©,162,80,17,2,2,12,10,127,6
¹ÌÄÉ´Ð_³²,162,78,48,4,2,10,39,48,27
¹ÌÄÉ´Ð_¸¶µµ±â¾î_³²,162,78,48,4,2,10,39,48,27
¹ÌÄÉ´Ð_¸¶µµ±â¾î_¿©,162,67,48,4,2,10,49,49,27
¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_³²,162,78,48,4,2,10,39,48,27
¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_¿©,162,67,48,4,2,10,49,49,27
¹ÌÄÉ´Ð_¿©,162,67,48,4,2,10,49,49,27
¹ÌÄÉ´Ð¸äµÅÁö_³²,162,78,48,4,2,10,39,48,27
¹ÌÄÉ´Ð¸äµÅÁö_¿©,162,67,48,4,2,10,49,49,27
¹Î½ºÆ®·²_³²,162,58,47,4,2,7,62,48,28
¹Î½ºÆ®·²_¿©,162,140,17,2,2,7,52,27,9
¹Ùµå_³²,162,78,45,2,2,3,49,50,27
¹Ùµå_¿©,162,80,17,2,2,12,10,127,6
»çÀÚ±â»ç_³²,162,64,45,2,2,7,61,47,28
»çÀÚ±â»ç_¿©,162,70,41,2,2,3,67,46,25
»çÀÚ·Îµå³ªÀÌÆ®_³²,162,64,45,2,2,7,61,47,28
»çÀÚ·Îµå³ªÀÌÆ®_¿©,162,70,41,2,2,3,67,46,25
»çÀÚ·Î¾â°¡µå_³²,162,81,42,2,2,7,49,48,25
»çÀÚ·Î¾â°¡µå_¿©,162,156,13,2,2,7,43,26,7
»çÀÚ·é³ªÀÌÆ®_³²,162,113,15,2,2,7,66,42,9
»çÀÚ·é³ªÀÌÆ®_¿©,162,148,14,2,2,7,42,33,8
»çÀÚÅ©·ç¼¼ÀÌ´õ_³²,162,64,45,2,2,7,61,47,28
»çÀÚÅ©·ç¼¼ÀÌ´õ_¿©,162,70,41,2,2,3,67,46,25
»çÀÚÆÈ¶óµò_³²,162,64,45,2,2,7,61,47,28
»çÀÚÆÈ¶óµò_¿©,162,70,41,2,2,3,67,46,25
»óÀÎ_³²,162,144,12,0,2,3,59,30,6
»óÀÎ_¿©,162,136,13,0,2,3,58,37,7
»óÀÎ¸äµÅÁö_³²,162,144,12,0,2,3,59,30,6
»óÀÎ¸äµÅÁö_¿©,162,136,13,0,2,3,58,37,7
¼ºÁ¦_³²,162,99,42,2,2,13,29,45,24
¼ºÁ¦_³²_Å»°Í,162,95,39,2,2,10,39,46,23
¼ºÁ¦_¿©,162,95,39,2,2,10,39,46,23
¼ºÁ¦_¿©_Å»°Í,162,95,39,2,2,10,39,46,23
¼ºÁ¦À¶ÇÕ_³²,162,95,39,2,2,10,39,46,23
¼ºÁ¦À¶ÇÕ_¿©,162,95,39,2,2,10,39,46,23
¼ºÁ÷ÀÚ_³²,162,150,13,0,2,3,53,28,7
¼ºÁ÷ÀÚ_¿©,162,141,9,0,2,3,66,28,7
¼ºÅõ»ç2_³²,162,80,17,2,2,12,10,127,6
¼ºÅõ»ç2_¿©,162,80,17,2,2,12,10,127,6
¼ºÅõ»ç_³²,162,80,17,2,2,12,10,127,6
¼ºÅõ»ç_¿©,162,80,17,2,2,12,10,127,6
¼¼ÀÌÁö_³²,162,152,9,0,2,0,59,29,5
¼¼ÀÌÁö_¿©,162,142,12,0,2,0,66,26,8
¼Ò¼­·¯_³²,162,85,45,4,2,7,39,48,26
¼Ò¼­·¯_¿©,162,167,14,2,2,0,37,26,8
¼Ò¿ï¸®ÆÛ_³²,162,89,40,4,5,10,37,46,25
¼Ò¿ï¸®ÆÛ_¿©,162,89,40,4,5,10,37,46,25
¼Ò¿ï¸µÄ¿_³²,162,74,43,2,1,6,56,49,25
¼Ò¿ï¸µÄ¿_¿©,162,156,14,0,2,7,42,27,8
½¦µµ¿ìÃ¼ÀÌ¼­_³²,162,93,45,4,2,6,34,46,26
½¦µµ¿ìÃ¼ÀÌ¼­_¿©,162,160,12,2,2,3,44,27,6
½´¶ó_³²,162,141,15,2,2,7,54,28,7
½´¶ó_¿©,162,135,15,2,2,7,59,29,7
