"Dest","Source","Mapping"
"biolo_male","Á¦³×¸¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"biolo_male_riding","Á¦³×¸¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"biolo_riding_³²","Á¦³×¸¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"biolo_riding_¿©","Á¦³×¸¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"biolo_³²","Á¦³×¸¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"biolo_¿©","Á¦³×¸¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"cardinal_female","¾ÆÅ©ºñ¼ó_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"cardinal_female_riding","¾ÆÅ©ºñ¼ó_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"cardinal_legacy_female","¼ºÁ¦_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"cardinal_legacy_female_riding","¼ºÁ¦_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"cardinal_legacy_male","¼ºÁ¦_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"cardinal_legacy_male_riding","¼ºÁ¦_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"cardinal_male","¾ÆÅ©ºñ¼ó_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"cardinal_male_riding","¾ÆÅ©ºñ¼ó_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"cardinal_riding_³²","¾ÆÅ©ºñ¼ó_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"cardinal_riding_¿©","¾ÆÅ©ºñ¼ó_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"cardinal_³²","¾ÆÅ©ºñ¼ó_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"cardinal_¿©","¾ÆÅ©ºñ¼ó_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"cart_summoner_³²","cart_summoner_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"cart_summoner_¿©","cart_summoner_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"cartsummoner_³²","cartsummoner_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"cartsummoner_¿©","cartsummoner_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"champion_female","Ã¨ÇÇ¿Â_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"champion_female_riding","Ã¨ÇÇ¿Â_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"champion_male","Ã¨ÇÇ¿Â_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"champion_male_riding","Ã¨ÇÇ¿Â_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"clown_male","Å©¶ó¿î_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"creator_female","Å©¸®¿¡ÀÌÅÍ_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"creator_female_riding","Å©¸®¿¡ÀÌÅÍ_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"creator_male","Å©¸®¿¡ÀÌÅÍ_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"creator_male_riding","Å©¸®¿¡ÀÌÅÍ_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"crusader_female","Å©·ç_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"crusader_male","Å©·ç_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dancer_female","¹«Èñ_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dancer_female_riding","¹«Èñ_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dancer_male","¹Ùµå_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dog_guillotine_cross_female","±æ·ÎÆ¾Å©·Î½º_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dog_guillotine_cross_male","±æ·ÎÆ¾Å©·Î½º_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dog_rogue_female","·Î±×_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dog_rogue_male","·Î±×_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dog_shadow_chaser_female","½¦µµ¿ìÃ¼ÀÌ¼­_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dog_shadow_chaser_male","½¦µµ¿ìÃ¼ÀÌ¼­_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dog_stalker_female","½ºÅäÄ¿_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dog_stalker_male","½ºÅäÄ¿_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dog_thief_female","µµµÏ_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dog_thief_male","µµµÏ_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dragon_knight_chicken_³²","·é³ªÀÌÆ®_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dragon_knight_chicken_¿©","·é³ªÀÌÆ®_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dragon_knight_female","·é³ªÀÌÆ®_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dragon_knight_female_riding","·é³ªÀÌÆ®_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dragon_knight_male","·é³ªÀÌÆ®_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dragon_knight_male_riding","·é³ªÀÌÆ®_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dragon_knight_riding_³²","·é³ªÀÌÆ®_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dragon_knight_riding_¿©","·é³ªÀÌÆ®_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dragon_knight_³²","·é³ªÀÌÆ®_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"dragon_knight_¿©","·é³ªÀÌÆ®_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"elemetal_master_female","¼Ò¼­·¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"elemetal_master_female_riding","¼Ò¼­·¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"elemetal_master_male","¼Ò¼­·¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"elemetal_master_male_riding","¼Ò¼­·¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"elemetal_master_riding_³²","¼Ò¼­·¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"elemetal_master_riding_¿©","¼Ò¼­·¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"elemetal_master_³²","¼Ò¼­·¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"elemetal_master_¿©","¼Ò¼­·¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"frog_kagerou_male","kagerou_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"frog_kagerou_³²","kagerou_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"frog_ninja_female","´ÑÀÚ_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"frog_ninja_male","´ÑÀÚ_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"frog_oboro_female","oboro_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"frog_oboro_¿©","oboro_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"frog_soul_linker_female","¼Ò¿ï¸µÄ¿_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"frog_soul_linker_male","¼Ò¿ï¸µÄ¿_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"genetic_female","Á¦³×¸¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"genetic_female_riding","Á¦³×¸¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"genetic_male","Á¦³×¸¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"genetic_male_riding","Á¦³×¸¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"guillotine_cross_female","±æ·ÎÆ¾Å©·Î½º_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"guillotine_cross_male","±æ·ÎÆ¾Å©·Î½º_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"gunslinger_female","°Ç³Ê_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"gunslinger_male","°Ç³Ê_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"high_priest_female","ÇÏÀÌÇÁ¸®½ºÆ®_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"high_priest_female_riding","ÇÏÀÌÇÁ¸®½ºÆ®_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"high_priest_male","ÇÏÀÌÇÁ¸®½ºÆ®_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"high_priest_male_riding","ÇÏÀÌÇÁ¸®½ºÆ®_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"high_wizard_female","ÇÏÀÌÀ§Àúµå_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"high_wizard_male","ÇÏÀÌÀ§Àúµå_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"hunter_female","ÇåÅÍ_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"hunter_male","ÇåÅÍ_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"hyper_novice_female","½´ÆÛ³ëºñ½º_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"hyper_novice_female_riding","½´ÆÛ³ëºñ½º_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"hyper_novice_male","½´ÆÛ³ëºñ½º_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"hyper_novice_male_riding","½´ÆÛ³ëºñ½º_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"hyper_novice_riding_³²","½´ÆÛ³ëºñ½º_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"hyper_novice_riding_¿©","½´ÆÛ³ëºñ½º_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"hyper_novice_³²","½´ÆÛ³ëºñ½º_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"hyper_novice_¿©","½´ÆÛ³ëºñ½º_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
"imperial_guard_chicken_³²","·Î¾â°¡µå_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=18,11=19,12=21,13=22,14=23,15=24,16=25,17=26,18=27,19=28,20=29"
