Base,WhiteIndices,Indices
cardinal_legacy_female_riding,14,"1,48,88,120,121,128,129,160,176,177,178,208,232,233"
cardinal_legacy_male,16,"1,48,72,88,120,121,128,129,160,176,177,178,200,208,232,233"
cardinal_legacy_male_riding,14,"1,48,88,120,121,128,129,160,176,177,178,208,232,233"
cardinal_male,13,"1,48,88,120,121,128,129,160,200,208,232,233,240"
cardinal_male_riding,13,"1,48,88,120,121,128,129,160,200,208,232,233,240"
cardinal_riding_³²,13,"1,48,88,120,121,128,129,160,200,208,232,233,240"
cardinal_riding_¿©,11,"1,120,121,128,129,216,217,224,232,233,240"
cardinal_³²,13,"1,48,88,120,121,128,129,160,200,208,232,233,240"
cardinal_¿©,11,"1,120,121,128,129,216,217,224,232,233,240"
cart_summoner_³²,18,"1,40,48,72,73,120,121,128,129,160,176,177,178,200,208,216,232,233"
cart_summoner_¿©,21,"1,8,9,16,17,72,73,88,120,121,128,129,160,176,177,178,200,208,216,232,233"
cartsummoner_³²,16,"1,40,72,73,88,128,129,160,176,177,178,208,216,232,233,240"
cartsummoner_¿©,19,"1,40,72,73,88,89,120,121,128,129,176,177,178,208,216,224,232,233,240"
champion_female,10,"1,8,9,40,72,73,120,121,128,129"
champion_female_riding,10,"1,8,9,40,72,73,120,121,128,129"
champion_male,18,"1,40,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
champion_male_riding,18,"1,40,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
clown_male,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
creator_female,14,"1,72,73,120,121,128,129,176,177,178,208,216,217,224"
creator_female_riding,14,"1,72,73,120,121,128,129,176,177,178,208,216,217,224"
creator_male,14,"1,72,120,121,128,129,176,177,178,208,224,232,233,240"
creator_male_riding,14,"1,72,120,121,128,129,176,177,178,208,224,232,233,240"
crusader_female,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
crusader_male,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
dancer_female,13,"1,40,48,72,88,120,121,128,129,200,216,232,233"
dancer_female_riding,13,"1,40,48,72,88,120,121,128,129,200,216,232,233"
dancer_male,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
dog_guillotine_cross_female,20,"1,40,48,72,73,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
dog_guillotine_cross_male,19,"1,40,48,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
dog_rogue_female,16,"1,8,9,120,121,128,129,176,177,178,208,216,224,232,233,240"
dog_rogue_male,13,"1,120,121,128,129,176,177,178,208,224,232,233,240"
dog_shadow_chaser_female,16,"1,40,48,120,121,128,129,176,177,178,208,216,224,232,233,240"
dog_shadow_chaser_male,17,"1,40,48,72,120,121,128,129,160,176,177,178,208,216,232,233,240"
dog_stalker_female,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
dog_stalker_male,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
dog_thief_female,12,"1,128,129,176,177,178,200,208,224,232,233,240"
dog_thief_male,17,"1,40,88,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
dragon_knight_chicken_³²,19,"1,8,9,40,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224"
dragon_knight_chicken_¿©,19,"1,40,64,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224,240"
dragon_knight_female,19,"1,40,64,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224,240"
dragon_knight_female_riding,19,"1,40,64,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224,240"
dragon_knight_male,19,"1,8,9,40,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224"
dragon_knight_male_riding,19,"1,8,9,40,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224"
dragon_knight_riding_³²,19,"1,8,9,40,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224"
dragon_knight_riding_¿©,19,"1,40,64,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224,240"
dragon_knight_³²,19,"1,8,9,40,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224"
dragon_knight_¿©,19,"1,40,64,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224,240"
elemental_master_female_riding,19,"1,40,72,73,88,89,120,121,128,129,176,177,178,208,216,224,232,233,240"
elemental_master_male_riding,16,"1,40,72,73,88,128,129,160,176,177,178,208,216,232,233,240"
elemetal_master_female,19,"1,40,72,73,88,89,120,121,128,129,176,177,178,208,216,224,232,233,240"
elemetal_master_female_riding,19,"1,40,72,73,88,89,120,121,128,129,176,177,178,208,216,224,232,233,240"
elemetal_master_male,16,"1,40,72,73,88,128,129,160,176,177,178,208,216,232,233,240"
elemetal_master_male_riding,16,"1,40,72,73,88,128,129,160,176,177,178,208,216,232,233,240"
elemetal_master_riding_³²,16,"1,40,72,73,88,128,129,160,176,177,178,208,216,232,233,240"
elemetal_master_riding_¿©,19,"1,40,72,73,88,89,120,121,128,129,176,177,178,208,216,224,232,233,240"
elemetal_master_³²,16,"1,40,72,73,88,128,129,160,176,177,178,208,216,232,233,240"
elemetal_master_¿©,19,"1,40,72,73,88,89,120,121,128,129,176,177,178,208,216,224,232,233,240"
frog_kagerou_male,13,"1,8,9,40,72,73,88,128,129,208,216,232,233"
frog_kagerou_³²,13,"1,8,9,40,72,73,88,128,129,208,216,232,233"
frog_ninja_female,12,"1,40,88,120,121,128,129,200,208,216,232,233"
frog_ninja_male,13,"1,8,9,40,72,73,88,128,129,208,216,232,233"
frog_oboro_female,12,"1,40,88,120,121,128,129,200,208,216,232,233"
frog_oboro_¿©,12,"1,40,88,120,121,128,129,200,208,216,232,233"
frog_soul_linker_female,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
frog_soul_linker_male,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
genetic_female,16,"1,40,88,120,121,128,129,176,177,178,200,208,224,232,233,240"
genetic_female_riding,16,"1,40,88,120,121,128,129,176,177,178,200,208,224,232,233,240"
genetic_male,14,"1,72,73,88,120,121,128,129,160,200,208,232,233,240"
genetic_male_riding,14,"1,72,73,88,120,121,128,129,160,200,208,232,233,240"
guillotine_cross_female,20,"1,40,48,72,73,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
guillotine_cross_male,19,"1,40,48,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
gunslinger_female,16,"1,72,73,120,121,128,129,160,176,177,178,208,216,232,233,240"
gunslinger_male,16,"1,72,73,120,121,128,129,160,176,177,178,208,216,232,233,240"
high_priest_female,10,"1,8,9,40,72,73,120,121,128,129"
high_priest_female_riding,10,"1,8,9,40,72,73,120,121,128,129"
high_priest_male,18,"1,40,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
high_priest_male_riding,18,"1,40,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
high_wizard_female,20,"1,8,9,64,65,72,73,128,129,168,169,176,177,178,208,216,224,232,233,240"
high_wizard_male,14,"1,72,73,128,129,176,177,178,208,216,224,232,233,240"
hunter_female,12,"1,8,9,120,121,128,129,208,224,232,233,240"
hunter_male,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
hyper_novice_female,17,"1,48,72,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
hyper_novice_female_riding,17,"1,48,72,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
hyper_novice_male,17,"1,48,72,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
hyper_novice_male_riding,17,"1,48,72,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
hyper_novice_riding_³²,17,"1,48,72,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
hyper_novice_riding_¿©,17,"1,48,72,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
hyper_novice_³²,17,"1,48,72,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
hyper_novice_¿©,17,"1,48,72,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
imperial_guard_chicken_³²,14,"1,88,120,121,128,129,160,176,177,178,208,232,233,240"
imperial_guard_chicken_¿©,18,"1,40,48,72,73,88,120,121,128,129,176,177,178,208,224,232,233,240"
imperial_guard_female,18,"1,40,48,72,73,88,120,121,128,129,176,177,178,208,224,232,233,240"
imperial_guard_female_riding,18,"1,40,48,72,73,88,120,121,128,129,176,177,178,208,224,232,233,240"
imperial_guard_male,14,"1,88,120,121,128,129,160,176,177,178,208,232,233,240"
imperial_guard_male_riding,14,"1,88,120,121,128,129,160,176,177,178,208,232,233,240"
imperial_guard_riding_³²,14,"1,88,120,121,128,129,160,176,177,178,208,232,233,240"
imperial_guard_riding_¿©,18,"1,40,48,72,73,88,120,121,128,129,176,177,178,208,224,232,233,240"
imperial_guard_³²,14,"1,88,120,121,128,129,160,176,177,178,208,232,233,240"
imperial_guard_¿©,18,"1,40,48,72,73,88,120,121,128,129,176,177,178,208,224,232,233,240"
inquisitor_female,15,"1,40,88,120,121,128,129,176,177,178,200,224,232,233,240"
inquisitor_female_riding,15,"1,40,88,120,121,128,129,176,177,178,200,224,232,233,240"
inquisitor_male,16,"1,40,88,120,121,128,129,176,177,178,200,208,224,232,233,240"
inquisitor_male_riding,16,"1,40,88,120,121,128,129,176,177,178,200,208,224,232,233,240"
inquisitor_riding_³²,16,"1,40,88,120,121,128,129,176,177,178,200,208,224,232,233,240"
inquisitor_riding_¿©,15,"1,40,88,120,121,128,129,176,177,178,200,224,232,233,240"
inquisitor_³²,16,"1,40,88,120,121,128,129,176,177,178,200,208,224,232,233,240"
inquisitor_¿©,15,"1,40,88,120,121,128,129,176,177,178,200,224,232,233,240"
kagerou_male,13,"1,8,9,40,72,73,88,128,129,208,216,232,233"
kagerou_³²,13,"1,8,9,40,72,73,88,128,129,208,216,232,233"
knight_female,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
knight_male,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
lion_crusader_female,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
lion_crusader_male,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
lion_knight_female,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
lion_knight_male,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
lion_lord_knight_female,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
lion_lord_knight_male,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
lion_paladin_female,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
lion_paladin_male,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
lion_royal_guard_female,18,"1,40,48,72,73,88,120,121,128,129,176,177,178,208,224,232,233,240"
lion_royal_guard_male,14,"1,88,120,121,128,129,160,176,177,178,208,232,233,240"
lion_rune_knight_female,19,"1,40,64,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224,240"
lion_rune_knight_male,19,"1,8,9,40,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224"
lord_knight_female,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
lord_knight_male,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
magician_female,18,"1,8,9,40,48,72,128,129,176,177,178,200,208,216,224,232,233,240"
magician_male,22,"1,8,9,40,64,65,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
mechanic_female,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
mechanic_female_madogear,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
mechanic_female_riding,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
mechanic_male,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
mechanic_male_madogear,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
mechanic_male_riding,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
meister_female,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
meister_female_madogear1,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
meister_female_madogear2,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
meister_female_riding,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
meister_madogear1_³²,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
meister_madogear1_¿©,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
meister_madogear2_³²,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
meister_madogear2_¿©,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
meister_male,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
meister_male_madogear1,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
meister_male_madogear2,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
meister_male_riding,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
meister_riding_³²,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
meister_riding_¿©,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
meister_³²,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
meister_¿©,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
merchant_female,15,"1,72,73,128,129,176,177,178,200,208,216,217,224,232,233"
merchant_female_riding,15,"1,72,73,128,129,176,177,178,200,208,216,217,224,232,233"
merchant_male,14,"1,128,129,176,177,178,200,208,216,217,224,232,233,240"
merchant_male_riding,14,"1,128,129,176,177,178,200,208,216,217,224,232,233,240"
minstrel_male,18,"1,8,9,40,72,73,88,120,121,128,129,160,176,177,178,208,232,233"
monk_female,10,"1,8,9,40,72,73,120,121,128,129"
monk_female_riding,10,"1,8,9,40,72,73,120,121,128,129"
monk_male,18,"1,40,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
monk_male_riding,18,"1,40,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
new_peco_crusader_female,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
new_peco_crusader_male,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
night_watch_female,13,"1,40,48,72,88,120,121,128,129,200,208,216,224"
night_watch_female_riding,13,"1,40,48,72,88,120,121,128,129,200,208,216,224"
night_watch_male,12,"1,40,48,72,88,120,121,128,129,200,208,224"
night_watch_male_riding,12,"1,40,48,72,88,120,121,128,129,200,208,224"
night_watch_riding_³²,12,"1,40,48,72,88,120,121,128,129,200,208,224"
night_watch_riding_¿©,13,"1,40,48,72,88,120,121,128,129,200,208,216,224"
night_watch_³²,12,"1,40,48,72,88,120,121,128,129,200,208,224"
night_watch_¿©,13,"1,40,48,72,88,120,121,128,129,200,208,216,224"
ninja_female,12,"1,40,88,120,121,128,129,200,208,216,232,233"
ninja_male,13,"1,8,9,40,72,73,88,128,129,208,216,232,233"
oboro_female,12,"1,40,88,120,121,128,129,200,208,216,232,233"
oboro_¿©,12,"1,40,88,120,121,128,129,200,208,216,232,233"
ostrich_archer_female,14,"1,8,9,48,72,73,128,129,200,208,216,224,232,233"
ostrich_archer_male,13,"1,8,9,72,73,128,129,200,208,216,224,232,233"
ostrich_bard_female,13,"1,40,48,72,88,120,121,128,129,200,216,232,233"
ostrich_bard_male,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
ostrich_clown_male,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
ostrich_dancer_female,13,"1,40,48,72,88,120,121,128,129,200,216,232,233"
ostrich_dancer_male,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
ostrich_hunter_female,12,"1,8,9,120,121,128,129,208,224,232,233,240"
ostrich_hunter_male,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
ostrich_minstrel_male,18,"1,8,9,40,72,73,88,120,121,128,129,160,176,177,178,208,232,233"
ostrich_sniper_female,12,"1,8,9,120,121,128,129,208,224,232,233,240"
ostrich_sniper_male,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
ostrich_wanderer_female,18,"1,8,9,40,72,73,88,120,121,128,129,200,208,216,224,232,233,240"
paladin_female,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
paladin_male,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
peco_gunslinger_female,16,"1,72,73,120,121,128,129,160,176,177,178,208,216,232,233,240"
peco_gunslinger_male,16,"1,72,73,120,121,128,129,160,176,177,178,208,216,232,233,240"
peco_paladin_female,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
peco_paladin_male,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
peco_swordman_female,18,"1,8,9,40,72,120,121,128,129,176,177,178,200,208,216,232,233,240"
peco_swordman_male,20,"1,8,9,40,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
priest_female,10,"1,8,9,40,72,73,120,121,128,129"
priest_female_riding,10,"1,8,9,40,72,73,120,121,128,129"
priest_male,18,"1,40,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
priest_male_riding,18,"1,40,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
professor_female,20,"1,8,9,64,65,72,73,128,129,168,169,176,177,178,208,216,224,232,233,240"
professor_male,14,"1,72,73,128,129,176,177,178,208,216,224,232,233,240"
rebellion_female,14,"1,72,73,120,121,128,129,176,177,178,208,216,217,224"
rebellion_female_riding,14,"1,72,73,120,121,128,129,176,177,178,208,216,217,224"
rebellion_male,13,"1,120,121,128,129,176,177,178,208,224,232,233,240"
rebellion_male_riding,13,"1,120,121,128,129,176,177,178,208,224,232,233,240"
rogue_female,16,"1,8,9,120,121,128,129,176,177,178,208,216,224,232,233,240"
rogue_male,13,"1,120,121,128,129,176,177,178,208,224,232,233,240"
royal_guard_female,18,"1,40,48,72,73,88,120,121,128,129,176,177,178,208,224,232,233,240"
royal_guard_male,14,"1,88,120,121,128,129,160,176,177,178,208,232,233,240"
rune_knight_female,19,"1,40,64,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224,240"
rune_knight_female_riding,19,"1,40,64,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224,240"
rune_knight_male,19,"1,8,9,40,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224"
rune_knight_male_riding,19,"1,8,9,40,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224"
sage_female,20,"1,8,9,64,65,72,73,128,129,168,169,176,177,178,208,216,224,232,233,240"
sage_male,14,"1,72,73,128,129,176,177,178,208,216,224,232,233,240"
shadow_chaser_female,16,"1,40,48,120,121,128,129,176,177,178,208,216,224,232,233,240"
shadow_chaser_male,17,"1,40,48,72,120,121,128,129,160,176,177,178,208,216,232,233,240"
shadow_cross_female,20,"1,40,48,72,73,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
shadow_cross_female_riding,20,"1,40,48,72,73,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
shadow_cross_male,19,"1,40,48,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
shadow_cross_male_riding,19,"1,40,48,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
shadow_cross_riding_³²,19,"1,40,48,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
shadow_cross_riding_¿©,20,"1,40,48,72,73,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
shadow_cross_³²,19,"1,40,48,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
shadow_cross_¿©,20,"1,40,48,72,73,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
shinkiro_male,13,"1,8,9,40,72,73,88,128,129,208,216,232,233"
shinkiro_male_riding,13,"1,8,9,40,72,73,88,128,129,208,216,232,233"
shinkiro_riding_³²,13,"1,8,9,40,72,73,88,128,129,208,216,232,233"
shinkiro_³²,13,"1,8,9,40,72,73,88,128,129,208,216,232,233"
shiranui_female,12,"1,40,88,120,121,128,129,200,208,216,232,233"
shiranui_female_riding,12,"1,40,88,120,121,128,129,200,208,216,232,233"
shiranui_riding_¿©,12,"1,40,88,120,121,128,129,200,208,216,232,233"
shiranui_¿©,12,"1,40,88,120,121,128,129,200,208,216,232,233"
sky_emperor2_³²,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
sky_emperor2_¿©,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
sky_emperor_female,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
sky_emperor_female_riding,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
sky_emperor_male,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
sky_emperor_male_riding,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
sky_emperor_riding_³²,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
sky_emperor_riding_¿©,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
sky_emperor_³²,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
sky_emperor_¿©,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
sniper_female,12,"1,8,9,120,121,128,129,208,224,232,233,240"
sniper_male,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
sorcerer_female,19,"1,40,72,73,88,89,120,121,128,129,176,177,178,208,216,224,232,233,240"
sorcerer_male,16,"1,40,72,73,88,128,129,160,176,177,178,208,216,232,233,240"
soul_ascetic_female,16,"1,40,72,88,120,121,128,129,136,160,176,177,178,200,208,216"
soul_ascetic_female_riding,16,"1,40,72,88,120,121,128,129,136,160,176,177,178,200,208,216"
soul_ascetic_male,16,"1,40,72,88,120,121,128,129,136,160,176,177,178,200,208,216"
soul_ascetic_male_riding,16,"1,40,72,88,120,121,128,129,136,160,176,177,178,200,208,216"
soul_ascetic_riding_³²,16,"1,40,72,88,120,121,128,129,136,160,176,177,178,200,208,216"
soul_ascetic_riding_¿©,16,"1,40,72,88,120,121,128,129,136,160,176,177,178,200,208,216"
soul_ascetic_³²,16,"1,40,72,88,120,121,128,129,136,160,176,177,178,200,208,216"
soul_ascetic_¿©,16,"1,40,72,88,120,121,128,129,136,160,176,177,178,200,208,216"
soul_linker_female,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
soul_linker_male,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
stalker_female,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
stalker_male,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
summoner_female,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
summoner_female_riding,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
summoner_male,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
summoner_male_riding,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
summoner_³²,18,"1,40,48,72,73,120,121,128,129,160,176,177,178,200,208,216,232,233"
summoner_¿©,21,"1,8,9,16,17,72,73,88,120,121,128,129,160,176,177,178,200,208,216,232,233"
super_novice_female,17,"1,48,72,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
super_novice_female_riding,17,"1,48,72,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
super_novice_male,17,"1,48,72,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
super_novice_male_riding,17,"1,48,72,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
sura_female,15,"1,40,88,120,121,128,129,176,177,178,200,224,232,233,240"
sura_female_riding,15,"1,40,88,120,121,128,129,176,177,178,200,224,232,233,240"
