"Base","Style","Variant","ChangedEntries","Mask","BaseStyle"
"abyss_chaser_female","14","teal","49","8_vs_9","9"
"abyss_chaser_female","15","blue","49","8_vs_9","9"
"abyss_chaser_female","16","purple","49","8_vs_9","9"
"abyss_chaser_female","17","pink","49","8_vs_9","9"
"abyss_chaser_female","18","dark","49","8_vs_9","9"
"abyss_chaser_female","19","white","49","8_vs_9","9"
"abyss_chaser_female","20","brown","49","8_vs_9","9"
"abyss_chaser_female_riding","10","red","49","8_vs_9","9"
"abyss_chaser_female_riding","11","orange","49","8_vs_9","9"
"abyss_chaser_female_riding","12","gold","49","8_vs_9","9"
"abyss_chaser_female_riding","13","green","49","8_vs_9","9"
"abyss_chaser_female_riding","14","teal","49","8_vs_9","9"
"abyss_chaser_female_riding","15","blue","49","8_vs_9","9"
"abyss_chaser_female_riding","16","purple","49","8_vs_9","9"
"abyss_chaser_female_riding","17","pink","49","8_vs_9","9"
"abyss_chaser_female_riding","18","dark","49","8_vs_9","9"
"abyss_chaser_female_riding","19","white","49","8_vs_9","9"
"abyss_chaser_female_riding","20","brown","49","8_vs_9","9"
"abyss_chaser_male","10","red","56","8_vs_9","9"
"abyss_chaser_male","11","orange","56","8_vs_9","9"
"abyss_chaser_male","12","gold","56","8_vs_9","9"
"abyss_chaser_male","13","green","56","8_vs_9","9"
"abyss_chaser_male","14","teal","56","8_vs_9","9"
"abyss_chaser_male","15","blue","56","8_vs_9","9"
"abyss_chaser_male","16","purple","56","8_vs_9","9"
"abyss_chaser_male","17","pink","56","8_vs_9","9"
"abyss_chaser_male","18","dark","56","8_vs_9","9"
"abyss_chaser_male","19","white","56","8_vs_9","9"
"abyss_chaser_male","20","brown","56","8_vs_9","9"
"abyss_chaser_male_riding","10","red","56","8_vs_9","9"
"abyss_chaser_male_riding","11","orange","56","8_vs_9","9"
"abyss_chaser_male_riding","12","gold","56","8_vs_9","9"
"abyss_chaser_male_riding","13","green","56","8_vs_9","9"
"abyss_chaser_male_riding","14","teal","56","8_vs_9","9"
"abyss_chaser_male_riding","15","blue","56","8_vs_9","9"
"abyss_chaser_male_riding","16","purple","56","8_vs_9","9"
"abyss_chaser_male_riding","17","pink","56","8_vs_9","9"
"abyss_chaser_male_riding","18","dark","56","8_vs_9","9"
"abyss_chaser_male_riding","19","white","56","8_vs_9","9"
"abyss_chaser_male_riding","20","brown","56","8_vs_9","9"
"abyss_chaser_riding_³²","10","red","56","8_vs_9","9"
"abyss_chaser_riding_³²","11","orange","56","8_vs_9","9"
"abyss_chaser_riding_³²","12","gold","56","8_vs_9","9"
"abyss_chaser_riding_³²","13","green","56","8_vs_9","9"
"abyss_chaser_riding_³²","14","teal","56","8_vs_9","9"
"abyss_chaser_riding_³²","15","blue","56","8_vs_9","9"
"abyss_chaser_riding_³²","16","purple","56","8_vs_9","9"
"abyss_chaser_riding_³²","17","pink","56","8_vs_9","9"
"abyss_chaser_riding_³²","18","dark","56","8_vs_9","9"
"abyss_chaser_riding_³²","19","white","56","8_vs_9","9"
"abyss_chaser_riding_³²","20","brown","56","8_vs_9","9"
"abyss_chaser_riding_¿©","10","red","49","8_vs_9","9"
"abyss_chaser_riding_¿©","11","orange","49","8_vs_9","9"
"abyss_chaser_riding_¿©","12","gold","49","8_vs_9","9"
"abyss_chaser_riding_¿©","13","green","49","8_vs_9","9"
"abyss_chaser_riding_¿©","14","teal","49","8_vs_9","9"
"abyss_chaser_riding_¿©","15","blue","49","8_vs_9","9"
"abyss_chaser_riding_¿©","16","purple","49","8_vs_9","9"
"abyss_chaser_riding_¿©","17","pink","49","8_vs_9","9"
"abyss_chaser_riding_¿©","18","dark","49","8_vs_9","9"
"abyss_chaser_riding_¿©","19","white","49","8_vs_9","9"
"abyss_chaser_riding_¿©","20","brown","49","8_vs_9","9"
"abyss_chaser_³²","10","red","56","8_vs_9","9"
"abyss_chaser_³²","11","orange","56","8_vs_9","9"
"abyss_chaser_³²","12","gold","56","8_vs_9","9"
"abyss_chaser_³²","13","green","56","8_vs_9","9"
"abyss_chaser_³²","14","teal","56","8_vs_9","9"
"abyss_chaser_³²","15","blue","56","8_vs_9","9"
"abyss_chaser_³²","16","purple","56","8_vs_9","9"
"abyss_chaser_³²","17","pink","56","8_vs_9","9"
"abyss_chaser_³²","18","dark","56","8_vs_9","9"
"abyss_chaser_³²","19","white","56","8_vs_9","9"
"abyss_chaser_³²","20","brown","56","8_vs_9","9"
"abyss_chaser_¿©","10","red","49","8_vs_9","9"
"abyss_chaser_¿©","11","orange","49","8_vs_9","9"
"abyss_chaser_¿©","12","gold","49","8_vs_9","9"
"abyss_chaser_¿©","13","green","49","8_vs_9","9"
"abyss_chaser_¿©","14","teal","49","8_vs_9","9"
"abyss_chaser_¿©","15","blue","49","8_vs_9","9"
"abyss_chaser_¿©","16","purple","49","8_vs_9","9"
"abyss_chaser_¿©","17","pink","49","8_vs_9","9"
"abyss_chaser_¿©","18","dark","49","8_vs_9","9"
"abyss_chaser_¿©","19","white","49","8_vs_9","9"
"abyss_chaser_¿©","20","brown","49","8_vs_9","9"
"alchemist_female","10","red","63","8_vs_9","9"
"alchemist_female","11","orange","63","8_vs_9","9"
"alchemist_female","12","gold","63","8_vs_9","9"
"alchemist_female","13","green","63","8_vs_9","9"
"alchemist_female","14","teal","63","8_vs_9","9"
"alchemist_female","15","blue","63","8_vs_9","9"
"alchemist_female","16","purple","63","8_vs_9","9"
"alchemist_female","17","pink","63","8_vs_9","9"
"alchemist_female","18","dark","63","8_vs_9","9"
"alchemist_female","19","white","63","8_vs_9","9"
"alchemist_female","20","brown","63","8_vs_9","9"
"alchemist_female_riding","10","red","63","8_vs_9","9"
"alchemist_female_riding","11","orange","63","8_vs_9","9"
"alchemist_female_riding","12","gold","63","8_vs_9","9"
"alchemist_female_riding","13","green","63","8_vs_9","9"
"alchemist_female_riding","14","teal","63","8_vs_9","9"
"alchemist_female_riding","15","blue","63","8_vs_9","9"
"alchemist_female_riding","16","purple","63","8_vs_9","9"
"alchemist_female_riding","17","pink","63","8_vs_9","9"
"alchemist_female_riding","18","dark","63","8_vs_9","9"
"alchemist_female_riding","19","white","63","8_vs_9","9"
"alchemist_female_riding","20","brown","63","8_vs_9","9"
"alchemist_male","10","red","47","8_vs_9","9"
"alchemist_male","11","orange","47","8_vs_9","9"
"alchemist_male","12","gold","47","8_vs_9","9"
"alchemist_male","13","green","47","8_vs_9","9"
"alchemist_male","14","teal","47","8_vs_9","9"
"alchemist_male","15","blue","47","8_vs_9","9"
"alchemist_male","16","purple","47","8_vs_9","9"
"alchemist_male","17","pink","47","8_vs_9","9"
"alchemist_male","18","dark","47","8_vs_9","9"
"alchemist_male","19","white","47","8_vs_9","9"
"alchemist_male","20","brown","47","8_vs_9","9"
"alchemist_male_riding","10","red","47","8_vs_9","9"
"alchemist_male_riding","11","orange","47","8_vs_9","9"
"alchemist_male_riding","12","gold","47","8_vs_9","9"
"alchemist_male_riding","13","green","47","8_vs_9","9"
"alchemist_male_riding","14","teal","47","8_vs_9","9"
"alchemist_male_riding","15","blue","47","8_vs_9","9"
"alchemist_male_riding","16","purple","47","8_vs_9","9"
"alchemist_male_riding","17","pink","47","8_vs_9","9"
"alchemist_male_riding","18","dark","47","8_vs_9","9"
"alchemist_male_riding","19","white","47","8_vs_9","9"
"alchemist_male_riding","20","brown","47","8_vs_9","9"
"archer_female","10","red","30","8_vs_9","9"
"archer_female","11","orange","30","8_vs_9","9"
"archer_female","12","gold","30","8_vs_9","9"
"archer_female","13","green","30","8_vs_9","9"
"archer_female","14","teal","30","8_vs_9","9"
"archer_female","15","blue","30","8_vs_9","9"
"archer_female","16","purple","30","8_vs_9","9"
"archer_female","17","pink","30","8_vs_9","9"
"archer_female","18","dark","30","8_vs_9","9"
"archer_female","19","white","30","8_vs_9","9"
"archer_female","20","brown","30","8_vs_9","9"
"archer_male","10","red","55","8_vs_9","9"
"archer_male","11","orange","55","8_vs_9","9"
"archer_male","12","gold","55","8_vs_9","9"
"archer_male","13","green","55","8_vs_9","9"
"archer_male","14","teal","55","8_vs_9","9"
"archer_male","15","blue","55","8_vs_9","9"
"archer_male","16","purple","55","8_vs_9","9"
"archer_male","17","pink","55","8_vs_9","9"
"archer_male","18","dark","55","8_vs_9","9"
"archer_male","19","white","55","8_vs_9","9"
"archer_male","20","brown","55","8_vs_9","9"
"arch_bishop_female","10","red","33","8_vs_9","9"
"arch_bishop_female","11","orange","33","8_vs_9","9"
"arch_bishop_female","12","gold","33","8_vs_9","9"
"arch_bishop_female","13","green","33","8_vs_9","9"
"arch_bishop_female","14","teal","33","8_vs_9","9"
"arch_bishop_female","15","blue","33","8_vs_9","9"
"arch_bishop_female","16","purple","33","8_vs_9","9"
"arch_bishop_female","17","pink","33","8_vs_9","9"
"arch_bishop_female","18","dark","33","8_vs_9","9"
"arch_bishop_female","19","white","33","8_vs_9","9"
"arch_bishop_female","20","brown","33","8_vs_9","9"
"arch_bishop_female_riding","10","red","33","8_vs_9","9"
"arch_bishop_female_riding","11","orange","33","8_vs_9","9"
"arch_bishop_female_riding","12","gold","33","8_vs_9","9"
"arch_bishop_female_riding","13","green","33","8_vs_9","9"
"arch_bishop_female_riding","14","teal","33","8_vs_9","9"
"arch_bishop_female_riding","15","blue","33","8_vs_9","9"
"arch_bishop_female_riding","16","purple","33","8_vs_9","9"
"arch_bishop_female_riding","17","pink","33","8_vs_9","9"
"arch_bishop_female_riding","18","dark","33","8_vs_9","9"
"arch_bishop_female_riding","19","white","33","8_vs_9","9"
"arch_bishop_female_riding","20","brown","33","8_vs_9","9"
"arch_bishop_male","10","red","17","8_vs_9","9"
"arch_bishop_male","11","orange","17","8_vs_9","9"
"arch_bishop_male","12","gold","17","8_vs_9","9"
"arch_bishop_male","13","green","17","8_vs_9","9"
"arch_bishop_male","14","teal","17","8_vs_9","9"
"arch_bishop_male","15","blue","17","8_vs_9","9"
"arch_bishop_male","16","purple","17","8_vs_9","9"
"arch_bishop_male","17","pink","17","8_vs_9","9"
"arch_bishop_male","18","dark","17","8_vs_9","9"
"arch_bishop_male","19","white","17","8_vs_9","9"
"arch_bishop_male","20","brown","17","8_vs_9","9"
"arch_bishop_male_riding","10","red","17","8_vs_9","9"
"arch_bishop_male_riding","11","orange","17","8_vs_9","9"
"arch_bishop_male_riding","12","gold","17","8_vs_9","9"
"arch_bishop_male_riding","13","green","17","8_vs_9","9"
"arch_bishop_male_riding","14","teal","17","8_vs_9","9"
"arch_bishop_male_riding","15","blue","17","8_vs_9","9"
"arch_bishop_male_riding","16","purple","17","8_vs_9","9"
"arch_bishop_male_riding","17","pink","17","8_vs_9","9"
"arch_bishop_male_riding","18","dark","17","8_vs_9","9"
"arch_bishop_male_riding","19","white","17","8_vs_9","9"
"arch_bishop_male_riding","20","brown","17","8_vs_9","9"
"arch_mage_female","10","red","45","8_vs_9","9"
"arch_mage_female","11","orange","45","8_vs_9","9"
"arch_mage_female","12","gold","45","8_vs_9","9"
"arch_mage_female","13","green","45","8_vs_9","9"
"arch_mage_female","14","teal","45","8_vs_9","9"
"arch_mage_female","15","blue","45","8_vs_9","9"
"arch_mage_female","16","purple","45","8_vs_9","9"
"arch_mage_female","17","pink","45","8_vs_9","9"
"arch_mage_female","18","dark","45","8_vs_9","9"
"arch_mage_female","19","white","45","8_vs_9","9"
"arch_mage_female","20","brown","45","8_vs_9","9"
"arch_mage_female_riding","10","red","45","8_vs_9","9"
"arch_mage_female_riding","11","orange","45","8_vs_9","9"
"arch_mage_female_riding","12","gold","45","8_vs_9","9"
"arch_mage_female_riding","13","green","45","8_vs_9","9"
"arch_mage_female_riding","14","teal","45","8_vs_9","9"
"arch_mage_female_riding","15","blue","45","8_vs_9","9"
"arch_mage_female_riding","16","purple","45","8_vs_9","9"
"arch_mage_female_riding","17","pink","45","8_vs_9","9"
"arch_mage_female_riding","18","dark","45","8_vs_9","9"
"arch_mage_female_riding","19","white","45","8_vs_9","9"
"arch_mage_female_riding","20","brown","45","8_vs_9","9"
"arch_mage_male","10","red","44","8_vs_9","9"
"arch_mage_male","11","orange","44","8_vs_9","9"
"arch_mage_male","12","gold","44","8_vs_9","9"
"arch_mage_male","13","green","44","8_vs_9","9"
"arch_mage_male","14","teal","44","8_vs_9","9"
"arch_mage_male","15","blue","44","8_vs_9","9"
"arch_mage_male","16","purple","44","8_vs_9","9"
"arch_mage_male","17","pink","44","8_vs_9","9"
"arch_mage_male","18","dark","44","8_vs_9","9"
"arch_mage_male","19","white","44","8_vs_9","9"
"arch_mage_male","20","brown","44","8_vs_9","9"
"arch_mage_male_riding","10","red","44","8_vs_9","9"
"arch_mage_male_riding","11","orange","44","8_vs_9","9"
"arch_mage_male_riding","12","gold","44","8_vs_9","9"
"arch_mage_male_riding","13","green","44","8_vs_9","9"
"arch_mage_male_riding","14","teal","44","8_vs_9","9"
"arch_mage_male_riding","15","blue","44","8_vs_9","9"
"arch_mage_male_riding","16","purple","44","8_vs_9","9"
"arch_mage_male_riding","17","pink","44","8_vs_9","9"
"arch_mage_male_riding","18","dark","44","8_vs_9","9"
"arch_mage_male_riding","19","white","44","8_vs_9","9"
"arch_mage_male_riding","20","brown","44","8_vs_9","9"
"arch_mage_riding_³²","10","red","44","8_vs_9","9"
"arch_mage_riding_³²","11","orange","44","8_vs_9","9"
"arch_mage_riding_³²","12","gold","44","8_vs_9","9"
"arch_mage_riding_³²","13","green","44","8_vs_9","9"
"arch_mage_riding_³²","14","teal","44","8_vs_9","9"
"arch_mage_riding_³²","15","blue","44","8_vs_9","9"
"arch_mage_riding_³²","16","purple","44","8_vs_9","9"
"arch_mage_riding_³²","17","pink","44","8_vs_9","9"
"arch_mage_riding_³²","18","dark","44","8_vs_9","9"
"arch_mage_riding_³²","19","white","44","8_vs_9","9"
"arch_mage_riding_³²","20","brown","44","8_vs_9","9"
"arch_mage_riding_¿©","10","red","45","8_vs_9","9"
"arch_mage_riding_¿©","11","orange","45","8_vs_9","9"
"arch_mage_riding_¿©","12","gold","45","8_vs_9","9"
"arch_mage_riding_¿©","13","green","45","8_vs_9","9"
"arch_mage_riding_¿©","14","teal","45","8_vs_9","9"
"arch_mage_riding_¿©","15","blue","45","8_vs_9","9"
"arch_mage_riding_¿©","16","purple","45","8_vs_9","9"
"arch_mage_riding_¿©","17","pink","45","8_vs_9","9"
"arch_mage_riding_¿©","18","dark","45","8_vs_9","9"
"arch_mage_riding_¿©","19","white","45","8_vs_9","9"
"arch_mage_riding_¿©","20","brown","45","8_vs_9","9"
"arch_mage_³²","10","red","44","8_vs_9","9"
"arch_mage_³²","11","orange","44","8_vs_9","9"
"arch_mage_³²","12","gold","44","8_vs_9","9"
"arch_mage_³²","13","green","44","8_vs_9","9"
"arch_mage_³²","14","teal","44","8_vs_9","9"
"arch_mage_³²","15","blue","44","8_vs_9","9"
"arch_mage_³²","16","purple","44","8_vs_9","9"
"arch_mage_³²","17","pink","44","8_vs_9","9"
"arch_mage_³²","18","dark","44","8_vs_9","9"
"arch_mage_³²","19","white","44","8_vs_9","9"
"arch_mage_³²","20","brown","44","8_vs_9","9"
"arch_mage_¿©","10","red","45","8_vs_9","9"
"arch_mage_¿©","11","orange","45","8_vs_9","9"
"arch_mage_¿©","12","gold","45","8_vs_9","9"
"arch_mage_¿©","13","green","45","8_vs_9","9"
"arch_mage_¿©","14","teal","45","8_vs_9","9"
"arch_mage_¿©","15","blue","45","8_vs_9","9"
"arch_mage_¿©","16","purple","45","8_vs_9","9"
"arch_mage_¿©","17","pink","45","8_vs_9","9"
"arch_mage_¿©","18","dark","45","8_vs_9","9"
"arch_mage_¿©","19","white","45","8_vs_9","9"
"arch_mage_¿©","20","brown","45","8_vs_9","9"
"bard_female","10","red","111","8_vs_9","9"
"bard_female","11","orange","111","8_vs_9","9"
"bard_female","12","gold","111","8_vs_9","9"
"bard_female","13","green","111","8_vs_9","9"
"bard_female","14","teal","111","8_vs_9","9"
"bard_female","15","blue","111","8_vs_9","9"
"bard_female","16","purple","111","8_vs_9","9"
"bard_female","17","pink","111","8_vs_9","9"
"bard_female","18","dark","111","8_vs_9","9"
"bard_female","19","white","111","8_vs_9","9"
"bard_female","20","brown","111","8_vs_9","9"
"bard_male","10","red","47","8_vs_9","9"
"bard_male","11","orange","47","8_vs_9","9"
"bard_male","12","gold","47","8_vs_9","9"
"bard_male","13","green","47","8_vs_9","9"
"bard_male","14","teal","47","8_vs_9","9"
"bard_male","15","blue","47","8_vs_9","9"
"bard_male","16","purple","47","8_vs_9","9"
"bard_male","17","pink","47","8_vs_9","9"
"bard_male","18","dark","47","8_vs_9","9"
"bard_male","19","white","47","8_vs_9","9"
"bard_male","20","brown","47","8_vs_9","9"
"biolo_female","10","red","44","8_vs_9","9"
"biolo_female","11","orange","44","8_vs_9","9"
"biolo_female","12","gold","44","8_vs_9","9"
"biolo_female","13","green","44","8_vs_9","9"
"biolo_female","14","teal","44","8_vs_9","9"
"biolo_female","15","blue","44","8_vs_9","9"
"biolo_female","16","purple","44","8_vs_9","9"
"biolo_female","17","pink","44","8_vs_9","9"
"biolo_female","18","dark","44","8_vs_9","9"
"biolo_female","19","white","44","8_vs_9","9"
"biolo_female","20","brown","44","8_vs_9","9"
"biolo_female_riding","10","red","44","8_vs_9","9"
"biolo_female_riding","11","orange","44","8_vs_9","9"
"biolo_female_riding","12","gold","44","8_vs_9","9"
"biolo_female_riding","13","green","44","8_vs_9","9"
"biolo_female_riding","14","teal","44","8_vs_9","9"
"biolo_female_riding","15","blue","44","8_vs_9","9"
"biolo_female_riding","16","purple","44","8_vs_9","9"
"biolo_female_riding","17","pink","44","8_vs_9","9"
"biolo_female_riding","18","dark","44","8_vs_9","9"
"biolo_female_riding","19","white","44","8_vs_9","9"
"biolo_female_riding","20","brown","44","8_vs_9","9"
"biolo_male","10","red","20","8_vs_9","9"
"biolo_male","11","orange","20","8_vs_9","9"
"biolo_male","12","gold","20","8_vs_9","9"
"biolo_male","13","green","20","8_vs_9","9"
"biolo_male","14","teal","20","8_vs_9","9"
"biolo_male","15","blue","20","8_vs_9","9"
"biolo_male","16","purple","20","8_vs_9","9"
"biolo_male","17","pink","20","8_vs_9","9"
"biolo_male","18","dark","20","8_vs_9","9"
"biolo_male","19","white","20","8_vs_9","9"
"biolo_male","20","brown","20","8_vs_9","9"
"biolo_male_riding","10","red","20","8_vs_9","9"
"biolo_male_riding","11","orange","20","8_vs_9","9"
"biolo_male_riding","12","gold","20","8_vs_9","9"
"biolo_male_riding","13","green","20","8_vs_9","9"
"biolo_male_riding","14","teal","20","8_vs_9","9"
"biolo_male_riding","15","blue","20","8_vs_9","9"
"biolo_male_riding","16","purple","20","8_vs_9","9"
"biolo_male_riding","17","pink","20","8_vs_9","9"
"biolo_male_riding","18","dark","20","8_vs_9","9"
"biolo_male_riding","19","white","20","8_vs_9","9"
"biolo_male_riding","20","brown","20","8_vs_9","9"
"biolo_riding_³²","10","red","20","8_vs_9","9"
"biolo_riding_³²","11","orange","20","8_vs_9","9"
"biolo_riding_³²","12","gold","20","8_vs_9","9"
"biolo_riding_³²","13","green","20","8_vs_9","9"
"biolo_riding_³²","14","teal","20","8_vs_9","9"
"biolo_riding_³²","15","blue","20","8_vs_9","9"
"biolo_riding_³²","16","purple","20","8_vs_9","9"
"biolo_riding_³²","17","pink","20","8_vs_9","9"
"biolo_riding_³²","18","dark","20","8_vs_9","9"
"biolo_riding_³²","19","white","20","8_vs_9","9"
"biolo_riding_³²","20","brown","20","8_vs_9","9"
"biolo_riding_¿©","10","red","44","8_vs_9","9"
"biolo_riding_¿©","11","orange","44","8_vs_9","9"
"biolo_riding_¿©","12","gold","44","8_vs_9","9"
"biolo_riding_¿©","13","green","44","8_vs_9","9"
"biolo_riding_¿©","14","teal","44","8_vs_9","9"
"biolo_riding_¿©","15","blue","44","8_vs_9","9"
"biolo_riding_¿©","16","purple","44","8_vs_9","9"
"biolo_riding_¿©","17","pink","44","8_vs_9","9"
"biolo_riding_¿©","18","dark","44","8_vs_9","9"
"biolo_riding_¿©","19","white","44","8_vs_9","9"
"biolo_riding_¿©","20","brown","44","8_vs_9","9"
"biolo_³²","10","red","20","8_vs_9","9"
"biolo_³²","11","orange","20","8_vs_9","9"
"biolo_³²","12","gold","20","8_vs_9","9"
"biolo_³²","13","green","20","8_vs_9","9"
"biolo_³²","14","teal","20","8_vs_9","9"
"biolo_³²","15","blue","20","8_vs_9","9"
"biolo_³²","16","purple","20","8_vs_9","9"
"biolo_³²","17","pink","20","8_vs_9","9"
"biolo_³²","18","dark","20","8_vs_9","9"
"biolo_³²","19","white","20","8_vs_9","9"
"biolo_³²","20","brown","20","8_vs_9","9"
"biolo_¿©","10","red","44","8_vs_9","9"
"biolo_¿©","11","orange","44","8_vs_9","9"
"biolo_¿©","12","gold","44","8_vs_9","9"
"biolo_¿©","13","green","44","8_vs_9","9"
"biolo_¿©","14","teal","44","8_vs_9","9"
"biolo_¿©","15","blue","44","8_vs_9","9"
"biolo_¿©","16","purple","44","8_vs_9","9"
"biolo_¿©","17","pink","44","8_vs_9","9"
"biolo_¿©","18","dark","44","8_vs_9","9"
"biolo_¿©","19","white","44","8_vs_9","9"
"biolo_¿©","20","brown","44","8_vs_9","9"
"cardinal_female","10","red","33","8_vs_9","9"
"cardinal_female","11","orange","33","8_vs_9","9"
"cardinal_female","12","gold","33","8_vs_9","9"
"cardinal_female","13","green","33","8_vs_9","9"
"cardinal_female","14","teal","33","8_vs_9","9"
"cardinal_female","15","blue","33","8_vs_9","9"
"cardinal_female","16","purple","33","8_vs_9","9"
"cardinal_female","17","pink","33","8_vs_9","9"
"cardinal_female","18","dark","33","8_vs_9","9"
"cardinal_female","19","white","33","8_vs_9","9"
"cardinal_female","20","brown","33","8_vs_9","9"
"cardinal_female_riding","10","red","33","8_vs_9","9"
"cardinal_female_riding","11","orange","33","8_vs_9","9"
"cardinal_female_riding","12","gold","33","8_vs_9","9"
"cardinal_female_riding","13","green","33","8_vs_9","9"
"cardinal_female_riding","14","teal","33","8_vs_9","9"
"cardinal_female_riding","15","blue","33","8_vs_9","9"
"cardinal_female_riding","16","purple","33","8_vs_9","9"
"cardinal_female_riding","17","pink","33","8_vs_9","9"
"cardinal_female_riding","18","dark","33","8_vs_9","9"
"cardinal_female_riding","19","white","33","8_vs_9","9"
"cardinal_female_riding","20","brown","33","8_vs_9","9"
"cardinal_legacy_female","10","red","47","8_vs_9","9"
"cardinal_legacy_female","11","orange","47","8_vs_9","9"
"cardinal_legacy_female","12","gold","47","8_vs_9","9"
"cardinal_legacy_female","13","green","47","8_vs_9","9"
"cardinal_legacy_female","14","teal","47","8_vs_9","9"
"cardinal_legacy_female","15","blue","47","8_vs_9","9"
"cardinal_legacy_female","16","purple","47","8_vs_9","9"
"cardinal_legacy_female","17","pink","47","8_vs_9","9"
"cardinal_legacy_female","18","dark","47","8_vs_9","9"
"cardinal_legacy_female","19","white","47","8_vs_9","9"
"cardinal_legacy_female","20","brown","47","8_vs_9","9"
"cardinal_legacy_female_riding","10","red","47","8_vs_9","9"
"cardinal_legacy_female_riding","11","orange","47","8_vs_9","9"
"cardinal_legacy_female_riding","12","gold","47","8_vs_9","9"
"cardinal_legacy_female_riding","13","green","47","8_vs_9","9"
"cardinal_legacy_female_riding","14","teal","47","8_vs_9","9"
"cardinal_legacy_female_riding","15","blue","47","8_vs_9","9"
"cardinal_legacy_female_riding","16","purple","47","8_vs_9","9"
"cardinal_legacy_female_riding","17","pink","47","8_vs_9","9"
"cardinal_legacy_female_riding","18","dark","47","8_vs_9","9"
"cardinal_legacy_female_riding","19","white","47","8_vs_9","9"
"cardinal_legacy_female_riding","20","brown","47","8_vs_9","9"
"cardinal_legacy_male","10","red","33","8_vs_9","9"
"cardinal_legacy_male","11","orange","33","8_vs_9","9"
"cardinal_legacy_male","12","gold","33","8_vs_9","9"
"cardinal_legacy_male","13","green","33","8_vs_9","9"
"cardinal_legacy_male","14","teal","33","8_vs_9","9"
"cardinal_legacy_male","15","blue","33","8_vs_9","9"
"cardinal_legacy_male","16","purple","33","8_vs_9","9"
"cardinal_legacy_male","17","pink","33","8_vs_9","9"
"cardinal_legacy_male","18","dark","33","8_vs_9","9"
"cardinal_legacy_male","19","white","33","8_vs_9","9"
"cardinal_legacy_male","20","brown","33","8_vs_9","9"
"cardinal_legacy_male_riding","10","red","33","8_vs_9","9"
"cardinal_legacy_male_riding","11","orange","33","8_vs_9","9"
"cardinal_legacy_male_riding","12","gold","33","8_vs_9","9"
"cardinal_legacy_male_riding","13","green","33","8_vs_9","9"
"cardinal_legacy_male_riding","14","teal","33","8_vs_9","9"
"cardinal_legacy_male_riding","15","blue","33","8_vs_9","9"
"cardinal_legacy_male_riding","16","purple","33","8_vs_9","9"
"cardinal_legacy_male_riding","17","pink","33","8_vs_9","9"
"cardinal_legacy_male_riding","18","dark","33","8_vs_9","9"
"cardinal_legacy_male_riding","19","white","33","8_vs_9","9"
"cardinal_legacy_male_riding","20","brown","33","8_vs_9","9"
"cardinal_male","10","red","17","8_vs_9","9"
"cardinal_male","11","orange","17","8_vs_9","9"
"cardinal_male","12","gold","17","8_vs_9","9"
"cardinal_male","13","green","17","8_vs_9","9"
"cardinal_male","14","teal","17","8_vs_9","9"
"cardinal_male","15","blue","17","8_vs_9","9"
"cardinal_male","16","purple","17","8_vs_9","9"
"cardinal_male","17","pink","17","8_vs_9","9"
"cardinal_male","18","dark","17","8_vs_9","9"
"cardinal_male","19","white","17","8_vs_9","9"
"cardinal_male","20","brown","17","8_vs_9","9"
