"Legacy","Source","Canonical","Colors"
"windhawk_riding_³²","windhawk_³²","windhawk_male_riding","0..699"
"sky_emperor_riding_³²","sky_emperor_³²","sky_emperor_male_riding","0..699"
"hyper_novice_riding_³²","hyper_novice_³²","hyper_novice_male_riding","0..699"
"ÄÌº£·Î½º·Î±×_³²","·Î±×_³²","dog_rogue_male","0..699"
"trouvere_riding_¿©","trouvere_¿©","trouvere_female_riding","0..699"
"Å¸Á¶¹«Èñ_³²","¹«Èñ_³²","ostrich_dancer_male","0..699"
"»çÀÚÆÈ¶óµò_¿©","ÆÈ¶óµò_¿©","lion_paladin_female","0..699"
"sky_emperor_riding_¿©","sky_emperor_¿©","sky_emperor_female_riding","0..699"
"¿©¿ì¿ö·Ï_³²","¿ö·Ï_³²","trans_warlock_male","0..699"
"Á¦³×¸¯¸äµÅÁö_¿©","Á¦³×¸¯_¿©","genetic_female_riding","0..699"
"ÆäÄÚ°Ç³Ê_¿©","°Ç³Ê_¿©","peco_gunslinger_female","0..699"
"troubadour_riding_³²","troubadour_³²","troubadour_male_riding","0..699"
"¹ÌÄÉ´Ð_¸¶µµ±â¾î_¿©","¹ÌÄÉ´Ð_¿©","mechanic_female_madogear","0..699"
"»çÀÚ·Îµå³ªÀÌÆ®_¿©","·Îµå³ªÀÌÆ®_¿©","lion_lord_knight_female","0..699"
"½´ÆÛ³ëºñ½ºÆ÷¸µ_¿©","½´ÆÛ³ëºñ½º_¿©","super_novice_female_riding","0..699"
"wolf_windhawk_³²","windhawk_³²","wolf_windhawk_male","0..699"
"¿©¿ì¸¶¹ý»ç_¿©","¸¶¹ý»ç_¿©","trans_magician_female","0..699"
"Å¸Á¶½º³ªÀÌÆÛ_¿©","½º³ªÀÌÆÛ_¿©","ostrich_sniper_female","0..699"
"ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º_¿©","±æ·ÎÆ¾Å©·Î½º_¿©","dog_guillotine_cross_female","0..699"
"È­ÀÌÆ®½º¹Ì½º¸äµÅÁö_¿©","È­ÀÌÆ®½º¹Ì½º_¿©","whitesmith_female_riding","0..699"
"¿©¿ìÇÁ·ÎÆä¼­_³²","ÇÁ·ÎÆä¼­_³²","trans_professor_male","0..699"
"Å¸Á¶¹«Èñ_¿©","¹«Èñ_¿©","ostrich_dancer_female","0..699"
"meister_madogear2_¿©","meister_¿©","meister_female_madogear2","0..699"
"soul_ascetic_riding_¿©","soul_ascetic_¿©","soul_ascetic_female_riding","0..699"
"»çÀÚ±â»ç_¿©","±â»ç_¿©","lion_knight_female","0..699"
"±Ç¼ºÆ÷¸µ_¿©","±Ç¼º_¿©","summoner_female_riding","0..699"
"meister_madogear2_³²","meister_³²","meister_male_madogear2","0..699"
"¿©¿ì¸¶¹ý»ç_³²","¸¶¹ý»ç_³²","trans_magician_male","0..699"
"¿©¿ì¼¼ÀÌÁö_³²","¼¼ÀÌÁö_³²","trans_sage_male","0..699"
"ÇÁ¸®½ºÆ®¾ËÆÄÄ«_¿©","ÇÁ¸®½ºÆ®_¿©","priest_female_riding","0..699"
"sky_emperor2_³²","sky_emperor_³²","sky_emperor_male_riding","0..699"
"¸ùÅ©¾ËÆÄÄ«_³²","¸ùÅ©_³²","monk_male_riding","0..699"
"¼ºÁ¦À¶ÇÕ_¿©","¼ºÁ¦_¿©","cardinal_legacy_female_riding","0..699"
"Å¸Á¶±Ã¼ö_³²","±Ã¼ö_³²","ostrich_archer_male","0..699"
"¿©¿ìÀ§Àúµå_¿©","À§Àúµå_¿©","trans_wizard_female","0..699"
"Å¸Á¶¹Ùµå_¿©","¹Ùµå_¿©","ostrich_bard_female","0..699"
"shadow_cross_riding_³²","shadow_cross_³²","shadow_cross_male_riding","0..699"
"abyss_chaser_riding_¿©","abyss_chaser_¿©","abyss_chaser_female_riding","0..699"
"abyss_chaser_riding_³²","abyss_chaser_³²","abyss_chaser_male_riding","0..699"
"±Ç¼ºÆ÷¸µ_³²","±Ç¼º_³²","summoner_male_riding","0..699"
"ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º_³²","±æ·ÎÆ¾Å©·Î½º_³²","dog_guillotine_cross_male","0..699"
"¹«Èñ¹ÙÁö_¿©","¹«Èñ_¿©","dancer_female_riding","0..699"
"Å¸Á¶±Ã¼ö_¿©","±Ã¼ö_¿©","ostrich_archer_female","0..699"
"±Ç¼ºÀ¶ÇÕ_³²","±Ç¼º_³²","summoner_male_riding","0..699"
"»çÀÚ±â»ç_³²","±â»ç_³²","lion_knight_male","0..699"
"»çÀÚ·Î¾â°¡µå_¿©","·Î¾â°¡µå_¿©","lion_royal_guard_female","0..699"
"windhawk_riding_¿©","windhawk_¿©","windhawk_female_riding","0..699"
"ÇÏÀÌÇÁ¸®½ºÆ®¾ËÆÄÄ«_³²","ÇÏÀÌÇÁ¸®½ºÆ®_³²","high_priest_male_riding","0..699"
"¹ÌÄÉ´Ð¸äµÅÁö_³²","¹ÌÄÉ´Ð_³²","mechanic_male_riding","0..699"
"arch_mage_riding_¿©","arch_mage_¿©","arch_mage_female_riding","0..699"
"Å¸Á¶ÇåÅÍ_³²","ÇåÅÍ_³²","ostrich_hunter_male","0..699"
"»óÀÎ¸äµÅÁö_³²","»óÀÎ_³²","merchant_male_riding","0..699"
"sky_emperor2_¿©","sky_emperor_¿©","sky_emperor_female_riding","0..699"
"·é³ªÀÌÆ®»Ú¶ì_³²","·é³ªÀÌÆ®_³²","rune_knight_male_riding","0..699"
"Á¦³×¸¯¸äµÅÁö_³²","Á¦³×¸¯_³²","genetic_male_riding","0..699"
"¼ºÁ¦_¿©_Å»°Í","¼ºÁ¦_¿©","cardinal_legacy_female_riding","0..699"
"¼ºÁ¦À¶ÇÕ_³²","¼ºÁ¦_³²","cardinal_legacy_male_riding","0..699"
"È­ÀÌÆ®½º¹Ì½º¸äµÅÁö_³²","È­ÀÌÆ®½º¹Ì½º_³²","whitesmith_male_riding","0..699"
"¿¬±Ý¼ú»ç¸äµÅÁö_¿©","¿¬±Ý¼ú»ç_¿©","alchemist_female_riding","0..699"
"inquisitor_riding_³²","inquisitor_³²","inquisitor_male_riding","0..699"
"shiranui_riding_¿©","shiranui_¿©","shiranui_female_riding","0..699"
"wolf_windhawk_¿©","windhawk_¿©","wolf_windhawk_female","0..699"
"Å©¸®¿¡ÀÌÅÍ¸äµÅÁö_³²","Å©¸®¿¡ÀÌÅÍ_³²","creator_male_riding","0..699"
"¼Ò¼­·¯_³²","elemetal_master_³²","sorcerer_male","0..699"
"imperial_guard_riding_¿©","imperial_guard_¿©","imperial_guard_female_riding","0..699"
"¿¬±Ý¼ú»ç¸äµÅÁö_³²","¿¬±Ý¼ú»ç_³²","alchemist_male_riding","0..699"
"µÎ²¨ºñ´ÑÀÚ_³²","´ÑÀÚ_³²","frog_ninja_male","0..699"
"Å¸Á¶Å©¶ó¿î_³²","Å©¶ó¿î_³²","ostrich_clown_male","0..699"
"ÅÂ±Ç¼Ò³âÆ÷¸µ_³²","ÅÂ±Ç¼Ò³â_³²","taekwon_male_riding","0..699"
"shinkiro_riding_³²","shinkiro_³²","shinkiro_male_riding","0..699"
"½´¶ó¾ËÆÄÄ«_³²","½´¶ó_³²","sura_male_riding","0..699"
"½´ÆÛ³ëºñ½ºÆ÷¸µ_³²","½´ÆÛ³ëºñ½º_³²","super_novice_male_riding","0..699"
"»çÀÚ·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²","lion_lord_knight_male","0..699"
"ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­_¿©","½¦µµ¿ìÃ¼ÀÌ¼­_¿©","dog_shadow_chaser_female","0..699"
"¾ÆÅ©ºñ¼ó¾ËÆÄÄ«_³²","¾ÆÅ©ºñ¼ó_³²","arch_bishop_male_riding","0..699"
"night_watch_riding_³²","night_watch_³²","night_watch_male_riding","0..699"
"ÄÌº£·Î½º½ºÅäÄ¿_³²","½ºÅäÄ¿_³²","dog_stalker_male","0..699"
"Å©¸®¿¡ÀÌÅÍ¸äµÅÁö_¿©","Å©¸®¿¡ÀÌÅÍ_¿©","creator_female_riding","0..699"
"dragon_knight_riding_¿©","dragon_knight_¿©","dragon_knight_female_riding","0..699"
"¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_¿©","¹ÌÄÉ´Ð_¿©","mechanic_female_madogear","0..699"
"meister_madogear1_³²","meister_³²","meister_male_madogear1","0..699"
"ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­_³²","½¦µµ¿ìÃ¼ÀÌ¼­_³²","dog_shadow_chaser_male","0..699"
"soul_ascetic_riding_³²","soul_ascetic_³²","soul_ascetic_male_riding","0..699"
"¿©¿ì¿ö·Ï_¿©","¿ö·Ï_¿©","trans_warlock_female","0..699"
"meister_riding_¿©","meister_¿©","meister_female_riding","0..699"
"elemetal_master_riding_¿©","elemetal_master_¿©","elemental_master_female_riding","0..699"
"·é³ªÀÌÆ®»Ú¶ì_¿©","·é³ªÀÌÆ®_¿©","rune_knight_female_riding","0..699"
"Å¸Á¶¹Î½ºÆ®·²_³²","¹Î½ºÆ®·²_³²","ostrich_minstrel_male","0..699"
"¹ÌÄÉ´Ð¸äµÅÁö_¿©","¹ÌÄÉ´Ð_¿©","mechanic_female_riding","0..699"
