Base,Colors,Sources
biolo_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
biolo_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
cardinal_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
cardinal_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
cardinal_legacy_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
cardinal_legacy_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
cardinal_legacy_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
cardinal_legacy_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
cardinal_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
cardinal_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
cardinal_riding_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
cardinal_riding_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
cardinal_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
cardinal_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
cart_summoner_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
cart_summoner_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
cartsummoner_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
cartsummoner_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
champion_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
champion_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
champion_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
champion_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
clown_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
creator_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
creator_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
creator_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
creator_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
crusader_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
crusader_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dancer_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dancer_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dancer_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dog_guillotine_cross_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dog_guillotine_cross_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dog_rogue_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dog_rogue_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dog_shadow_chaser_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dog_shadow_chaser_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dog_stalker_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dog_stalker_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dog_thief_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dog_thief_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dragon_knight_chicken_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dragon_knight_chicken_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dragon_knight_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dragon_knight_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dragon_knight_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dragon_knight_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dragon_knight_riding_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dragon_knight_riding_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dragon_knight_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
dragon_knight_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
elemental_master_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
elemental_master_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
elemetal_master_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
elemetal_master_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
elemetal_master_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
elemetal_master_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
elemetal_master_riding_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
elemetal_master_riding_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
elemetal_master_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
elemetal_master_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
frog_kagerou_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
frog_kagerou_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
frog_ninja_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
frog_ninja_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
frog_oboro_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
frog_oboro_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
frog_soul_linker_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
frog_soul_linker_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
genetic_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
genetic_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
genetic_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
genetic_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
guillotine_cross_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
guillotine_cross_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
gunslinger_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
gunslinger_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
high_priest_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
high_priest_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
high_priest_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
high_priest_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
high_wizard_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
high_wizard_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
hunter_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
hunter_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
hyper_novice_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
hyper_novice_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
hyper_novice_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
hyper_novice_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
hyper_novice_riding_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
hyper_novice_riding_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
hyper_novice_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
hyper_novice_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
imperial_guard_chicken_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
imperial_guard_chicken_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
imperial_guard_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
imperial_guard_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
imperial_guard_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
imperial_guard_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
imperial_guard_riding_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
imperial_guard_riding_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
imperial_guard_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
imperial_guard_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
inquisitor_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
inquisitor_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
inquisitor_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
inquisitor_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
inquisitor_riding_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
inquisitor_riding_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
inquisitor_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
inquisitor_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
kagerou_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
kagerou_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
knight_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
knight_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
lion_crusader_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
lion_crusader_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
lion_knight_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
lion_knight_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
lion_lord_knight_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
lion_lord_knight_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
lion_paladin_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
lion_paladin_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
lion_royal_guard_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
lion_royal_guard_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
lion_rune_knight_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
lion_rune_knight_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
lord_knight_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
lord_knight_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
magician_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
magician_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
mechanic_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
mechanic_female_madogear,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
mechanic_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
mechanic_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
mechanic_male_madogear,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
mechanic_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
meister_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
meister_female_madogear1,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
meister_female_madogear2,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
meister_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
meister_madogear1_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
meister_madogear1_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
meister_madogear2_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
meister_madogear2_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
meister_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
meister_male_madogear1,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
meister_male_madogear2,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
meister_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
meister_riding_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
meister_riding_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
meister_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
meister_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
merchant_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
merchant_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
merchant_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
merchant_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
minstrel_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
monk_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
monk_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
monk_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
monk_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
new_peco_crusader_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
new_peco_crusader_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
night_watch_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
night_watch_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
night_watch_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
night_watch_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
night_watch_riding_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
night_watch_riding_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
night_watch_³²,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
night_watch_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
ninja_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
ninja_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
oboro_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
oboro_¿©,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
ostrich_archer_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
ostrich_archer_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
ostrich_bard_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
ostrich_bard_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
ostrich_clown_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
ostrich_dancer_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
ostrich_dancer_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
ostrich_hunter_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
ostrich_hunter_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
ostrich_minstrel_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
ostrich_sniper_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
ostrich_sniper_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
ostrich_wanderer_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
paladin_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
paladin_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
peco_gunslinger_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
peco_gunslinger_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
peco_paladin_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
peco_paladin_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
peco_swordman_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
peco_swordman_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
priest_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
priest_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
priest_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
priest_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
professor_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
professor_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
rebellion_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
rebellion_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
rebellion_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
rebellion_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
rogue_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
rogue_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
royal_guard_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
royal_guard_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
rune_knight_female,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
rune_knight_female_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
rune_knight_male,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
rune_knight_male_riding,1..20,"170,194,234,257,663,645,666,460,296,393,473,97,36,452,648,216,278,185,182,192"
