"Dest","Source"
"cardinal_legacy_female","¼ºÁ¦_¿©"
"cardinal_legacy_female_riding","¼ºÁ¦_¿©"
"cardinal_legacy_male","¼ºÁ¦_³²"
"cardinal_legacy_male_riding","¼ºÁ¦_³²"
"cardinal_male","¾ÆÅ©ºñ¼ó_³²"
"cardinal_male_riding","¾ÆÅ©ºñ¼ó_³²"
"cardinal_riding_³²","¾ÆÅ©ºñ¼ó_³²"
"cardinal_riding_¿©","¾ÆÅ©ºñ¼ó_¿©"
"cardinal_³²","¾ÆÅ©ºñ¼ó_³²"
"cardinal_¿©","¾ÆÅ©ºñ¼ó_¿©"
"cart_summoner_³²","cart_summoner_³²"
"cart_summoner_¿©","cart_summoner_¿©"
"cartsummoner_³²","cartsummoner_³²"
"cartsummoner_¿©","cartsummoner_¿©"
"champion_female","Ã¨ÇÇ¿Â_¿©"
"champion_female_riding","Ã¨ÇÇ¿Â_¿©"
"champion_male","Ã¨ÇÇ¿Â_³²"
"champion_male_riding","Ã¨ÇÇ¿Â_³²"
"clown_male","Å©¶ó¿î_³²"
"creator_female","Å©¸®¿¡ÀÌÅÍ_¿©"
"creator_female_riding","Å©¸®¿¡ÀÌÅÍ_¿©"
"creator_male","Å©¸®¿¡ÀÌÅÍ_³²"
"creator_male_riding","Å©¸®¿¡ÀÌÅÍ_³²"
"crusader_female","Å©·ç_¿©"
"crusader_male","Å©·ç_³²"
"dancer_female","¹«Èñ_¿©"
"dancer_female_riding","¹«Èñ_¿©"
"dancer_male","¹Ùµå_³²"
"dog_guillotine_cross_female","±æ·ÎÆ¾Å©·Î½º_¿©"
"dog_guillotine_cross_male","±æ·ÎÆ¾Å©·Î½º_³²"
"dog_rogue_female","·Î±×_¿©"
"dog_rogue_male","·Î±×_³²"
"dog_shadow_chaser_female","½¦µµ¿ìÃ¼ÀÌ¼­_¿©"
"dog_shadow_chaser_male","½¦µµ¿ìÃ¼ÀÌ¼­_³²"
"dog_stalker_female","½ºÅäÄ¿_¿©"
"dog_stalker_male","½ºÅäÄ¿_³²"
"dog_thief_female","µµµÏ_¿©"
"dog_thief_male","µµµÏ_³²"
"dragon_knight_chicken_³²","·é³ªÀÌÆ®_³²"
"dragon_knight_chicken_¿©","·é³ªÀÌÆ®_¿©"
"dragon_knight_female","·é³ªÀÌÆ®_¿©"
"dragon_knight_female_riding","·é³ªÀÌÆ®_¿©"
"dragon_knight_male","·é³ªÀÌÆ®_³²"
"dragon_knight_male_riding","·é³ªÀÌÆ®_³²"
"dragon_knight_riding_³²","·é³ªÀÌÆ®_³²"
"dragon_knight_riding_¿©","·é³ªÀÌÆ®_¿©"
"dragon_knight_³²","·é³ªÀÌÆ®_³²"
"dragon_knight_¿©","·é³ªÀÌÆ®_¿©"
"elemetal_master_female","¼Ò¼­·¯_¿©"
"elemetal_master_female_riding","¼Ò¼­·¯_¿©"
"elemetal_master_male","¼Ò¼­·¯_³²"
"elemetal_master_male_riding","¼Ò¼­·¯_³²"
"elemetal_master_riding_³²","¼Ò¼­·¯_³²"
"elemetal_master_riding_¿©","¼Ò¼­·¯_¿©"
"elemetal_master_³²","¼Ò¼­·¯_³²"
"elemetal_master_¿©","¼Ò¼­·¯_¿©"
"frog_kagerou_male","kagerou_³²"
"frog_kagerou_³²","kagerou_³²"
"frog_ninja_female","´ÑÀÚ_¿©"
"frog_ninja_male","´ÑÀÚ_³²"
"frog_oboro_female","oboro_¿©"
"frog_oboro_¿©","oboro_¿©"
"frog_soul_linker_female","¼Ò¿ï¸µÄ¿_¿©"
"frog_soul_linker_male","¼Ò¿ï¸µÄ¿_³²"
"genetic_female","Á¦³×¸¯_¿©"
"genetic_female_riding","Á¦³×¸¯_¿©"
"genetic_male","Á¦³×¸¯_³²"
"genetic_male_riding","Á¦³×¸¯_³²"
"guillotine_cross_female","±æ·ÎÆ¾Å©·Î½º_¿©"
"guillotine_cross_male","±æ·ÎÆ¾Å©·Î½º_³²"
"gunslinger_female","°Ç³Ê_¿©"
"gunslinger_male","°Ç³Ê_³²"
"high_priest_female","ÇÏÀÌÇÁ¸®½ºÆ®_¿©"
"high_priest_female_riding","ÇÏÀÌÇÁ¸®½ºÆ®_¿©"
"high_priest_male","ÇÏÀÌÇÁ¸®½ºÆ®_³²"
"high_priest_male_riding","ÇÏÀÌÇÁ¸®½ºÆ®_³²"
"high_wizard_female","ÇÏÀÌÀ§Àúµå_¿©"
"high_wizard_male","ÇÏÀÌÀ§Àúµå_³²"
"hunter_female","ÇåÅÍ_¿©"
"hunter_male","ÇåÅÍ_³²"
"hyper_novice_female","½´ÆÛ³ëºñ½º_¿©"
"hyper_novice_female_riding","½´ÆÛ³ëºñ½º_¿©"
"hyper_novice_male","½´ÆÛ³ëºñ½º_³²"
"hyper_novice_male_riding","½´ÆÛ³ëºñ½º_³²"
"hyper_novice_riding_³²","½´ÆÛ³ëºñ½º_³²"
"hyper_novice_riding_¿©","½´ÆÛ³ëºñ½º_¿©"
"hyper_novice_³²","½´ÆÛ³ëºñ½º_³²"
"hyper_novice_¿©","½´ÆÛ³ëºñ½º_¿©"
"imperial_guard_chicken_³²","·Î¾â°¡µå_³²"
"imperial_guard_chicken_¿©","·Î¾â°¡µå_¿©"
"imperial_guard_female","·Î¾â°¡µå_¿©"
"imperial_guard_female_riding","·Î¾â°¡µå_¿©"
"imperial_guard_male","·Î¾â°¡µå_³²"
"imperial_guard_male_riding","·Î¾â°¡µå_³²"
"imperial_guard_riding_³²","·Î¾â°¡µå_³²"
"imperial_guard_riding_¿©","·Î¾â°¡µå_¿©"
"imperial_guard_³²","·Î¾â°¡µå_³²"
"imperial_guard_¿©","·Î¾â°¡µå_¿©"
"inquisitor_female","½´¶ó_¿©"
"inquisitor_female_riding","½´¶ó_¿©"
"inquisitor_male","½´¶ó_³²"
"inquisitor_male_riding","½´¶ó_³²"
"inquisitor_riding_³²","½´¶ó_³²"
"inquisitor_riding_¿©","½´¶ó_¿©"
"inquisitor_³²","½´¶ó_³²"
"inquisitor_¿©","½´¶ó_¿©"
"kagerou_male","kagerou_³²"
"kagerou_³²","kagerou_³²"
"knight_female","±â»ç_¿©"
"knight_male","±â»ç_³²"
"lion_crusader_female","Å©·ç_¿©"
"lion_crusader_male","Å©·ç_³²"
"lion_knight_female","±â»ç_¿©"
"lion_knight_male","±â»ç_³²"
"lion_lord_knight_female","·Îµå³ªÀÌÆ®_¿©"
"lion_lord_knight_male","·Îµå³ªÀÌÆ®_³²"
"lion_paladin_female","ÆÈ¶óµò_¿©"
"lion_paladin_male","ÆÈ¶óµò_³²"
"lion_royal_guard_female","·Î¾â°¡µå_¿©"
"lion_royal_guard_male","·Î¾â°¡µå_³²"
"lion_rune_knight_female","·é³ªÀÌÆ®_¿©"
"lion_rune_knight_male","·é³ªÀÌÆ®_³²"
"lord_knight_female","·Îµå³ªÀÌÆ®_¿©"
"lord_knight_male","·Îµå³ªÀÌÆ®_³²"
"magician_female","¸¶¹ý»ç_¿©"
"magician_male","¸¶¹ý»ç_³²"
"mechanic_female","¹ÌÄÉ´Ð_¿©"
"mechanic_female_madogear","¹ÌÄÉ´Ð_¿©"
"mechanic_female_riding","¹ÌÄÉ´Ð_¿©"
"mechanic_male","¹ÌÄÉ´Ð_³²"
"mechanic_male_madogear","¹ÌÄÉ´Ð_³²"
"mechanic_male_riding","¹ÌÄÉ´Ð_³²"
"meister_female","¹ÌÄÉ´Ð_¿©"
"meister_female_madogear1","¹ÌÄÉ´Ð_¿©"
"meister_female_madogear2","¹ÌÄÉ´Ð_¿©"
"meister_female_riding","¹ÌÄÉ´Ð_¿©"
"meister_madogear1_³²","¹ÌÄÉ´Ð_³²"
"meister_madogear1_¿©","¹ÌÄÉ´Ð_¿©"
"meister_madogear2_³²","¹ÌÄÉ´Ð_³²"
"meister_madogear2_¿©","¹ÌÄÉ´Ð_¿©"
"meister_male","¹ÌÄÉ´Ð_³²"
"meister_male_madogear1","¹ÌÄÉ´Ð_³²"
"meister_male_madogear2","¹ÌÄÉ´Ð_³²"
"meister_male_riding","¹ÌÄÉ´Ð_³²"
"meister_riding_³²","¹ÌÄÉ´Ð_³²"
"meister_riding_¿©","¹ÌÄÉ´Ð_¿©"
"meister_³²","¹ÌÄÉ´Ð_³²"
"meister_¿©","¹ÌÄÉ´Ð_¿©"
"merchant_female","»óÀÎ_¿©"
"merchant_female_riding","»óÀÎ_¿©"
"merchant_male","»óÀÎ_³²"
"merchant_male_riding","»óÀÎ_³²"
"minstrel_male","¹Î½ºÆ®·²_³²"
"monk_female","¸ùÅ©_¿©"
"monk_female_riding","¸ùÅ©_¿©"
"monk_male","¸ùÅ©_³²"
"monk_male_riding","¸ùÅ©_³²"
"night_watch_female","·¹ÀÎÀú_¿©"
"night_watch_female_riding","·¹ÀÎÀú_¿©"
"night_watch_male","·¹ÀÎÀú_³²"
"night_watch_male_riding","·¹ÀÎÀú_³²"
"night_watch_riding_³²","·¹ÀÎÀú_³²"
"night_watch_riding_¿©","·¹ÀÎÀú_¿©"
"night_watch_³²","·¹ÀÎÀú_³²"
"night_watch_¿©","·¹ÀÎÀú_¿©"
"ninja_female","´ÑÀÚ_¿©"
"ninja_male","´ÑÀÚ_³²"
"oboro_female","oboro_¿©"
"oboro_¿©","oboro_¿©"
"ostrich_archer_female","±Ã¼ö_¿©"
"ostrich_archer_male","±Ã¼ö_³²"
"ostrich_bard_female","¹«Èñ_¿©"
"ostrich_bard_male","¹Ùµå_³²"
"ostrich_clown_male","Å©¶ó¿î_³²"
"ostrich_dancer_female","¹«Èñ_¿©"
"ostrich_dancer_male","¹Ùµå_³²"
"ostrich_hunter_female","ÇåÅÍ_¿©"
"ostrich_hunter_male","ÇåÅÍ_³²"
"ostrich_minstrel_male","¹Î½ºÆ®·²_³²"
"ostrich_sniper_female","½º³ªÀÌÆÛ_¿©"
"ostrich_sniper_male","½º³ªÀÌÆÛ_³²"
"ostrich_wanderer_female","¿ø´õ·¯_¿©"
"paladin_female","ÆÈ¶óµò_¿©"
"paladin_male","ÆÈ¶óµò_³²"
"peco_gunslinger_female","°Ç³Ê_¿©"
"peco_gunslinger_male","°Ç³Ê_³²"
"peco_paladin_female","ÆäÄÚÆÈ¶ó_¿©"
"peco_paladin_male","ÆäÄÚÆÈ¶ó_³²"
"peco_swordman_female","°Ë»ç_¿©"
"peco_swordman_male","°Ë»ç_³²"
"priest_female","ÇÁ¸®½ºÆ®_¿©"
"priest_female_riding","ÇÁ¸®½ºÆ®_¿©"
"priest_male","ÇÁ¸®½ºÆ®_³²"
"priest_male_riding","ÇÁ¸®½ºÆ®_³²"
"professor_female","ÇÁ·ÎÆä¼­_¿©"
"professor_male","ÇÁ·ÎÆä¼­_³²"
"rebellion_female","Á¦Ã¶°ø_¿©"
"rebellion_female_riding","Á¦Ã¶°ø_¿©"
"rebellion_male","Á¦Ã¶°ø_³²"
"rebellion_male_riding","Á¦Ã¶°ø_³²"
"rogue_female","·Î±×_¿©"
"rogue_male","·Î±×_³²"
"royal_guard_female","·Î¾â°¡µå_¿©"
"royal_guard_male","·Î¾â°¡µå_³²"
"rune_knight_female","·é³ªÀÌÆ®_¿©"
"rune_knight_female_riding","·é³ªÀÌÆ®_¿©"
"rune_knight_male","·é³ªÀÌÆ®_³²"
"rune_knight_male_riding","·é³ªÀÌÆ®_³²"
"sage_female","¼¼ÀÌÁö_¿©"
"sage_male","¼¼ÀÌÁö_³²"
"shadow_chaser_female","½¦µµ¿ìÃ¼ÀÌ¼­_¿©"
"shadow_chaser_male","½¦µµ¿ìÃ¼ÀÌ¼­_³²"
"shadow_cross_female","±æ·ÎÆ¾Å©·Î½º_¿©"
"shadow_cross_female_riding","±æ·ÎÆ¾Å©·Î½º_¿©"
"shadow_cross_male","±æ·ÎÆ¾Å©·Î½º_³²"
"shadow_cross_male_riding","±æ·ÎÆ¾Å©·Î½º_³²"
"shadow_cross_riding_³²","±æ·ÎÆ¾Å©·Î½º_³²"
"shadow_cross_riding_¿©","±æ·ÎÆ¾Å©·Î½º_¿©"
"shadow_cross_³²","±æ·ÎÆ¾Å©·Î½º_³²"
"shadow_cross_¿©","±æ·ÎÆ¾Å©·Î½º_¿©"
"shinkiro_male","kagerou_³²"
"shinkiro_male_riding","kagerou_³²"
"shinkiro_riding_³²","kagerou_³²"
"shinkiro_³²","kagerou_³²"
"shiranui_female","oboro_¿©"
"shiranui_female_riding","oboro_¿©"
"shiranui_riding_¿©","oboro_¿©"
"shiranui_¿©","oboro_¿©"
"sky_emperor2_³²","ÅÂ±Ç¼Ò³â_³²"
"sky_emperor2_¿©","ÅÂ±Ç¼Ò³â_¿©"
"sky_emperor_female","ÅÂ±Ç¼Ò³â_¿©"
"sky_emperor_female_riding","ÅÂ±Ç¼Ò³â_¿©"
"sky_emperor_male","ÅÂ±Ç¼Ò³â_³²"
"sky_emperor_male_riding","ÅÂ±Ç¼Ò³â_³²"
"sky_emperor_riding_³²","ÅÂ±Ç¼Ò³â_³²"
"sky_emperor_riding_¿©","ÅÂ±Ç¼Ò³â_¿©"
"sky_emperor_³²","ÅÂ±Ç¼Ò³â_³²"
"sky_emperor_¿©","ÅÂ±Ç¼Ò³â_¿©"
"sniper_female","½º³ªÀÌÆÛ_¿©"
"sniper_male","½º³ªÀÌÆÛ_³²"
"sorcerer_female","¼Ò¼­·¯_¿©"
"sorcerer_male","¼Ò¼­·¯_³²"
"soul_ascetic_female","¼Ò¿ï¸®ÆÛ_¿©"
"soul_ascetic_female_riding","¼Ò¿ï¸®ÆÛ_¿©"
"soul_ascetic_male","¼Ò¿ï¸®ÆÛ_³²"
"soul_ascetic_male_riding","¼Ò¿ï¸®ÆÛ_³²"
"soul_ascetic_riding_³²","¼Ò¿ï¸®ÆÛ_³²"
"soul_ascetic_riding_¿©","¼Ò¿ï¸®ÆÛ_¿©"
"soul_ascetic_³²","¼Ò¿ï¸®ÆÛ_³²"
"soul_ascetic_¿©","¼Ò¿ï¸®ÆÛ_¿©"
"soul_linker_female","¼Ò¿ï¸µÄ¿_¿©"
"soul_linker_male","¼Ò¿ï¸µÄ¿_³²"
"stalker_female","½ºÅäÄ¿_¿©"
"stalker_male","½ºÅäÄ¿_³²"
"summoner_female","±Ç¼º_¿©"
"summoner_female_riding","±Ç¼º_¿©"
"summoner_male","±Ç¼º_³²"
"summoner_male_riding","±Ç¼º_³²"
"summoner_³²","summoner_³²"
"summoner_¿©","summoner_¿©"
"super_novice_female","½´ÆÛ³ëºñ½º_¿©"
"super_novice_female_riding","½´ÆÛ³ëºñ½º_¿©"
"super_novice_male","½´ÆÛ³ëºñ½º_³²"
"super_novice_male_riding","½´ÆÛ³ëºñ½º_³²"
"sura_female","½´¶ó_¿©"
"sura_female_riding","½´¶ó_¿©"
"sura_male","½´¶ó_³²"
"sura_male_riding","½´¶ó_³²"
"swordman_female","°Ë»ç_¿©"
"swordman_male","°Ë»ç_³²"
"taekwon_female","ÅÂ±Ç¼Ò³â_¿©"
"taekwon_female_riding","ÅÂ±Ç¼Ò³â_¿©"
"taekwon_male","ÅÂ±Ç¼Ò³â_³²"
"taekwon_male_riding","ÅÂ±Ç¼Ò³â_³²"
"thief_female","µµµÏ_¿©"
"thief_male","µµµÏ_³²"
"trans_high_wizard_female","ÇÏÀÌÀ§Àúµå_¿©"
"trans_high_wizard_male","ÇÏÀÌÀ§Àúµå_³²"
"trans_magician_female","¸¶¹ý»ç_¿©"
"trans_magician_male","¸¶¹ý»ç_³²"
"trans_professor_female","ÇÁ·ÎÆä¼­_¿©"
"trans_professor_male","ÇÁ·ÎÆä¼­_³²"
"trans_sage_female","¼¼ÀÌÁö_¿©"
"trans_sage_male","¼¼ÀÌÁö_³²"
"trans_sorcerer_female","¼Ò¼­·¯_¿©"
"trans_sorcerer_male","¼Ò¼­·¯_³²"
"trans_warlock_female","¿ö·Ï_¿©"
"trans_warlock_male","¿ö·Ï_³²"
"trans_wizard_female","À§Àúµå_¿©"
"trans_wizard_male","À§Àúµå_³²"
"troubadour_male","¹Ùµå_³²"
"troubadour_male_riding","¹Ùµå_³²"
"troubadour_riding_³²","¹Ùµå_³²"
"troubadour_³²","¹Ùµå_³²"
"trouvere_female","¿ø´õ·¯_¿©"
"trouvere_female_riding","¿ø´õ·¯_¿©"
"trouvere_riding_¿©","¿ø´õ·¯_¿©"
"trouvere_¿©","¿ø´õ·¯_¿©"
"wanderer_female","¿ø´õ·¯_¿©"
"warlock_female","¿ö·Ï_¿©"
"warlock_male","¿ö·Ï_³²"
"whitesmith_female","È­ÀÌÆ®½º¹Ì½º_¿©"
"whitesmith_female_riding","È­ÀÌÆ®½º¹Ì½º_¿©"
"whitesmith_male","È­ÀÌÆ®½º¹Ì½º_³²"
"whitesmith_male_riding","È­ÀÌÆ®½º¹Ì½º_³²"
"windhawk_female","·¹ÀÎÀú_¿©"
"windhawk_female_riding","·¹ÀÎÀú_¿©"
"windhawk_male","·¹ÀÎÀú_³²"
"windhawk_male_riding","·¹ÀÎÀú_³²"
"windhawk_riding_³²","·¹ÀÎÀú_³²"
"windhawk_riding_¿©","·¹ÀÎÀú_¿©"
"windhawk_³²","·¹ÀÎÀú_³²"
"windhawk_¿©","·¹ÀÎÀú_¿©"
"wizard_female","À§Àúµå_¿©"
"wizard_male","À§Àúµå_³²"
"wolf_windhawk_female","·¹ÀÎÀú_¿©"
"wolf_windhawk_male","·¹ÀÎÀú_³²"
"wolf_windhawk_³²","·¹ÀÎÀú_³²"
"wolf_windhawk_¿©","·¹ÀÎÀú_¿©"
"°Ç³Ê_³²","°Ç³Ê_³²"
"°Ç³Ê_¿©","°Ç³Ê_¿©"
"°Ë»ç_³²","°Ë»ç_³²"
"°Ë»ç_¿©","°Ë»ç_¿©"
"°Ë»çÆäÄÚ_³²","°Ë»çÆäÄÚ_³²"
"°Ë»çÆäÄÚ_¿©","°Ë»çÆäÄÚ_¿©"
"°áÈ¥_³²","°áÈ¥_³²"
"°áÈ¥_¿©","°áÈ¥_¿©"
"±Ã¼ö_³²","±Ã¼ö_³²"
"±Ã¼ö_¿©","±Ã¼ö_¿©"
"±Ç¼º_³²","±Ç¼º_³²"
"±Ç¼º_¿©","±Ç¼º_¿©"
"±Ç¼ºÀ¶ÇÕ_³²","±Ç¼º_³²"
"±Ç¼ºÀ¶ÇÕ_¿©","±Ç¼º_¿©"
"±Ç¼ºÆ÷¸µ_³²","±Ç¼º_³²"
"±Ç¼ºÆ÷¸µ_¿©","±Ç¼º_¿©"
"±×¸®Æù·Î¾â_³²","±×¸®Æù·Î¾â_³²"
"±×¸®Æù·Î¾â_¿©","±×¸®Æù·Î¾â_¿©"
"±â»ç_³²","±â»ç_³²"
"±â»ç_¿©","±â»ç_¿©"
"±æ·ÎÆ¾Å©·Î½º_³²","±æ·ÎÆ¾Å©·Î½º_³²"
"±æ·ÎÆ¾Å©·Î½º_¿©","±æ·ÎÆ¾Å©·Î½º_¿©"
"´ÑÀÚ_³²","´ÑÀÚ_³²"
"´ÑÀÚ_¿©","´ÑÀÚ_¿©"
"´í¼­_¿©","´í¼­_¿©"
"µµµÏ_³²","µµµÏ_³²"
"µµµÏ_¿©","µµµÏ_¿©"
"µÎ²¨ºñ´ÑÀÚ_³²","´ÑÀÚ_³²"
"µÎ²¨ºñ´ÑÀÚ_¿©","´ÑÀÚ_¿©"
"µÎ²¨ºñ¼Ò¿ï¸µÄ¿_³²","¼Ò¿ï¸µÄ¿_³²"
"µÎ²¨ºñ¼Ò¿ï¸µÄ¿_¿©","¼Ò¿ï¸µÄ¿_¿©"
"·¹ÀÎÀú_³²","·¹ÀÎÀú_³²"
"·¹ÀÎÀú_¿©","·¹ÀÎÀú_¿©"
"·Î±×_³²","·Î±×_³²"
"·Î±×_¿©","·Î±×_¿©"
"·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²"
"·Îµå³ªÀÌÆ®_¿©","·Îµå³ªÀÌÆ®_¿©"
"·Î¾â°¡µå_³²","·Î¾â°¡µå_³²"
"·Î¾â°¡µå_¿©","·Î¾â°¡µå_¿©"
"·é³ªÀÌÆ®_³²","·é³ªÀÌÆ®_³²"
"·é³ªÀÌÆ®_¿©","·é³ªÀÌÆ®_¿©"
"·é³ªÀÌÆ®»Ú¶ì_³²","·é³ªÀÌÆ®_³²"
"·é³ªÀÌÆ®»Ú¶ì_¿©","·é³ªÀÌÆ®_¿©"
"·éµå·¡°ï_³²","·éµå·¡°ï_³²"
"·éµå·¡°ï_¿©","·éµå·¡°ï_¿©"
"¸®º§¸®¿Â_³²","¸®º§¸®¿Â_³²"
"¸®º§¸®¿Â_¿©","¸®º§¸®¿Â_¿©"
"¸¶¹ý»ç_³²","¸¶¹ý»ç_³²"
"¸¶¹ý»ç_¿©","¸¶¹ý»ç_¿©"
"¸ùÅ©_³²","¸ùÅ©_³²"
"¸ùÅ©_¿©","¸ùÅ©_¿©"
"¸ùÅ©¾ËÆÄÄ«_³²","¸ùÅ©_³²"
"¸ùÅ©¾ËÆÄÄ«_¿©","¸ùÅ©_¿©"
"¹«Èñ_³²","¹Ùµå_³²"
"¹«Èñ_¿©","¹«Èñ_¿©"
"¹«Èñ¹ÙÁö_¿©","¹«Èñ_¿©"
"¹ÌÄÉ´Ð_³²","¹ÌÄÉ´Ð_³²"
"¹ÌÄÉ´Ð_¸¶µµ±â¾î_³²","¹ÌÄÉ´Ð_³²"
"¹ÌÄÉ´Ð_¸¶µµ±â¾î_¿©","¹ÌÄÉ´Ð_¿©"
"¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_³²","¹ÌÄÉ´Ð_³²"
"¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_¿©","¹ÌÄÉ´Ð_¿©"
"¹ÌÄÉ´Ð_¿©","¹ÌÄÉ´Ð_¿©"
"¹ÌÄÉ´Ð¸äµÅÁö_³²","¹ÌÄÉ´Ð_³²"
"¹ÌÄÉ´Ð¸äµÅÁö_¿©","¹ÌÄÉ´Ð_¿©"
"¹Î½ºÆ®·²_³²","¹Î½ºÆ®·²_³²"
"¹Ùµå_³²","¹Ùµå_³²"
"¹Ùµå_¿©","¹«Èñ_¿©"
"»çÀÚ±â»ç_³²","±â»ç_³²"
"»çÀÚ±â»ç_¿©","±â»ç_¿©"
"»çÀÚ·Îµå³ªÀÌÆ®_³²","·Îµå³ªÀÌÆ®_³²"
"»çÀÚ·Îµå³ªÀÌÆ®_¿©","·Îµå³ªÀÌÆ®_¿©"
"»çÀÚ·Î¾â°¡µå_³²","·Î¾â°¡µå_³²"
"»çÀÚ·Î¾â°¡µå_¿©","·Î¾â°¡µå_¿©"
"»çÀÚ·é³ªÀÌÆ®_³²","·é³ªÀÌÆ®_³²"
"»çÀÚ·é³ªÀÌÆ®_¿©","·é³ªÀÌÆ®_¿©"
"»çÀÚÅ©·ç¼¼ÀÌ´õ_³²","Å©·ç_³²"
"»çÀÚÅ©·ç¼¼ÀÌ´õ_¿©","Å©·ç_¿©"
"»çÀÚÆÈ¶óµò_³²","ÆÈ¶óµò_³²"
"»çÀÚÆÈ¶óµò_¿©","ÆÈ¶óµò_¿©"
"»óÀÎ_³²","»óÀÎ_³²"
"»óÀÎ_¿©","»óÀÎ_¿©"
"»óÀÎ¸äµÅÁö_³²","»óÀÎ_³²"
"»óÀÎ¸äµÅÁö_¿©","»óÀÎ_¿©"
"¼ºÁ¦_³²","¼ºÁ¦_³²"
"¼ºÁ¦_³²_Å»°Í","¼ºÁ¦_¿©"
"¼ºÁ¦_¿©","¼ºÁ¦_¿©"
"¼ºÁ¦_¿©_Å»°Í","¼ºÁ¦_¿©"
"¼ºÁ¦À¶ÇÕ_³²","¼ºÁ¦_³²"
"¼ºÁ¦À¶ÇÕ_¿©","¼ºÁ¦_¿©"
"¼ºÁ÷ÀÚ_³²","¼ºÁ÷ÀÚ_³²"
"¼ºÁ÷ÀÚ_¿©","¼ºÁ÷ÀÚ_¿©"
"¼ºÅõ»ç2_³²","¼ºÅõ»ç2_³²"
"¼ºÅõ»ç2_¿©","¼ºÅõ»ç2_¿©"
"¼ºÅõ»ç_³²","¼ºÅõ»ç_³²"
"¼ºÅõ»ç_¿©","¼ºÅõ»ç_¿©"
"¼¼ÀÌÁö_³²","¼¼ÀÌÁö_³²"
"¼¼ÀÌÁö_¿©","¼¼ÀÌÁö_¿©"
"¼Ò¼­·¯_³²","¼Ò¼­·¯_³²"
"¼Ò¼­·¯_¿©","¼Ò¼­·¯_¿©"
"¼Ò¿ï¸®ÆÛ_³²","¼Ò¿ï¸®ÆÛ_³²"
"¼Ò¿ï¸®ÆÛ_¿©","¼Ò¿ï¸®ÆÛ_¿©"
"¼Ò¿ï¸µÄ¿_³²","¼Ò¿ï¸µÄ¿_³²"
"¼Ò¿ï¸µÄ¿_¿©","¼Ò¿ï¸µÄ¿_¿©"
"½¦µµ¿ìÃ¼ÀÌ¼­_³²","½¦µµ¿ìÃ¼ÀÌ¼­_³²"
"½¦µµ¿ìÃ¼ÀÌ¼­_¿©","½¦µµ¿ìÃ¼ÀÌ¼­_¿©"
"½´¶ó_³²","½´¶ó_³²"
"½´¶ó_¿©","½´¶ó_¿©"
"½´¶ó¾ËÆÄÄ«_³²","½´¶ó_³²"
"½´¶ó¾ËÆÄÄ«_¿©","½´¶ó_¿©"
"½´ÆÛ³ëºñ½º_³²","½´ÆÛ³ëºñ½º_³²"
"½´ÆÛ³ëºñ½º_¿©","½´ÆÛ³ëºñ½º_¿©"
