Base,White,Silver,Detail,Accent,Shadow,Neutral
imperial_guard_riding_¿©,25,2,63,23,129,14
imperial_guard_³²,25,2,63,23,129,14
imperial_guard_¿©,25,2,63,23,129,14
inquisitor_female,27,3,70,22,115,19
inquisitor_female_riding,27,3,70,22,115,19
inquisitor_male,28,4,64,22,115,23
inquisitor_male_riding,28,4,64,22,115,23
inquisitor_riding_³²,28,4,64,22,115,23
inquisitor_riding_¿©,27,3,70,22,115,19
inquisitor_³²,28,4,64,22,115,23
inquisitor_¿©,27,3,70,22,115,19
kagerou_male,28,3,70,17,123,15
kagerou_³²,28,3,70,17,123,15
knight_female,26,2,75,12,130,11
knight_male,26,2,75,12,130,11
lion_crusader_female,26,2,75,12,130,11
lion_crusader_male,26,2,75,12,130,11
lion_knight_female,26,2,75,12,130,11
lion_knight_male,26,2,75,12,130,11
lion_lord_knight_female,26,2,75,12,130,11
lion_lord_knight_male,26,2,75,12,130,11
lion_paladin_female,26,2,75,12,130,11
lion_paladin_male,26,2,75,12,130,11
lion_royal_guard_female,25,2,63,23,129,14
lion_royal_guard_male,25,2,63,23,129,14
lion_rune_knight_female,25,2,69,21,127,12
lion_rune_knight_male,26,2,75,17,127,9
lord_knight_female,26,2,75,12,130,11
lord_knight_male,26,2,75,12,130,11
magician_female,26,4,64,12,130,20
magician_male,27,4,69,10,129,17
mechanic_female,27,4,58,18,129,20
mechanic_female_madogear,27,4,58,18,129,20
mechanic_female_riding,27,4,58,18,129,20
mechanic_male,26,4,52,22,129,23
mechanic_male_madogear,26,4,52,22,129,23
mechanic_male_riding,26,4,52,22,129,23
meister_female,27,4,58,18,129,20
meister_female_madogear1,27,4,58,18,129,20
meister_female_madogear2,27,4,58,18,129,20
meister_female_riding,27,4,58,18,129,20
meister_madogear1_³²,26,4,52,22,129,23
meister_madogear1_¿©,27,4,58,18,129,20
meister_madogear2_³²,26,4,52,22,129,23
meister_madogear2_¿©,27,4,58,18,129,20
meister_male,26,4,52,22,129,23
meister_male_madogear1,26,4,52,22,129,23
meister_male_madogear2,26,4,52,22,129,23
meister_male_riding,26,4,52,22,129,23
meister_riding_³²,26,4,52,22,129,23
meister_riding_¿©,27,4,58,18,129,20
meister_³²,26,4,52,22,129,23
meister_¿©,27,4,58,18,129,20
merchant_female,26,3,69,12,130,16
merchant_female_riding,26,3,69,12,130,16
merchant_male,26,3,69,12,130,16
merchant_male_riding,26,3,69,12,130,16
minstrel_male,27,3,70,11,130,15
monk_female,27,0,87,10,129,3
monk_female_riding,27,0,87,10,129,3
monk_male,27,3,70,11,130,15
monk_male_riding,27,3,70,11,130,15
new_peco_crusader_female,26,2,75,12,130,11
new_peco_crusader_male,26,2,75,12,130,11
night_watch_female,25,1,62,33,127,8
night_watch_female_riding,25,1,62,33,127,8
night_watch_male,25,1,68,26,128,8
night_watch_male_riding,25,1,68,26,128,8
night_watch_riding_³²,25,1,68,26,128,8
night_watch_riding_¿©,25,1,62,33,127,8
night_watch_³²,25,1,68,26,128,8
night_watch_¿©,25,1,62,33,127,8
ninja_female,25,4,52,23,129,23
ninja_male,26,3,64,19,129,15
oboro_female,28,4,57,21,123,23
oboro_¿©,28,4,57,21,123,23
ostrich_archer_female,27,3,75,10,129,12
ostrich_archer_male,27,3,75,10,129,12
ostrich_bard_female,25,6,29,36,130,30
ostrich_bard_male,27,4,70,10,129,16
ostrich_clown_male,27,4,70,10,129,16
ostrich_dancer_female,25,6,29,36,130,30
ostrich_dancer_male,27,4,70,10,129,16
ostrich_hunter_female,27,2,81,10,129,7
ostrich_hunter_male,27,4,70,10,129,16
ostrich_minstrel_male,27,3,70,11,130,15
ostrich_sniper_female,27,2,81,10,129,7
ostrich_sniper_male,27,4,70,10,129,16
ostrich_wanderer_female,27,4,70,10,129,16
paladin_female,26,2,75,12,130,11
paladin_male,26,2,75,12,130,11
peco_gunslinger_female,36,2,95,20,91,12
peco_gunslinger_male,36,2,95,20,91,12
peco_paladin_female,36,2,103,12,92,11
peco_paladin_male,36,2,102,11,93,12
peco_swordman_female,35,4,84,20,92,21
peco_swordman_male,36,4,91,11,93,21
priest_female,27,0,87,10,129,3
priest_female_riding,27,0,87,10,129,3
priest_male,27,3,70,11,130,15
priest_male_riding,27,3,70,11,130,15
professor_female,27,2,81,9,129,8
professor_male,26,2,80,11,129,8
rebellion_female,27,0,81,11,130,7
rebellion_female_riding,27,0,81,11,130,7
rebellion_male,27,2,75,11,130,11
rebellion_male_riding,27,2,75,11,130,11
rogue_female,27,2,75,11,130,11
rogue_male,27,2,76,10,130,11
royal_guard_female,25,2,63,23,129,14
royal_guard_male,25,2,63,23,129,14
rune_knight_female,25,2,69,21,127,12
rune_knight_female_riding,25,2,69,21,127,12
rune_knight_male,26,2,75,17,127,9
rune_knight_male_riding,26,2,75,17,127,9
sage_female,27,2,81,9,129,8
sage_male,26,2,80,11,129,8
shadow_chaser_female,25,3,52,29,129,18
shadow_chaser_male,24,3,46,36,129,18
shadow_cross_female,26,4,46,28,129,23
shadow_cross_female_riding,26,4,46,28,129,23
shadow_cross_male,26,4,47,28,128,23
shadow_cross_male_riding,26,4,47,28,128,23
shadow_cross_riding_³²,26,4,47,28,128,23
shadow_cross_riding_¿©,26,4,46,28,129,23
shadow_cross_³²,26,4,47,28,128,23
shadow_cross_¿©,26,4,46,28,129,23
shinkiro_male,28,3,70,17,123,15
shinkiro_male_riding,28,3,70,17,123,15
shinkiro_riding_³²,28,3,70,17,123,15
shinkiro_³²,28,3,70,17,123,15
shiranui_female,28,4,57,21,123,23
shiranui_female_riding,28,4,57,21,123,23
shiranui_riding_¿©,28,4,57,21,123,23
shiranui_¿©,28,4,57,21,123,23
sky_emperor2_³²,25,3,69,18,129,12
sky_emperor2_¿©,27,3,75,9,130,12
sky_emperor_female,27,3,75,9,130,12
sky_emperor_female_riding,27,3,75,9,130,12
sky_emperor_male,25,3,69,18,129,12
sky_emperor_male_riding,25,3,69,18,129,12
sky_emperor_riding_³²,25,3,69,18,129,12
sky_emperor_riding_¿©,27,3,75,9,130,12
sky_emperor_³²,25,3,69,18,129,12
sky_emperor_¿©,27,3,75,9,130,12
sniper_female,27,2,81,10,129,7
sniper_male,27,4,70,10,129,16
sorcerer_female,26,3,59,21,129,18
sorcerer_male,26,3,64,19,129,15
soul_ascetic_female,35,2,125,23,49,22
soul_ascetic_female_riding,35,2,125,23,49,22
soul_ascetic_male,35,1,131,23,49,17
soul_ascetic_male_riding,35,1,131,23,49,17
soul_ascetic_riding_³²,35,1,131,23,49,17
soul_ascetic_riding_¿©,35,2,125,23,49,22
soul_ascetic_³²,35,1,131,23,49,17
soul_ascetic_¿©,35,2,125,23,49,22
soul_linker_female,27,3,75,9,130,12
soul_linker_male,25,3,69,18,129,12
stalker_female,26,2,75,12,130,11
stalker_male,26,2,75,12,130,11
summoner_female,27,3,75,9,130,12
summoner_female_riding,27,3,75,9,130,12
summoner_male,25,3,69,18,129,12
summoner_male_riding,25,3,69,18,129,12
summoner_³²,24,7,41,28,130,26
summoner_¿©,25,6,52,19,135,19
super_novice_female,25,3,57,25,130,16
super_novice_female_riding,25,3,57,25,130,16
super_novice_male,25,3,57,25,130,16
super_novice_male_riding,25,3,57,25,130,16
sura_female,27,3,70,22,115,19
sura_female_riding,27,3,70,22,115,19
sura_male,28,4,64,22,115,23
sura_male_riding,28,4,64,22,115,23
swordman_female,35,4,84,20,92,21
swordman_male,36,4,91,11,93,21
taekwon_female,27,3,75,9,130,12
taekwon_female_riding,27,3,75,9,130,12
taekwon_male,25,3,69,18,129,12
taekwon_male_riding,25,3,69,18,129,12
thief_female,27,3,69,11,130,16
thief_male,27,4,64,11,130,20
trans_high_wizard_female,27,2,81,9,129,8
trans_high_wizard_male,26,2,80,11,129,8
trans_magician_female,26,4,64,12,130,20
trans_magician_male,27,4,69,10,129,17
trans_professor_female,27,2,81,9,129,8
trans_professor_male,26,2,80,11,129,8
trans_sage_female,27,2,81,9,129,8
trans_sage_male,26,2,80,11,129,8
trans_sorcerer_female,26,3,59,21,129,18
trans_sorcerer_male,26,3,64,19,129,15
trans_warlock_female,27,2,86,23,110,8
trans_warlock_male,27,3,78,18,117,13
trans_wizard_female,27,2,81,9,129,8
trans_wizard_male,26,2,80,11,129,8
troubadour_male,27,4,70,10,129,16
troubadour_male_riding,27,4,70,10,129,16
troubadour_riding_³²,27,4,70,10,129,16
troubadour_³²,27,4,70,10,129,16
trouvere_female,27,4,70,10,129,16
trouvere_female_riding,27,4,70,10,129,16
trouvere_riding_¿©,27,4,70,10,129,16
trouvere_¿©,27,4,70,10,129,16
wanderer_female,27,4,70,10,129,16
warlock_female,27,2,86,23,110,8
warlock_male,27,3,78,18,117,13
whitesmith_female,27,0,81,11,130,7
whitesmith_female_riding,27,0,81,11,130,7
whitesmith_male,27,2,75,11,130,11
whitesmith_male_riding,27,2,75,11,130,11
windhawk_female,25,1,62,33,127,8
windhawk_female_riding,25,1,62,33,127,8
windhawk_male,25,1,68,26,128,8
windhawk_male_riding,25,1,68,26,128,8
windhawk_riding_³²,25,1,68,26,128,8
windhawk_riding_¿©,25,1,62,33,127,8
windhawk_³²,25,1,68,26,128,8
windhawk_¿©,25,1,62,33,127,8
wizard_female,27,2,81,9,129,8
wizard_male,26,2,80,11,129,8
wolf_windhawk_female,25,1,62,33,127,8
wolf_windhawk_male,25,1,68,26,128,8
wolf_windhawk_³²,25,1,68,26,128,8
wolf_windhawk_¿©,25,1,62,33,127,8
°Ç³Ê_³²,36,2,95,20,91,12
°Ç³Ê_¿©,36,2,95,20,91,12
°Ë»ç_³²,36,4,91,11,93,21
°Ë»ç_¿©,35,4,84,20,92,21
°Ë»çÆäÄÚ_³²,36,4,91,11,93,21
°Ë»çÆäÄÚ_¿©,35,4,84,20,92,21
°áÈ¥_³²,25,0,86,14,128,3
°áÈ¥_¿©,24,3,45,36,129,19
±Ã¼ö_³²,27,3,75,10,129,12
±Ã¼ö_¿©,27,3,75,10,129,12
±Ç¼º_³²,25,3,69,18,129,12
±Ç¼º_¿©,27,3,75,9,130,12
±Ç¼ºÀ¶ÇÕ_³²,25,3,69,18,129,12
±Ç¼ºÀ¶ÇÕ_¿©,27,3,75,9,130,12
±Ç¼ºÆ÷¸µ_³²,25,3,69,18,129,12
±Ç¼ºÆ÷¸µ_¿©,27,3,75,9,130,12
±×¸®Æù·Î¾â_³²,36,2,92,22,90,14
±×¸®Æù·Î¾â_¿©,36,2,93,21,90,14
±â»ç_³²,26,2,75,12,130,11
±â»ç_¿©,26,2,75,12,130,11
±æ·ÎÆ¾Å©·Î½º_³²,26,4,47,28,128,23
±æ·ÎÆ¾Å©·Î½º_¿©,26,4,46,28,129,23
´ÑÀÚ_³²,26,3,64,19,129,15
´ÑÀÚ_¿©,25,4,52,23,129,23
´í¼­_¿©,27,2,81,10,129,7
µµµÏ_³²,27,4,64,11,130,20
µµµÏ_¿©,27,3,69,11,130,16
µÎ²¨ºñ´ÑÀÚ_³²,26,3,64,19,129,15
µÎ²¨ºñ´ÑÀÚ_¿©,25,4,52,23,129,23
µÎ²¨ºñ¼Ò¿ï¸µÄ¿_³²,25,3,69,18,129,12
µÎ²¨ºñ¼Ò¿ï¸µÄ¿_¿©,27,3,75,9,130,12
·¹ÀÎÀú_³²,25,1,68,26,128,8
·¹ÀÎÀú_¿©,25,1,62,33,127,8
·Î±×_³²,27,2,76,10,130,11
·Î±×_¿©,27,2,75,11,130,11
·Îµå³ªÀÌÆ®_³²,26,2,75,12,130,11
·Îµå³ªÀÌÆ®_¿©,26,2,75,12,130,11
·Î¾â°¡µå_³²,25,2,63,23,129,14
·Î¾â°¡µå_¿©,25,2,63,23,129,14
·é³ªÀÌÆ®_³²,26,2,75,17,127,9
·é³ªÀÌÆ®_¿©,25,2,69,21,127,12
·é³ªÀÌÆ®»Ú¶ì_³²,26,2,75,17,127,9
·é³ªÀÌÆ®»Ú¶ì_¿©,25,2,69,21,127,12
·éµå·¡°ï_³²,36,2,103,16,90,9
·éµå·¡°ï_¿©,36,2,104,15,90,9
¸®º§¸®¿Â_³²,35,2,123,21,57,18
¸®º§¸®¿Â_¿©,36,2,125,21,54,18
¸¶¹ý»ç_³²,27,4,69,10,129,17
¸¶¹ý»ç_¿©,26,4,64,12,130,20
¸ùÅ©_³²,27,3,70,11,130,15
¸ùÅ©_¿©,27,0,87,10,129,3
¸ùÅ©¾ËÆÄÄ«_³²,27,3,70,11,130,15
¸ùÅ©¾ËÆÄÄ«_¿©,27,0,87,10,129,3
¹«Èñ_³²,27,4,70,10,129,16
¹«Èñ_¿©,25,6,29,36,130,30
¹«Èñ¹ÙÁö_¿©,25,6,29,36,130,30
¹ÌÄÉ´Ð_³²,26,4,52,22,129,23
¹ÌÄÉ´Ð_¸¶µµ±â¾î_³²,26,4,52,22,129,23
¹ÌÄÉ´Ð_¸¶µµ±â¾î_¿©,27,4,58,18,129,20
¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_³²,26,4,52,22,129,23
¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_¿©,27,4,58,18,129,20
¹ÌÄÉ´Ð_¿©,27,4,58,18,129,20
¹ÌÄÉ´Ð¸äµÅÁö_³²,26,4,52,22,129,23
¹ÌÄÉ´Ð¸äµÅÁö_¿©,27,4,58,18,129,20
¹Î½ºÆ®·²_³²,27,3,70,11,130,15
¹Î½ºÆ®·²_¿©,27,4,70,10,129,16
¹Ùµå_³²,27,4,70,10,129,16
¹Ùµå_¿©,25,6,29,36,130,30
»çÀÚ±â»ç_³²,26,2,75,12,130,11
»çÀÚ±â»ç_¿©,26,2,75,12,130,11
»çÀÚ·Îµå³ªÀÌÆ®_³²,26,2,75,12,130,11
»çÀÚ·Îµå³ªÀÌÆ®_¿©,26,2,75,12,130,11
»çÀÚ·Î¾â°¡µå_³²,25,2,63,23,129,14
»çÀÚ·Î¾â°¡µå_¿©,25,2,63,23,129,14
»çÀÚ·é³ªÀÌÆ®_³²,26,2,75,17,127,9
»çÀÚ·é³ªÀÌÆ®_¿©,25,2,69,21,127,12
»çÀÚÅ©·ç¼¼ÀÌ´õ_³²,26,2,75,12,130,11
»çÀÚÅ©·ç¼¼ÀÌ´õ_¿©,26,2,75,12,130,11
»çÀÚÆÈ¶óµò_³²,26,2,75,12,130,11
»çÀÚÆÈ¶óµò_¿©,26,2,75,12,130,11
»óÀÎ_³²,26,3,69,12,130,16
»óÀÎ_¿©,26,3,69,12,130,16
»óÀÎ¸äµÅÁö_³²,26,3,69,12,130,16
»óÀÎ¸äµÅÁö_¿©,26,3,69,12,130,16
¼ºÁ¦_³²,35,2,112,38,48,21
¼ºÁ¦_³²_Å»°Í,36,2,118,31,48,21
¼ºÁ¦_¿©,36,2,118,31,48,21
¼ºÁ¦_¿©_Å»°Í,36,2,118,31,48,21
¼ºÁ¦À¶ÇÕ_³²,36,2,118,31,48,21
¼ºÁ¦À¶ÇÕ_¿©,36,2,118,31,48,21
¼ºÁ÷ÀÚ_³²,26,3,69,12,130,16
¼ºÁ÷ÀÚ_¿©,27,0,75,17,130,7
¼ºÅõ»ç2_³²,25,6,29,36,130,30
¼ºÅõ»ç2_¿©,25,6,29,36,130,30
¼ºÅõ»ç_³²,25,6,29,36,130,30
¼ºÅõ»ç_¿©,25,6,29,36,130,30
¼¼ÀÌÁö_³²,26,2,80,11,129,8
¼¼ÀÌÁö_¿©,27,2,81,9,129,8
¼Ò¼­·¯_³²,26,3,64,19,129,15
¼Ò¼­·¯_¿©,26,3,59,21,129,18
¼Ò¿ï¸®ÆÛ_³²,35,1,131,23,49,17
¼Ò¿ï¸®ÆÛ_¿©,35,2,125,23,49,22
¼Ò¿ï¸µÄ¿_³²,25,3,69,18,129,12
¼Ò¿ï¸µÄ¿_¿©,27,3,75,9,130,12
½¦µµ¿ìÃ¼ÀÌ¼­_³²,24,3,46,36,129,18
½¦µµ¿ìÃ¼ÀÌ¼­_¿©,25,3,52,29,129,18
½´¶ó_³²,28,4,64,22,115,23
½´¶ó_¿©,27,3,70,22,115,19
½´¶ó¾ËÆÄÄ«_³²,28,4,64,22,115,23
½´¶ó¾ËÆÄÄ«_¿©,27,3,70,22,115,19
½´ÆÛ³ëºñ½º_³²,25,3,57,25,130,16
½´ÆÛ³ëºñ½º_¿©,25,3,57,25,130,16
½´ÆÛ³ëºñ½ºÆ÷¸µ_³²,25,3,57,25,130,16
½´ÆÛ³ëºñ½ºÆ÷¸µ_¿©,25,3,57,25,130,16
½º³ªÀÌÆÛ_³²,27,4,70,10,129,16
½º³ªÀÌÆÛ_¿©,27,2,81,10,129,7
½ºÅäÄ¿_³²,26,2,75,12,130,11
½ºÅäÄ¿_¿©,26,2,75,12,130,11
½ÅÆäÄÚÅ©·ç¼¼ÀÌ´õ_³²,26,2,75,12,130,11
½ÅÆäÄÚÅ©·ç¼¼ÀÌ´õ_¿©,26,2,75,12,130,11
¾ÆÅ©ºñ¼ó_³²,26,3,51,28,129,19
¾ÆÅ©ºñ¼ó_¿©,27,2,75,12,129,11
¾ÆÅ©ºñ¼ó¾ËÆÄÄ«_³²,26,3,51,28,129,19
¾ÆÅ©ºñ¼ó¾ËÆÄÄ«_¿©,27,2,75,12,129,11
¾î»õ½Å_³²,25,6,30,36,129,30
¾î¼¼½Å_³²,27,2,76,10,130,11
¾î¼¼½Å_¿©,27,2,75,11,130,11
¾î¼¼½ÅÅ©·Î½º_³²,27,2,76,10,130,11
¾î¼¼½ÅÅ©·Î½º_¿©,27,2,75,11,130,11
¿©¿ì¸¶¹ý»ç_³²,27,4,69,10,129,17
¿©¿ì¸¶¹ý»ç_¿©,26,4,64,12,130,20
¿©¿ì¼¼ÀÌÁö_³²,26,2,80,11,129,8
¿©¿ì¼¼ÀÌÁö_¿©,27,2,81,9,129,8
¿©¿ì¼Ò¼­·¯_³²,26,3,64,19,129,15
¿©¿ì¼Ò¼­·¯_¿©,26,3,59,21,129,18
¿©¿ì¿ö·Ï_³²,27,3,78,18,117,13
¿©¿ì¿ö·Ï_¿©,27,2,86,23,110,8
¿©¿ìÀ§Àúµå_³²,26,2,80,11,129,8
¿©¿ìÀ§Àúµå_¿©,27,2,81,9,129,8
¿©¿ìÇÁ·ÎÆä¼­_³²,26,2,80,11,129,8
¿©¿ìÇÁ·ÎÆä¼­_¿©,27,2,81,9,129,8
¿©¿ìÇÏÀÌÀ§Àúµå_³²,26,2,80,11,129,8
¿©¿ìÇÏÀÌÀ§Àúµå_¿©,27,2,81,9,129,8
¿¬±Ý¼ú»ç_³²,27,2,75,11,130,11
¿¬±Ý¼ú»ç_¿©,27,0,81,11,130,7
¿¬±Ý¼ú»ç¸äµÅÁö_³²,27,2,75,11,130,11
¿¬±Ý¼ú»ç¸äµÅÁö_¿©,27,0,81,11,130,7
¿ïÇÁ·¹ÀÎÀú_³²,25,3,63,26,128,11
¿ïÇÁ·¹ÀÎÀú_¿©,25,1,62,33,127,8
¿ö·Ï_³²,27,3,78,18,117,13
¿ö·Ï_¿©,27,2,86,23,110,8
¿ø´õ·¯_³²,23,7,35,35,130,26
¿ø´õ·¯_¿©,27,4,70,10,129,16
À§Àúµå_³²,26,2,80,11,129,8
À§Àúµå_¿©,27,2,81,9,129,8
Á¦³×¸¯_³²,26,3,63,15,130,19
Á¦³×¸¯_¿©,27,4,58,18,129,20
Á¦³×¸¯¸äµÅÁö_³²,26,3,63,15,130,19
Á¦³×¸¯¸äµÅÁö_¿©,27,4,58,18,129,20
Á¦Ã¶°ø_³²,27,2,75,11,130,11
Á¦Ã¶°ø_¿©,27,0,81,11,130,7
Á¦Ã¶°ø¸äµÅÁö_³²,27,2,75,11,130,11
Á¦Ã¶°ø¸äµÅÁö_¿©,27,0,81,11,130,7
Áý½Ã_¿©,27,2,81,10,129,7
Ã¨ÇÇ¿Â_³²,27,3,70,11,130,15
Ã¨ÇÇ¿Â_¿©,27,0,87,10,129,3
Ã¨ÇÇ¿Â¾ËÆÄÄ«_³²,27,3,70,11,130,15
Ã¨ÇÇ¿Â¾ËÆÄÄ«_¿©,27,0,87,10,129,3
ÃÊº¸ÀÚ_³²,26,2,69,19,129,11
ÃÊº¸ÀÚ_¿©,26,2,69,19,129,11
ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º_³²,26,4,47,28,128,23
ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º_¿©,26,4,46,28,129,23
ÄÌº£·Î½ºµµµÏ_³²,27,4,64,11,130,20
ÄÌº£·Î½ºµµµÏ_¿©,27,3,69,11,130,16
ÄÌº£·Î½º·Î±×_³²,27,2,76,10,130,11
ÄÌº£·Î½º·Î±×_¿©,27,2,75,11,130,11
ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­_³²,24,3,46,36,129,18
ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­_¿©,25,3,52,29,129,18
ÄÌº£·Î½º½ºÅäÄ¿_³²,26,2,75,12,130,11
ÄÌº£·Î½º½ºÅäÄ¿_¿©,26,2,75,12,130,11
Å©¶ó¿î_³²,27,4,70,10,129,16
Å©·ç_³²,26,2,75,12,130,11
Å©·ç_¿©,26,2,75,12,130,11
Å©¸®¿¡ÀÌÅÍ_³²,27,2,75,11,130,11
Å©¸®¿¡ÀÌÅÍ_¿©,27,0,81,11,130,7
Å©¸®¿¡ÀÌÅÍ¸äµÅÁö_³²,27,2,75,11,130,11
Å©¸®¿¡ÀÌÅÍ¸äµÅÁö_¿©,27,0,81,11,130,7
Å¸Á¶±Ã¼ö_³²,27,3,75,10,129,12
Å¸Á¶±Ã¼ö_¿©,27,3,75,10,129,12
Å¸Á¶·¹ÀÎÁ®_³²,23,2,68,26,129,8
