"Dest","Source","Copied","Styles","Pack"
"lion_paladin_male","ÆÈ¶óµò_³²","20","1..20","PreRenew"
"lord_knight_female","·Îµå³ªÀÌÆ®_¿©","20","1..20","PreRenew"
"lord_knight_male","·Îµå³ªÀÌÆ®_³²","20","1..20","PreRenew"
"merchant_female","»óÀÎ_¿©","20","1..20","PreRenew"
"merchant_female_riding","»óÀÎ_¿©","20","1..20","PreRenew"
"merchant_male","»óÀÎ_³²","20","1..20","PreRenew"
"merchant_male_riding","»óÀÎ_³²","20","1..20","PreRenew"
"monk_female","¸ùÅ©_¿©","20","1..20","PreRenew"
"monk_female_riding","¸ùÅ©_¿©","20","1..20","PreRenew"
"monk_male","¸ùÅ©_³²","20","1..20","PreRenew"
"monk_male_riding","¸ùÅ©_³²","20","1..20","PreRenew"
"ostrich_archer_female","±Ã¼ö_¿©","20","1..20","PreRenew"
"ostrich_archer_male","±Ã¼ö_³²","20","1..20","PreRenew"
"ostrich_bard_female","¹«Èñ_¿©","20","1..20","PreRenew"
"ostrich_bard_male","¹Ùµå_³²","20","1..20","PreRenew"
"ostrich_clown_male","Å©¶ó¿î_³²","20","1..20","PreRenew"
"ostrich_dancer_female","¹«Èñ_¿©","20","1..20","PreRenew"
"ostrich_dancer_male","¹Ùµå_³²","20","1..20","PreRenew"
"ostrich_hunter_female","ÇåÅÍ_¿©","20","1..20","PreRenew"
"ostrich_hunter_male","ÇåÅÍ_³²","20","1..20","PreRenew"
"ostrich_sniper_female","½º³ªÀÌÆÛ_¿©","20","1..20","PreRenew"
"ostrich_sniper_male","½º³ªÀÌÆÛ_³²","20","1..20","PreRenew"
"paladin_female","ÆÈ¶óµò_¿©","20","1..20","PreRenew"
"paladin_male","ÆÈ¶óµò_³²","20","1..20","PreRenew"
"peco_paladin_female","ÆäÄÚÆÈ¶ó_¿©","20","1..20","PreRenew"
"peco_paladin_male","ÆäÄÚÆÈ¶ó_³²","20","1..20","PreRenew"
"peco_swordman_female","°Ë»ç_¿©","20","1..20","PreRenew"
"peco_swordman_male","°Ë»ç_³²","20","1..20","PreRenew"
"priest_female","ÇÁ¸®½ºÆ®_¿©","20","1..20","PreRenew"
"priest_female_riding","ÇÁ¸®½ºÆ®_¿©","20","1..20","PreRenew"
"priest_male","ÇÁ¸®½ºÆ®_³²","20","1..20","PreRenew"
"priest_male_riding","ÇÁ¸®½ºÆ®_³²","20","1..20","PreRenew"
"professor_female","ÇÁ·ÎÆä¼­_¿©","20","1..20","PreRenew"
"professor_male","ÇÁ·ÎÆä¼­_³²","20","1..20","PreRenew"
"rogue_female","·Î±×_¿©","20","1..20","PreRenew"
"rogue_male","·Î±×_³²","20","1..20","PreRenew"
"sage_female","¼¼ÀÌÁö_¿©","20","1..20","PreRenew"
"sage_male","¼¼ÀÌÁö_³²","20","1..20","PreRenew"
"sniper_female","½º³ªÀÌÆÛ_¿©","20","1..20","PreRenew"
"sniper_male","½º³ªÀÌÆÛ_³²","20","1..20","PreRenew"
"stalker_female","½ºÅäÄ¿_¿©","20","1..20","PreRenew"
"stalker_male","½ºÅäÄ¿_³²","20","1..20","PreRenew"
"super_novice_female","½´ÆÛ³ëºñ½º_¿©","20","1..20","PreRenew"
"super_novice_female_riding","½´ÆÛ³ëºñ½º_¿©","20","1..20","PreRenew"
"super_novice_male","½´ÆÛ³ëºñ½º_³²","20","1..20","PreRenew"
"super_novice_male_riding","½´ÆÛ³ëºñ½º_³²","20","1..20","PreRenew"
"swordman_female","°Ë»ç_¿©","20","1..20","PreRenew"
"swordman_male","°Ë»ç_³²","20","1..20","PreRenew"
"thief_female","µµµÏ_¿©","20","1..20","PreRenew"
"thief_male","µµµÏ_³²","20","1..20","PreRenew"
"trans_high_wizard_female","ÇÏÀÌÀ§Àúµå_¿©","20","1..20","PreRenew"
"trans_high_wizard_male","ÇÏÀÌÀ§Àúµå_³²","20","1..20","PreRenew"
"trans_professor_female","ÇÁ·ÎÆä¼­_¿©","20","1..20","PreRenew"
"trans_professor_male","ÇÁ·ÎÆä¼­_³²","20","1..20","PreRenew"
"trans_sage_female","¼¼ÀÌÁö_¿©","20","1..20","PreRenew"
"trans_sage_male","¼¼ÀÌÁö_³²","20","1..20","PreRenew"
"trans_wizard_female","À§Àúµå_¿©","20","1..20","PreRenew"
"trans_wizard_male","À§Àúµå_³²","20","1..20","PreRenew"
"whitesmith_female","È­ÀÌÆ®½º¹Ì½º_¿©","20","1..20","PreRenew"
"whitesmith_female_riding","È­ÀÌÆ®½º¹Ì½º_¿©","20","1..20","PreRenew"
"whitesmith_male","È­ÀÌÆ®½º¹Ì½º_³²","20","1..20","PreRenew"
"whitesmith_male_riding","È­ÀÌÆ®½º¹Ì½º_³²","20","1..20","PreRenew"
"wizard_female","À§Àúµå_¿©","20","1..20","PreRenew"
"wizard_male","À§Àúµå_³²","20","1..20","PreRenew"
"new_peco_crusader_female","ÆÈ¶óµò_¿©","20","1..20","PreRenew"
"new_peco_crusader_male","ÆÈ¶óµò_³²","20","1..20","PreRenew"
