"Legacy","Canonical","Colors"
"ÆäÄÚÆÈ¶ó_¿©","peco_paladin_female","0..699"
"ÆäÄÚÆÈ¶ó_³²","peco_paladin_male","0..699"
"ÆäÄÚÆÈ¶óµò_¿©","peco_paladin_female","0..699"
"ÆäÄÚÆÈ¶óµò_³²","peco_paladin_male","0..699"
"ÆÈ¶óµò_¿©","paladin_female","0..699"
"ÆÈ¶óµò_³²","paladin_male","0..699"
"ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º_¿©","dog_guillotine_cross_female","0..699"
"ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º_³²","dog_guillotine_cross_male","0..699"
"ÄÌº£·Î½ºµµµÏ_¿©","dog_thief_female","0..699"
"ÄÌº£·Î½ºµµµÏ_³²","dog_thief_male","0..699"
"ÄÌº£·Î½º·Î±×_¿©","dog_rogue_female","0..699"
"ÄÌº£·Î½º·Î±×_³²","dog_rogue_male","0..699"
"ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­_¿©","dog_shadow_chaser_female","0..699"
"ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­_³²","dog_shadow_chaser_male","0..699"
"ÄÌº£·Î½º½ºÅäÄ¿_¿©","dog_stalker_female","0..699"
"ÄÌº£·Î½º½ºÅäÄ¿_³²","dog_stalker_male","0..699"
"arch_mage_¿©","arch_mage_female","0..699"
"arch_mage_³²","arch_mage_male","0..699"
"arch_mage_riding_¿©","arch_mage_female_riding","0..699"
"arch_mage_riding_³²","arch_mage_male_riding","0..699"
"biolo_¿©","biolo_female","0..699"
"biolo_³²","biolo_male","0..699"
"biolo_riding_¿©","biolo_female_riding","0..699"
"biolo_riding_³²","biolo_male_riding","0..699"
"ÇÁ¸®½ºÆ®_¿©","priest_female","0..699"
"ÇÁ¸®½ºÆ®_³²","priest_male","0..699"
"ÇÁ¸®½ºÆ®¾ËÆÄÄ«_¿©","priest_female_riding","0..699"
"ÇÁ¸®½ºÆ®¾ËÆÄÄ«_³²","priest_male_riding","0..699"
"ÇÁ·ÎÆä¼­_¿©","professor_female","0..699"
"ÇÁ·ÎÆä¼­_³²","professor_male","0..699"
"ÇåÅÍ_¿©","hunter_female","0..699"
"ÇåÅÍ_³²","hunter_male","0..699"
"cardinal_¿©","cardinal_female","0..699"
"cardinal_³²","cardinal_male","0..699"
"cardinal_riding_¿©","cardinal_female_riding","0..699"
"cardinal_riding_³²","cardinal_male_riding","0..699"
"ÇÏÀÌÀ§Àúµå_¿©","high_wizard_female","0..699"
"ÇÏÀÌÀ§Àúµå_³²","high_wizard_male","0..699"
"ÇÏÀÌÇÁ¸®½ºÆ®_¿©","high_priest_female","0..699"
"ÇÏÀÌÇÁ¸®½ºÆ®_³²","high_priest_male","0..699"
"ÇÏÀÌÇÁ¸®½ºÆ®¾ËÆÄÄ«_¿©","high_priest_female_riding","0..699"
"ÇÏÀÌÇÁ¸®½ºÆ®¾ËÆÄÄ«_³²","high_priest_male_riding","0..699"
"dragon_knight_¿©","dragon_knight_female","0..699"
"dragon_knight_³²","dragon_knight_male","0..699"
"dragon_knight_chicken_¿©","dragon_knight_female_riding","0..699"
"dragon_knight_chicken_³²","dragon_knight_male_riding","0..699"
"dragon_knight_riding_¿©","dragon_knight_female_riding","0..699"
"dragon_knight_riding_³²","dragon_knight_male_riding","0..699"
"È­ÀÌÆ®½º¹Ì½º_¿©","whitesmith_female","0..699"
"È­ÀÌÆ®½º¹Ì½º_³²","whitesmith_male","0..699"
"È­ÀÌÆ®½º¹Ì½º¸äµÅÁö_¿©","whitesmith_female_riding","0..699"
"È­ÀÌÆ®½º¹Ì½º¸äµÅÁö_³²","whitesmith_male_riding","0..699"
"elemetal_master_¿©","elemetal_master_female","0..699"
"elemetal_master_³²","elemetal_master_male","0..699"
"elemetal_master_riding_¿©","elemetal_master_female_riding","0..699"
"elemetal_master_riding_³²","elemetal_master_male_riding","0..699"
"frog_kagerou_³²","frog_kagerou_male","0..699"
"frog_oboro_¿©","frog_oboro_female","0..699"
"hyper_novice_¿©","hyper_novice_female","0..699"
"hyper_novice_³²","hyper_novice_male","0..699"
"hyper_novice_riding_¿©","hyper_novice_female_riding","0..699"
"hyper_novice_riding_³²","hyper_novice_male_riding","0..699"
"imperial_guard_¿©","imperial_guard_female","0..699"
"imperial_guard_³²","imperial_guard_male","0..699"
"imperial_guard_chicken_¿©","imperial_guard_female_riding","0..699"
"imperial_guard_chicken_³²","imperial_guard_male_riding","0..699"
"imperial_guard_riding_¿©","imperial_guard_female_riding","0..699"
"imperial_guard_riding_³²","imperial_guard_male_riding","0..699"
"inquisitor_¿©","inquisitor_female","0..699"
"inquisitor_³²","inquisitor_male","0..699"
"inquisitor_riding_¿©","inquisitor_female_riding","0..699"
"inquisitor_riding_³²","inquisitor_male_riding","0..699"
"kagerou_³²","kagerou_male","0..699"
"meister_¿©","meister_female","0..699"
"meister_³²","meister_male","0..699"
"meister_madogear1_¿©","meister_female_madogear1","0..699"
"meister_madogear1_³²","meister_male_madogear1","0..699"
"meister_madogear2_¿©","meister_female_madogear2","0..699"
"meister_madogear2_³²","meister_male_madogear2","0..699"
"meister_riding_¿©","meister_female_riding","0..699"
"meister_riding_³²","meister_male_riding","0..699"
"night_watch_¿©","night_watch_female","0..699"
"night_watch_³²","night_watch_male","0..699"
"night_watch_riding_¿©","night_watch_female_riding","0..699"
"night_watch_riding_³²","night_watch_male_riding","0..699"
"oboro_¿©","oboro_female","0..699"
"shadow_cross_¿©","shadow_cross_female","0..699"
"shadow_cross_³²","shadow_cross_male","0..699"
"shadow_cross_riding_¿©","shadow_cross_female_riding","0..699"
"shadow_cross_riding_³²","shadow_cross_male_riding","0..699"
"shinkiro_³²","shinkiro_male","0..699"
"shinkiro_riding_³²","shinkiro_male_riding","0..699"
"shiranui_¿©","shiranui_female","0..699"
"shiranui_riding_¿©","shiranui_female_riding","0..699"
"sky_emperor_¿©","sky_emperor_female","0..699"
"sky_emperor_³²","sky_emperor_male","0..699"
"sky_emperor_riding_¿©","sky_emperor_female_riding","0..699"
"sky_emperor_riding_³²","sky_emperor_male_riding","0..699"
"sky_emperor2_¿©","sky_emperor_female_riding","0..699"
"sky_emperor2_³²","sky_emperor_male_riding","0..699"
"soul_ascetic_¿©","soul_ascetic_female","0..699"
"soul_ascetic_³²","soul_ascetic_male","0..699"
"soul_ascetic_riding_¿©","soul_ascetic_female_riding","0..699"
"soul_ascetic_riding_³²","soul_ascetic_male_riding","0..699"
"troubadour_³²","troubadour_male","0..699"
"troubadour_riding_³²","troubadour_male_riding","0..699"
"trouvere_¿©","trouvere_female","0..699"
"trouvere_riding_¿©","trouvere_female_riding","0..699"
"windhawk_¿©","windhawk_female","0..699"
"windhawk_³²","windhawk_male","0..699"
"windhawk_riding_¿©","windhawk_female_riding","0..699"
"windhawk_riding_³²","windhawk_male_riding","0..699"
"wolf_windhawk_¿©","wolf_windhawk_female","0..699"
"wolf_windhawk_³²","wolf_windhawk_male","0..699"
