Base,MainIndices,Colors,Mode
biolo_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
biolo_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
biolo_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
biolo_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
biolo_riding_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
biolo_riding_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
biolo_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
biolo_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
cardinal_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
cardinal_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
cardinal_legacy_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
cardinal_legacy_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
cardinal_legacy_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
cardinal_legacy_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
cardinal_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
cardinal_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
cardinal_riding_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
cardinal_riding_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
cardinal_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
cardinal_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
cart_summoner_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
cart_summoner_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
cartsummoner_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
cartsummoner_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
champion_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
champion_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
champion_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
champion_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
clown_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
creator_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
creator_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
creator_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
creator_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
crusader_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
crusader_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dancer_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dancer_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dancer_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dog_guillotine_cross_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dog_guillotine_cross_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dog_rogue_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dog_rogue_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dog_shadow_chaser_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dog_shadow_chaser_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dog_stalker_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dog_stalker_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dog_thief_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dog_thief_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dragon_knight_chicken_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dragon_knight_chicken_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dragon_knight_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dragon_knight_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dragon_knight_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dragon_knight_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dragon_knight_riding_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dragon_knight_riding_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dragon_knight_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
dragon_knight_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
elemental_master_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
elemental_master_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
elemetal_master_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
elemetal_master_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
elemetal_master_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
elemetal_master_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
elemetal_master_riding_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
elemetal_master_riding_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
elemetal_master_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
elemetal_master_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
frog_kagerou_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
frog_kagerou_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
frog_ninja_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
frog_ninja_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
frog_oboro_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
frog_oboro_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
frog_soul_linker_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
frog_soul_linker_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
genetic_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
genetic_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
genetic_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
genetic_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
guillotine_cross_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
guillotine_cross_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
gunslinger_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
gunslinger_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
high_priest_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
high_priest_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
high_priest_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
high_priest_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
high_wizard_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
high_wizard_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
hunter_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
hunter_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
hyper_novice_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
hyper_novice_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
hyper_novice_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
hyper_novice_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
hyper_novice_riding_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
hyper_novice_riding_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
hyper_novice_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
hyper_novice_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
imperial_guard_chicken_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
imperial_guard_chicken_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
imperial_guard_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
imperial_guard_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
imperial_guard_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
imperial_guard_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
imperial_guard_riding_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
imperial_guard_riding_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
imperial_guard_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
imperial_guard_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
inquisitor_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
inquisitor_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
inquisitor_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
inquisitor_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
inquisitor_riding_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
inquisitor_riding_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
inquisitor_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
inquisitor_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
kagerou_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
kagerou_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
knight_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
knight_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
lion_crusader_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
lion_crusader_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
lion_knight_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
lion_knight_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
lion_lord_knight_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
lion_lord_knight_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
lion_paladin_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
lion_paladin_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
lion_royal_guard_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
lion_royal_guard_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
lion_rune_knight_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
lion_rune_knight_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
lord_knight_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
lord_knight_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
magician_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
magician_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
mechanic_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
mechanic_female_madogear,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
mechanic_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
mechanic_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
mechanic_male_madogear,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
mechanic_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
meister_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
meister_female_madogear1,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
meister_female_madogear2,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
meister_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
meister_madogear1_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
meister_madogear1_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
meister_madogear2_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
meister_madogear2_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
meister_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
meister_male_madogear1,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
meister_male_madogear2,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
meister_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
meister_riding_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
meister_riding_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
meister_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
meister_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
merchant_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
merchant_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
merchant_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
merchant_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
minstrel_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
monk_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
monk_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
monk_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
monk_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
new_peco_crusader_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
new_peco_crusader_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
night_watch_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
night_watch_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
night_watch_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
night_watch_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
night_watch_riding_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
night_watch_riding_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
night_watch_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
night_watch_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
ninja_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
ninja_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
oboro_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
oboro_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
ostrich_archer_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
ostrich_archer_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
ostrich_bard_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
ostrich_bard_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
ostrich_clown_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
ostrich_dancer_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
ostrich_dancer_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
ostrich_hunter_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
ostrich_hunter_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
ostrich_minstrel_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
ostrich_sniper_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
ostrich_sniper_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
ostrich_wanderer_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
paladin_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
paladin_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
peco_gunslinger_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
peco_gunslinger_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
peco_paladin_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
peco_paladin_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
peco_swordman_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
peco_swordman_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
priest_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
priest_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
priest_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
priest_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
professor_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
professor_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
rebellion_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
rebellion_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
rebellion_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
rebellion_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
rogue_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
rogue_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
royal_guard_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
royal_guard_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
rune_knight_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
rune_knight_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
rune_knight_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
rune_knight_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sage_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sage_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shadow_chaser_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shadow_chaser_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shadow_cross_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shadow_cross_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shadow_cross_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shadow_cross_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shadow_cross_riding_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shadow_cross_riding_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shadow_cross_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shadow_cross_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shinkiro_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shinkiro_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shinkiro_riding_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shinkiro_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shiranui_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shiranui_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shiranui_riding_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
shiranui_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sky_emperor2_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sky_emperor2_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sky_emperor_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sky_emperor_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sky_emperor_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sky_emperor_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sky_emperor_riding_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sky_emperor_riding_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sky_emperor_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sky_emperor_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sniper_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sniper_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sorcerer_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sorcerer_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
soul_ascetic_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
soul_ascetic_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
soul_ascetic_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
soul_ascetic_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
soul_ascetic_riding_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
soul_ascetic_riding_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
soul_ascetic_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
soul_ascetic_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
soul_linker_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
soul_linker_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
stalker_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
stalker_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
summoner_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
summoner_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
summoner_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
summoner_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
summoner_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
summoner_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
super_novice_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
super_novice_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
super_novice_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
super_novice_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sura_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sura_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sura_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
sura_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
swordman_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
swordman_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
taekwon_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
taekwon_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
taekwon_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
taekwon_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
thief_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
thief_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trans_high_wizard_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trans_high_wizard_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trans_magician_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trans_magician_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trans_professor_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trans_professor_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trans_sage_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trans_sage_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trans_sorcerer_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trans_sorcerer_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trans_warlock_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trans_warlock_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trans_wizard_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trans_wizard_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
troubadour_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
troubadour_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
troubadour_riding_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
troubadour_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trouvere_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trouvere_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trouvere_riding_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
trouvere_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
wanderer_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
warlock_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
warlock_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
whitesmith_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
whitesmith_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
whitesmith_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
whitesmith_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
windhawk_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
windhawk_female_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
windhawk_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
windhawk_male_riding,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
windhawk_riding_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
windhawk_riding_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
windhawk_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
windhawk_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
wizard_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
wizard_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
wolf_windhawk_female,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
wolf_windhawk_male,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
wolf_windhawk_³²,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
wolf_windhawk_¿©,"176,177,178,179,180,181,182,183",1..20,main_only_176_183
