"Base","Style","From","R","G","B","ShiftR","ShiftG","ShiftB"
"abyss_chaser_female_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"abyss_chaser_male","10","9","1,15","0,85","0,8","18","-8","-14"
"abyss_chaser_male","11","9","0,82","1,02","1,2","-18","0","24"
"abyss_chaser_male","12","9","0,78","1,18","0,82","-20","22","-18"
"abyss_chaser_male","13","9","1,2","0,92","1,15","22","-4","18"
"abyss_chaser_male","14","9","0,82","1,15","1,16","-20","18","20"
"abyss_chaser_male","15","9","1,18","1,06","0,72","22","12","-28"
"abyss_chaser_male","16","6","1,2","0,76","0,72","28","-18","-22"
"abyss_chaser_male","17","6","0,72","0,96","1,22","-28","-2","30"
"abyss_chaser_male","18","1","0,78","0,88","1,18","-24","-10","28"
"abyss_chaser_male","19","1","1,18","0,82","1,02","26","-16","8"
"abyss_chaser_male","20","1","0,74","1,12","0,92","-26","18","-8"
"abyss_chaser_male_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"abyss_chaser_male_riding","11","9","0,82","1,02","1,2","-18","0","24"
"abyss_chaser_male_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"abyss_chaser_male_riding","13","9","1,2","0,92","1,15","22","-4","18"
"abyss_chaser_male_riding","14","9","0,82","1,15","1,16","-20","18","20"
"abyss_chaser_male_riding","15","9","1,18","1,06","0,72","22","12","-28"
"abyss_chaser_male_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"abyss_chaser_male_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"abyss_chaser_male_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"abyss_chaser_male_riding","19","1","1,18","0,82","1,02","26","-16","8"
"abyss_chaser_male_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"abyss_chaser_riding_³²","10","9","1,15","0,85","0,8","18","-8","-14"
"abyss_chaser_riding_³²","11","9","0,82","1,02","1,2","-18","0","24"
"abyss_chaser_riding_³²","12","9","0,78","1,18","0,82","-20","22","-18"
"abyss_chaser_riding_³²","13","9","1,2","0,92","1,15","22","-4","18"
"abyss_chaser_riding_³²","14","9","0,82","1,15","1,16","-20","18","20"
"abyss_chaser_riding_³²","15","9","1,18","1,06","0,72","22","12","-28"
"abyss_chaser_riding_³²","16","6","1,2","0,76","0,72","28","-18","-22"
"abyss_chaser_riding_³²","17","6","0,72","0,96","1,22","-28","-2","30"
"abyss_chaser_riding_³²","18","1","0,78","0,88","1,18","-24","-10","28"
"abyss_chaser_riding_³²","19","1","1,18","0,82","1,02","26","-16","8"
"abyss_chaser_riding_³²","20","1","0,74","1,12","0,92","-26","18","-8"
"abyss_chaser_riding_¿©","10","9","1,15","0,85","0,8","18","-8","-14"
"abyss_chaser_riding_¿©","11","9","0,82","1,02","1,2","-18","0","24"
"abyss_chaser_riding_¿©","12","9","0,78","1,18","0,82","-20","22","-18"
"abyss_chaser_riding_¿©","13","9","1,2","0,92","1,15","22","-4","18"
"abyss_chaser_riding_¿©","14","9","0,82","1,15","1,16","-20","18","20"
"abyss_chaser_riding_¿©","15","9","1,18","1,06","0,72","22","12","-28"
"abyss_chaser_riding_¿©","16","6","1,2","0,76","0,72","28","-18","-22"
"abyss_chaser_riding_¿©","17","6","0,72","0,96","1,22","-28","-2","30"
"abyss_chaser_riding_¿©","18","1","0,78","0,88","1,18","-24","-10","28"
"abyss_chaser_riding_¿©","19","1","1,18","0,82","1,02","26","-16","8"
"abyss_chaser_riding_¿©","20","1","0,74","1,12","0,92","-26","18","-8"
"abyss_chaser_³²","10","9","1,15","0,85","0,8","18","-8","-14"
"abyss_chaser_³²","11","9","0,82","1,02","1,2","-18","0","24"
"abyss_chaser_³²","12","9","0,78","1,18","0,82","-20","22","-18"
"abyss_chaser_³²","13","9","1,2","0,92","1,15","22","-4","18"
"abyss_chaser_³²","14","9","0,82","1,15","1,16","-20","18","20"
"abyss_chaser_³²","15","9","1,18","1,06","0,72","22","12","-28"
"abyss_chaser_³²","16","6","1,2","0,76","0,72","28","-18","-22"
"abyss_chaser_³²","17","6","0,72","0,96","1,22","-28","-2","30"
"abyss_chaser_³²","18","1","0,78","0,88","1,18","-24","-10","28"
"abyss_chaser_³²","19","1","1,18","0,82","1,02","26","-16","8"
"abyss_chaser_³²","20","1","0,74","1,12","0,92","-26","18","-8"
"abyss_chaser_¿©","10","9","1,15","0,85","0,8","18","-8","-14"
"abyss_chaser_¿©","11","9","0,82","1,02","1,2","-18","0","24"
"abyss_chaser_¿©","12","9","0,78","1,18","0,82","-20","22","-18"
"abyss_chaser_¿©","13","9","1,2","0,92","1,15","22","-4","18"
"abyss_chaser_¿©","14","9","0,82","1,15","1,16","-20","18","20"
"abyss_chaser_¿©","15","9","1,18","1,06","0,72","22","12","-28"
"abyss_chaser_¿©","16","6","1,2","0,76","0,72","28","-18","-22"
"abyss_chaser_¿©","17","6","0,72","0,96","1,22","-28","-2","30"
"abyss_chaser_¿©","18","1","0,78","0,88","1,18","-24","-10","28"
"abyss_chaser_¿©","19","1","1,18","0,82","1,02","26","-16","8"
"abyss_chaser_¿©","20","1","0,74","1,12","0,92","-26","18","-8"
"alchemist_female","10","9","1,15","0,85","0,8","18","-8","-14"
"alchemist_female","11","9","0,82","1,02","1,2","-18","0","24"
"alchemist_female","12","9","0,78","1,18","0,82","-20","22","-18"
"alchemist_female","13","9","1,2","0,92","1,15","22","-4","18"
"alchemist_female","14","9","0,82","1,15","1,16","-20","18","20"
"alchemist_female","15","9","1,18","1,06","0,72","22","12","-28"
"alchemist_female","16","6","1,2","0,76","0,72","28","-18","-22"
"alchemist_female","17","6","0,72","0,96","1,22","-28","-2","30"
"alchemist_female","18","1","0,78","0,88","1,18","-24","-10","28"
"alchemist_female","19","1","1,18","0,82","1,02","26","-16","8"
"alchemist_female","20","1","0,74","1,12","0,92","-26","18","-8"
"alchemist_female_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"alchemist_female_riding","11","9","0,82","1,02","1,2","-18","0","24"
"alchemist_female_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"alchemist_female_riding","13","9","1,2","0,92","1,15","22","-4","18"
"alchemist_female_riding","14","9","0,82","1,15","1,16","-20","18","20"
"alchemist_female_riding","15","9","1,18","1,06","0,72","22","12","-28"
"alchemist_female_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"alchemist_female_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"alchemist_female_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"alchemist_female_riding","19","1","1,18","0,82","1,02","26","-16","8"
"alchemist_female_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"alchemist_male","10","9","1,15","0,85","0,8","18","-8","-14"
"alchemist_male","11","9","0,82","1,02","1,2","-18","0","24"
"alchemist_male","12","9","0,78","1,18","0,82","-20","22","-18"
"alchemist_male","13","9","1,2","0,92","1,15","22","-4","18"
"alchemist_male","14","9","0,82","1,15","1,16","-20","18","20"
"alchemist_male","15","9","1,18","1,06","0,72","22","12","-28"
"alchemist_male","16","6","1,2","0,76","0,72","28","-18","-22"
"alchemist_male","17","6","0,72","0,96","1,22","-28","-2","30"
"alchemist_male","18","1","0,78","0,88","1,18","-24","-10","28"
"alchemist_male","19","1","1,18","0,82","1,02","26","-16","8"
"alchemist_male","20","1","0,74","1,12","0,92","-26","18","-8"
"alchemist_male_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"alchemist_male_riding","11","9","0,82","1,02","1,2","-18","0","24"
"alchemist_male_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"alchemist_male_riding","13","9","1,2","0,92","1,15","22","-4","18"
"alchemist_male_riding","14","9","0,82","1,15","1,16","-20","18","20"
"alchemist_male_riding","15","9","1,18","1,06","0,72","22","12","-28"
"alchemist_male_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"alchemist_male_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"alchemist_male_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"alchemist_male_riding","19","1","1,18","0,82","1,02","26","-16","8"
"alchemist_male_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"archer_female","10","9","1,15","0,85","0,8","18","-8","-14"
"archer_female","11","9","0,82","1,02","1,2","-18","0","24"
"archer_female","12","9","0,78","1,18","0,82","-20","22","-18"
"archer_female","13","9","1,2","0,92","1,15","22","-4","18"
"archer_female","14","9","0,82","1,15","1,16","-20","18","20"
"archer_female","15","9","1,18","1,06","0,72","22","12","-28"
"archer_female","16","6","1,2","0,76","0,72","28","-18","-22"
"archer_female","17","6","0,72","0,96","1,22","-28","-2","30"
"archer_female","18","1","0,78","0,88","1,18","-24","-10","28"
"archer_female","19","1","1,18","0,82","1,02","26","-16","8"
"archer_female","20","1","0,74","1,12","0,92","-26","18","-8"
"archer_male","10","9","1,15","0,85","0,8","18","-8","-14"
"archer_male","11","9","0,82","1,02","1,2","-18","0","24"
"archer_male","12","9","0,78","1,18","0,82","-20","22","-18"
"archer_male","13","9","1,2","0,92","1,15","22","-4","18"
"archer_male","14","9","0,82","1,15","1,16","-20","18","20"
"archer_male","15","9","1,18","1,06","0,72","22","12","-28"
"archer_male","16","6","1,2","0,76","0,72","28","-18","-22"
"archer_male","17","6","0,72","0,96","1,22","-28","-2","30"
"archer_male","18","1","0,78","0,88","1,18","-24","-10","28"
"archer_male","19","1","1,18","0,82","1,02","26","-16","8"
"archer_male","20","1","0,74","1,12","0,92","-26","18","-8"
"arch_bishop_female","10","9","1,15","0,85","0,8","18","-8","-14"
"arch_bishop_female","11","9","0,82","1,02","1,2","-18","0","24"
"arch_bishop_female","12","9","0,78","1,18","0,82","-20","22","-18"
"arch_bishop_female","13","9","1,2","0,92","1,15","22","-4","18"
"arch_bishop_female","14","9","0,82","1,15","1,16","-20","18","20"
"arch_bishop_female","15","9","1,18","1,06","0,72","22","12","-28"
"arch_bishop_female","16","6","1,2","0,76","0,72","28","-18","-22"
"arch_bishop_female","17","6","0,72","0,96","1,22","-28","-2","30"
"arch_bishop_female","18","1","0,78","0,88","1,18","-24","-10","28"
"arch_bishop_female","19","1","1,18","0,82","1,02","26","-16","8"
"arch_bishop_female","20","1","0,74","1,12","0,92","-26","18","-8"
"arch_bishop_female_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"arch_bishop_female_riding","11","9","0,82","1,02","1,2","-18","0","24"
"arch_bishop_female_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"arch_bishop_female_riding","13","9","1,2","0,92","1,15","22","-4","18"
"arch_bishop_female_riding","14","9","0,82","1,15","1,16","-20","18","20"
"arch_bishop_female_riding","15","9","1,18","1,06","0,72","22","12","-28"
"arch_bishop_female_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"arch_bishop_female_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"arch_bishop_female_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"arch_bishop_female_riding","19","1","1,18","0,82","1,02","26","-16","8"
"arch_bishop_female_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"arch_bishop_male","10","9","1,15","0,85","0,8","18","-8","-14"
"arch_bishop_male","11","9","0,82","1,02","1,2","-18","0","24"
"arch_bishop_male","12","9","0,78","1,18","0,82","-20","22","-18"
"arch_bishop_male","13","9","1,2","0,92","1,15","22","-4","18"
"arch_bishop_male","14","9","0,82","1,15","1,16","-20","18","20"
"arch_bishop_male","15","9","1,18","1,06","0,72","22","12","-28"
"arch_bishop_male","16","6","1,2","0,76","0,72","28","-18","-22"
"arch_bishop_male","17","6","0,72","0,96","1,22","-28","-2","30"
"arch_bishop_male","18","1","0,78","0,88","1,18","-24","-10","28"
"arch_bishop_male","19","1","1,18","0,82","1,02","26","-16","8"
"arch_bishop_male","20","1","0,74","1,12","0,92","-26","18","-8"
"arch_bishop_male_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"arch_bishop_male_riding","11","9","0,82","1,02","1,2","-18","0","24"
"arch_bishop_male_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"arch_bishop_male_riding","13","9","1,2","0,92","1,15","22","-4","18"
"arch_bishop_male_riding","14","9","0,82","1,15","1,16","-20","18","20"
"arch_bishop_male_riding","15","9","1,18","1,06","0,72","22","12","-28"
"arch_bishop_male_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"arch_bishop_male_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"arch_bishop_male_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"arch_bishop_male_riding","19","1","1,18","0,82","1,02","26","-16","8"
"arch_bishop_male_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"arch_mage_female","10","9","1,15","0,85","0,8","18","-8","-14"
"arch_mage_female","11","9","0,82","1,02","1,2","-18","0","24"
"arch_mage_female","12","9","0,78","1,18","0,82","-20","22","-18"
"arch_mage_female","13","9","1,2","0,92","1,15","22","-4","18"
"arch_mage_female","14","9","0,82","1,15","1,16","-20","18","20"
"arch_mage_female","15","9","1,18","1,06","0,72","22","12","-28"
"arch_mage_female","16","6","1,2","0,76","0,72","28","-18","-22"
"arch_mage_female","17","6","0,72","0,96","1,22","-28","-2","30"
"arch_mage_female","18","1","0,78","0,88","1,18","-24","-10","28"
"arch_mage_female","19","1","1,18","0,82","1,02","26","-16","8"
"arch_mage_female","20","1","0,74","1,12","0,92","-26","18","-8"
"arch_mage_female_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"arch_mage_female_riding","11","9","0,82","1,02","1,2","-18","0","24"
"arch_mage_female_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"arch_mage_female_riding","13","9","1,2","0,92","1,15","22","-4","18"
"arch_mage_female_riding","14","9","0,82","1,15","1,16","-20","18","20"
"arch_mage_female_riding","15","9","1,18","1,06","0,72","22","12","-28"
"arch_mage_female_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"arch_mage_female_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"arch_mage_female_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"arch_mage_female_riding","19","1","1,18","0,82","1,02","26","-16","8"
"arch_mage_female_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"arch_mage_male","10","9","1,15","0,85","0,8","18","-8","-14"
"arch_mage_male","11","9","0,82","1,02","1,2","-18","0","24"
"arch_mage_male","12","9","0,78","1,18","0,82","-20","22","-18"
"arch_mage_male","13","9","1,2","0,92","1,15","22","-4","18"
"arch_mage_male","14","9","0,82","1,15","1,16","-20","18","20"
"arch_mage_male","15","9","1,18","1,06","0,72","22","12","-28"
"arch_mage_male","16","6","1,2","0,76","0,72","28","-18","-22"
"arch_mage_male","17","6","0,72","0,96","1,22","-28","-2","30"
"arch_mage_male","18","1","0,78","0,88","1,18","-24","-10","28"
"arch_mage_male","19","1","1,18","0,82","1,02","26","-16","8"
"arch_mage_male","20","1","0,74","1,12","0,92","-26","18","-8"
"arch_mage_male_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"arch_mage_male_riding","11","9","0,82","1,02","1,2","-18","0","24"
"arch_mage_male_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"arch_mage_male_riding","13","9","1,2","0,92","1,15","22","-4","18"
"arch_mage_male_riding","14","9","0,82","1,15","1,16","-20","18","20"
"arch_mage_male_riding","15","9","1,18","1,06","0,72","22","12","-28"
"arch_mage_male_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"arch_mage_male_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"arch_mage_male_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"arch_mage_male_riding","19","1","1,18","0,82","1,02","26","-16","8"
"arch_mage_male_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"arch_mage_riding_³²","10","9","1,15","0,85","0,8","18","-8","-14"
"arch_mage_riding_³²","11","9","0,82","1,02","1,2","-18","0","24"
"arch_mage_riding_³²","12","9","0,78","1,18","0,82","-20","22","-18"
"arch_mage_riding_³²","13","9","1,2","0,92","1,15","22","-4","18"
"arch_mage_riding_³²","14","9","0,82","1,15","1,16","-20","18","20"
"arch_mage_riding_³²","15","9","1,18","1,06","0,72","22","12","-28"
"arch_mage_riding_³²","16","6","1,2","0,76","0,72","28","-18","-22"
"arch_mage_riding_³²","17","6","0,72","0,96","1,22","-28","-2","30"
"arch_mage_riding_³²","18","1","0,78","0,88","1,18","-24","-10","28"
"arch_mage_riding_³²","19","1","1,18","0,82","1,02","26","-16","8"
"arch_mage_riding_³²","20","1","0,74","1,12","0,92","-26","18","-8"
"arch_mage_riding_¿©","10","9","1,15","0,85","0,8","18","-8","-14"
"arch_mage_riding_¿©","11","9","0,82","1,02","1,2","-18","0","24"
"arch_mage_riding_¿©","12","9","0,78","1,18","0,82","-20","22","-18"
"arch_mage_riding_¿©","13","9","1,2","0,92","1,15","22","-4","18"
"arch_mage_riding_¿©","14","9","0,82","1,15","1,16","-20","18","20"
"arch_mage_riding_¿©","15","9","1,18","1,06","0,72","22","12","-28"
"arch_mage_riding_¿©","16","6","1,2","0,76","0,72","28","-18","-22"
"arch_mage_riding_¿©","17","6","0,72","0,96","1,22","-28","-2","30"
"arch_mage_riding_¿©","18","1","0,78","0,88","1,18","-24","-10","28"
"arch_mage_riding_¿©","19","1","1,18","0,82","1,02","26","-16","8"
"arch_mage_riding_¿©","20","1","0,74","1,12","0,92","-26","18","-8"
"arch_mage_³²","10","9","1,15","0,85","0,8","18","-8","-14"
"arch_mage_³²","11","9","0,82","1,02","1,2","-18","0","24"
"arch_mage_³²","12","9","0,78","1,18","0,82","-20","22","-18"
"arch_mage_³²","13","9","1,2","0,92","1,15","22","-4","18"
"arch_mage_³²","14","9","0,82","1,15","1,16","-20","18","20"
"arch_mage_³²","15","9","1,18","1,06","0,72","22","12","-28"
"arch_mage_³²","16","6","1,2","0,76","0,72","28","-18","-22"
"arch_mage_³²","17","6","0,72","0,96","1,22","-28","-2","30"
"arch_mage_³²","18","1","0,78","0,88","1,18","-24","-10","28"
"arch_mage_³²","19","1","1,18","0,82","1,02","26","-16","8"
"arch_mage_³²","20","1","0,74","1,12","0,92","-26","18","-8"
"arch_mage_¿©","10","9","1,15","0,85","0,8","18","-8","-14"
"arch_mage_¿©","11","9","0,82","1,02","1,2","-18","0","24"
"arch_mage_¿©","12","9","0,78","1,18","0,82","-20","22","-18"
"arch_mage_¿©","13","9","1,2","0,92","1,15","22","-4","18"
"arch_mage_¿©","14","9","0,82","1,15","1,16","-20","18","20"
"arch_mage_¿©","15","9","1,18","1,06","0,72","22","12","-28"
"arch_mage_¿©","16","6","1,2","0,76","0,72","28","-18","-22"
"arch_mage_¿©","17","6","0,72","0,96","1,22","-28","-2","30"
"arch_mage_¿©","18","1","0,78","0,88","1,18","-24","-10","28"
"arch_mage_¿©","19","1","1,18","0,82","1,02","26","-16","8"
"arch_mage_¿©","20","1","0,74","1,12","0,92","-26","18","-8"
"bard_female","10","9","1,15","0,85","0,8","18","-8","-14"
"bard_female","11","9","0,82","1,02","1,2","-18","0","24"
"bard_female","12","9","0,78","1,18","0,82","-20","22","-18"
"bard_female","13","9","1,2","0,92","1,15","22","-4","18"
"bard_female","14","9","0,82","1,15","1,16","-20","18","20"
"bard_female","15","9","1,18","1,06","0,72","22","12","-28"
"bard_female","16","6","1,2","0,76","0,72","28","-18","-22"
"bard_female","17","6","0,72","0,96","1,22","-28","-2","30"
"bard_female","18","1","0,78","0,88","1,18","-24","-10","28"
"bard_female","19","1","1,18","0,82","1,02","26","-16","8"
"bard_female","20","1","0,74","1,12","0,92","-26","18","-8"
"bard_male","10","9","1,15","0,85","0,8","18","-8","-14"
"bard_male","11","9","0,82","1,02","1,2","-18","0","24"
"bard_male","12","9","0,78","1,18","0,82","-20","22","-18"
"bard_male","13","9","1,2","0,92","1,15","22","-4","18"
"bard_male","14","9","0,82","1,15","1,16","-20","18","20"
"bard_male","15","9","1,18","1,06","0,72","22","12","-28"
"bard_male","16","6","1,2","0,76","0,72","28","-18","-22"
"bard_male","17","6","0,72","0,96","1,22","-28","-2","30"
"bard_male","18","1","0,78","0,88","1,18","-24","-10","28"
"bard_male","19","1","1,18","0,82","1,02","26","-16","8"
"bard_male","20","1","0,74","1,12","0,92","-26","18","-8"
"biolo_female","10","9","1,15","0,85","0,8","18","-8","-14"
"biolo_female","11","9","0,82","1,02","1,2","-18","0","24"
"biolo_female","12","9","0,78","1,18","0,82","-20","22","-18"
"biolo_female","13","9","1,2","0,92","1,15","22","-4","18"
"biolo_female","14","9","0,82","1,15","1,16","-20","18","20"
"biolo_female","15","9","1,18","1,06","0,72","22","12","-28"
"biolo_female","16","6","1,2","0,76","0,72","28","-18","-22"
"biolo_female","17","6","0,72","0,96","1,22","-28","-2","30"
"biolo_female","18","1","0,78","0,88","1,18","-24","-10","28"
"biolo_female","19","1","1,18","0,82","1,02","26","-16","8"
"biolo_female","20","1","0,74","1,12","0,92","-26","18","-8"
"biolo_female_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"biolo_female_riding","11","9","0,82","1,02","1,2","-18","0","24"
"biolo_female_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"biolo_female_riding","13","9","1,2","0,92","1,15","22","-4","18"
"biolo_female_riding","14","9","0,82","1,15","1,16","-20","18","20"
"biolo_female_riding","15","9","1,18","1,06","0,72","22","12","-28"
"biolo_female_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"biolo_female_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"biolo_female_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"biolo_female_riding","19","1","1,18","0,82","1,02","26","-16","8"
"biolo_female_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"biolo_male","10","9","1,15","0,85","0,8","18","-8","-14"
"biolo_male","11","9","0,82","1,02","1,2","-18","0","24"
"biolo_male","12","9","0,78","1,18","0,82","-20","22","-18"
"biolo_male","13","9","1,2","0,92","1,15","22","-4","18"
"biolo_male","14","9","0,82","1,15","1,16","-20","18","20"
"biolo_male","15","9","1,18","1,06","0,72","22","12","-28"
"biolo_male","16","6","1,2","0,76","0,72","28","-18","-22"
"biolo_male","17","6","0,72","0,96","1,22","-28","-2","30"
"biolo_male","18","1","0,78","0,88","1,18","-24","-10","28"
"biolo_male","19","1","1,18","0,82","1,02","26","-16","8"
"biolo_male","20","1","0,74","1,12","0,92","-26","18","-8"
"biolo_male_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"biolo_male_riding","11","9","0,82","1,02","1,2","-18","0","24"
"biolo_male_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"biolo_male_riding","13","9","1,2","0,92","1,15","22","-4","18"
"biolo_male_riding","14","9","0,82","1,15","1,16","-20","18","20"
"biolo_male_riding","15","9","1,18","1,06","0,72","22","12","-28"
"biolo_male_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"biolo_male_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"biolo_male_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"biolo_male_riding","19","1","1,18","0,82","1,02","26","-16","8"
"biolo_male_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"biolo_riding_³²","10","9","1,15","0,85","0,8","18","-8","-14"
"biolo_riding_³²","11","9","0,82","1,02","1,2","-18","0","24"
"biolo_riding_³²","12","9","0,78","1,18","0,82","-20","22","-18"
"biolo_riding_³²","13","9","1,2","0,92","1,15","22","-4","18"
"biolo_riding_³²","14","9","0,82","1,15","1,16","-20","18","20"
"biolo_riding_³²","15","9","1,18","1,06","0,72","22","12","-28"
"biolo_riding_³²","16","6","1,2","0,76","0,72","28","-18","-22"
"biolo_riding_³²","17","6","0,72","0,96","1,22","-28","-2","30"
"biolo_riding_³²","18","1","0,78","0,88","1,18","-24","-10","28"
"biolo_riding_³²","19","1","1,18","0,82","1,02","26","-16","8"
"biolo_riding_³²","20","1","0,74","1,12","0,92","-26","18","-8"
"biolo_riding_¿©","10","9","1,15","0,85","0,8","18","-8","-14"
