"Base","Style","Range","Color","Mode"
"whitesmith_male_riding","16","224..239","255,0,255","index_probe"
"whitesmith_male_riding","17","240..255","255,0,255","index_probe"
"whitesmith_male_riding","18","24..63","0,255,255","index_probe"
"whitesmith_male_riding","19","64..103","255,255,0","index_probe"
"whitesmith_male_riding","20","104..143","0,255,0","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","2","0..15","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","3","16..31","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","4","32..47","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","5","48..63","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","6","64..79","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","7","80..95","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","8","96..111","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","9","112..127","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","10","128..143","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","11","144..159","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","12","160..175","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","13","176..191","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","14","192..207","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","15","208..223","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","16","224..239","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","17","240..255","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","18","24..63","0,255,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","19","64..103","255,255,0","index_probe"
"È­ÀÌÆ®½º¹Ì½º_¿©","20","104..143","0,255,0","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","2","0..15","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","3","16..31","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","4","32..47","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","5","48..63","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","6","64..79","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","7","80..95","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","8","96..111","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","9","112..127","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","10","128..143","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","11","144..159","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","12","160..175","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","13","176..191","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","14","192..207","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","15","208..223","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","16","224..239","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","17","240..255","255,0,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","18","24..63","0,255,255","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","19","64..103","255,255,0","index_probe"
"È­ÀÌÆ®½º¹Ì½º_³²","20","104..143","0,255,0","index_probe"
"merchant_female","2","0..15","255,0,255","index_probe"
"merchant_female","3","16..31","255,0,255","index_probe"
"merchant_female","4","32..47","255,0,255","index_probe"
"merchant_female","5","48..63","255,0,255","index_probe"
"merchant_female","6","64..79","255,0,255","index_probe"
"merchant_female","7","80..95","255,0,255","index_probe"
"merchant_female","8","96..111","255,0,255","index_probe"
"merchant_female","9","112..127","255,0,255","index_probe"
"merchant_female","10","128..143","255,0,255","index_probe"
"merchant_female","11","144..159","255,0,255","index_probe"
"merchant_female","12","160..175","255,0,255","index_probe"
"merchant_female","13","176..191","255,0,255","index_probe"
"merchant_female","14","192..207","255,0,255","index_probe"
"merchant_female","15","208..223","255,0,255","index_probe"
"merchant_female","16","224..239","255,0,255","index_probe"
"merchant_female","17","240..255","255,0,255","index_probe"
"merchant_female","18","24..63","0,255,255","index_probe"
"merchant_female","19","64..103","255,255,0","index_probe"
"merchant_female","20","104..143","0,255,0","index_probe"
"merchant_male","2","0..15","255,0,255","index_probe"
"merchant_male","3","16..31","255,0,255","index_probe"
"merchant_male","4","32..47","255,0,255","index_probe"
"merchant_male","5","48..63","255,0,255","index_probe"
"merchant_male","6","64..79","255,0,255","index_probe"
"merchant_male","7","80..95","255,0,255","index_probe"
"merchant_male","8","96..111","255,0,255","index_probe"
"merchant_male","9","112..127","255,0,255","index_probe"
"merchant_male","10","128..143","255,0,255","index_probe"
"merchant_male","11","144..159","255,0,255","index_probe"
"merchant_male","12","160..175","255,0,255","index_probe"
"merchant_male","13","176..191","255,0,255","index_probe"
"merchant_male","14","192..207","255,0,255","index_probe"
"merchant_male","15","208..223","255,0,255","index_probe"
"merchant_male","16","224..239","255,0,255","index_probe"
"merchant_male","17","240..255","255,0,255","index_probe"
"merchant_male","18","24..63","0,255,255","index_probe"
"merchant_male","19","64..103","255,255,0","index_probe"
"merchant_male","20","104..143","0,255,0","index_probe"
"merchant_female_riding","2","0..15","255,0,255","index_probe"
"merchant_female_riding","3","16..31","255,0,255","index_probe"
"merchant_female_riding","4","32..47","255,0,255","index_probe"
"merchant_female_riding","5","48..63","255,0,255","index_probe"
"merchant_female_riding","6","64..79","255,0,255","index_probe"
"merchant_female_riding","7","80..95","255,0,255","index_probe"
"merchant_female_riding","8","96..111","255,0,255","index_probe"
"merchant_female_riding","9","112..127","255,0,255","index_probe"
"merchant_female_riding","10","128..143","255,0,255","index_probe"
"merchant_female_riding","11","144..159","255,0,255","index_probe"
"merchant_female_riding","12","160..175","255,0,255","index_probe"
"merchant_female_riding","13","176..191","255,0,255","index_probe"
"merchant_female_riding","14","192..207","255,0,255","index_probe"
"merchant_female_riding","15","208..223","255,0,255","index_probe"
"merchant_female_riding","16","224..239","255,0,255","index_probe"
"merchant_female_riding","17","240..255","255,0,255","index_probe"
"merchant_female_riding","18","24..63","0,255,255","index_probe"
"merchant_female_riding","19","64..103","255,255,0","index_probe"
"merchant_female_riding","20","104..143","0,255,0","index_probe"
"merchant_male_riding","2","0..15","255,0,255","index_probe"
"merchant_male_riding","3","16..31","255,0,255","index_probe"
"merchant_male_riding","4","32..47","255,0,255","index_probe"
"merchant_male_riding","5","48..63","255,0,255","index_probe"
"merchant_male_riding","6","64..79","255,0,255","index_probe"
"merchant_male_riding","7","80..95","255,0,255","index_probe"
"merchant_male_riding","8","96..111","255,0,255","index_probe"
"merchant_male_riding","9","112..127","255,0,255","index_probe"
"merchant_male_riding","10","128..143","255,0,255","index_probe"
"merchant_male_riding","11","144..159","255,0,255","index_probe"
"merchant_male_riding","12","160..175","255,0,255","index_probe"
"merchant_male_riding","13","176..191","255,0,255","index_probe"
"merchant_male_riding","14","192..207","255,0,255","index_probe"
"merchant_male_riding","15","208..223","255,0,255","index_probe"
"merchant_male_riding","16","224..239","255,0,255","index_probe"
"merchant_male_riding","17","240..255","255,0,255","index_probe"
"merchant_male_riding","18","24..63","0,255,255","index_probe"
"merchant_male_riding","19","64..103","255,255,0","index_probe"
"merchant_male_riding","20","104..143","0,255,0","index_probe"
"»óÀÎ_¿©","2","0..15","255,0,255","index_probe"
"»óÀÎ_¿©","3","16..31","255,0,255","index_probe"
"»óÀÎ_¿©","4","32..47","255,0,255","index_probe"
"»óÀÎ_¿©","5","48..63","255,0,255","index_probe"
"»óÀÎ_¿©","6","64..79","255,0,255","index_probe"
"»óÀÎ_¿©","7","80..95","255,0,255","index_probe"
"»óÀÎ_¿©","8","96..111","255,0,255","index_probe"
"»óÀÎ_¿©","9","112..127","255,0,255","index_probe"
"»óÀÎ_¿©","10","128..143","255,0,255","index_probe"
"»óÀÎ_¿©","11","144..159","255,0,255","index_probe"
"»óÀÎ_¿©","12","160..175","255,0,255","index_probe"
"»óÀÎ_¿©","13","176..191","255,0,255","index_probe"
"»óÀÎ_¿©","14","192..207","255,0,255","index_probe"
"»óÀÎ_¿©","15","208..223","255,0,255","index_probe"
"»óÀÎ_¿©","16","224..239","255,0,255","index_probe"
"»óÀÎ_¿©","17","240..255","255,0,255","index_probe"
"»óÀÎ_¿©","18","24..63","0,255,255","index_probe"
"»óÀÎ_¿©","19","64..103","255,255,0","index_probe"
"»óÀÎ_¿©","20","104..143","0,255,0","index_probe"
"»óÀÎ_³²","2","0..15","255,0,255","index_probe"
"»óÀÎ_³²","3","16..31","255,0,255","index_probe"
"»óÀÎ_³²","4","32..47","255,0,255","index_probe"
"»óÀÎ_³²","5","48..63","255,0,255","index_probe"
"»óÀÎ_³²","6","64..79","255,0,255","index_probe"
"»óÀÎ_³²","7","80..95","255,0,255","index_probe"
"»óÀÎ_³²","8","96..111","255,0,255","index_probe"
"»óÀÎ_³²","9","112..127","255,0,255","index_probe"
"»óÀÎ_³²","10","128..143","255,0,255","index_probe"
"»óÀÎ_³²","11","144..159","255,0,255","index_probe"
"»óÀÎ_³²","12","160..175","255,0,255","index_probe"
"»óÀÎ_³²","13","176..191","255,0,255","index_probe"
"»óÀÎ_³²","14","192..207","255,0,255","index_probe"
"»óÀÎ_³²","15","208..223","255,0,255","index_probe"
"»óÀÎ_³²","16","224..239","255,0,255","index_probe"
"»óÀÎ_³²","17","240..255","255,0,255","index_probe"
"»óÀÎ_³²","18","24..63","0,255,255","index_probe"
"»óÀÎ_³²","19","64..103","255,255,0","index_probe"
"»óÀÎ_³²","20","104..143","0,255,0","index_probe"
