"Dest","Source","Mapping"
"arch_mage_female_riding","¿ö·Ï_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"arch_mage_male","¿ö·Ï_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"arch_mage_male_riding","¿ö·Ï_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"arch_mage_riding_³²","¿ö·Ï_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"arch_mage_riding_¿©","¿ö·Ï_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"arch_mage_³²","¿ö·Ï_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"arch_mage_¿©","¿ö·Ï_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"archer_female","±Ã¼ö_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"archer_male","±Ã¼ö_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"bard_female","¹«Èñ_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"bard_male","¹Ùµå_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"biolo_female","Á¦³×¸¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"biolo_female_riding","Á¦³×¸¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"biolo_male","Á¦³×¸¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"biolo_male_riding","Á¦³×¸¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"biolo_riding_³²","Á¦³×¸¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"biolo_riding_¿©","Á¦³×¸¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"biolo_³²","Á¦³×¸¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"biolo_¿©","Á¦³×¸¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"cardinal_female","¾ÆÅ©ºñ¼ó_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"cardinal_female_riding","¾ÆÅ©ºñ¼ó_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"cardinal_legacy_female","¼ºÁ¦_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"cardinal_legacy_female_riding","¼ºÁ¦_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"cardinal_legacy_male","¼ºÁ¦_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"cardinal_legacy_male_riding","¼ºÁ¦_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"cardinal_male","¾ÆÅ©ºñ¼ó_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"cardinal_male_riding","¾ÆÅ©ºñ¼ó_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"cardinal_riding_³²","¾ÆÅ©ºñ¼ó_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"cardinal_riding_¿©","¾ÆÅ©ºñ¼ó_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"cardinal_³²","¾ÆÅ©ºñ¼ó_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"cardinal_¿©","¾ÆÅ©ºñ¼ó_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"cart_summoner_³²","cart_summoner_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"cart_summoner_¿©","cart_summoner_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"cartsummoner_³²","cartsummoner_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"cartsummoner_¿©","cartsummoner_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"champion_female","Ã¨ÇÇ¿Â_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"champion_female_riding","Ã¨ÇÇ¿Â_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"champion_male","Ã¨ÇÇ¿Â_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"champion_male_riding","Ã¨ÇÇ¿Â_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"clown_male","Å©¶ó¿î_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"creator_female","Å©¸®¿¡ÀÌÅÍ_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"creator_female_riding","Å©¸®¿¡ÀÌÅÍ_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"creator_male","Å©¸®¿¡ÀÌÅÍ_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"creator_male_riding","Å©¸®¿¡ÀÌÅÍ_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"crusader_female","Å©·ç_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"crusader_male","Å©·ç_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dancer_female","¹«Èñ_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dancer_female_riding","¹«Èñ_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dancer_male","¹Ùµå_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dog_guillotine_cross_female","±æ·ÎÆ¾Å©·Î½º_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dog_guillotine_cross_male","±æ·ÎÆ¾Å©·Î½º_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dog_rogue_female","·Î±×_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dog_rogue_male","·Î±×_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dog_shadow_chaser_female","½¦µµ¿ìÃ¼ÀÌ¼­_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dog_shadow_chaser_male","½¦µµ¿ìÃ¼ÀÌ¼­_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dog_stalker_female","½ºÅäÄ¿_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dog_stalker_male","½ºÅäÄ¿_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dog_thief_female","µµµÏ_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dog_thief_male","µµµÏ_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dragon_knight_chicken_³²","·é³ªÀÌÆ®_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dragon_knight_chicken_¿©","·é³ªÀÌÆ®_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dragon_knight_female","·é³ªÀÌÆ®_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dragon_knight_female_riding","·é³ªÀÌÆ®_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dragon_knight_male","·é³ªÀÌÆ®_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dragon_knight_male_riding","·é³ªÀÌÆ®_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dragon_knight_riding_³²","·é³ªÀÌÆ®_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dragon_knight_riding_¿©","·é³ªÀÌÆ®_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dragon_knight_³²","·é³ªÀÌÆ®_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"dragon_knight_¿©","·é³ªÀÌÆ®_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"elemetal_master_female","¼Ò¼­·¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"elemetal_master_female_riding","¼Ò¼­·¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"elemetal_master_male","¼Ò¼­·¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"elemetal_master_male_riding","¼Ò¼­·¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"elemetal_master_riding_³²","¼Ò¼­·¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"elemetal_master_riding_¿©","¼Ò¼­·¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"elemetal_master_³²","¼Ò¼­·¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"elemetal_master_¿©","¼Ò¼­·¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"frog_kagerou_male","kagerou_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"frog_kagerou_³²","kagerou_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"frog_ninja_female","´ÑÀÚ_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"frog_ninja_male","´ÑÀÚ_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"frog_oboro_female","oboro_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"frog_oboro_¿©","oboro_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"frog_soul_linker_female","¼Ò¿ï¸µÄ¿_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"frog_soul_linker_male","¼Ò¿ï¸µÄ¿_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"genetic_female","Á¦³×¸¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"genetic_female_riding","Á¦³×¸¯_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"genetic_male","Á¦³×¸¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"genetic_male_riding","Á¦³×¸¯_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"guillotine_cross_female","±æ·ÎÆ¾Å©·Î½º_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"guillotine_cross_male","±æ·ÎÆ¾Å©·Î½º_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"gunslinger_female","°Ç³Ê_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"gunslinger_male","°Ç³Ê_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"high_priest_female","ÇÏÀÌÇÁ¸®½ºÆ®_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"high_priest_female_riding","ÇÏÀÌÇÁ¸®½ºÆ®_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"high_priest_male","ÇÏÀÌÇÁ¸®½ºÆ®_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"high_priest_male_riding","ÇÏÀÌÇÁ¸®½ºÆ®_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"high_wizard_female","ÇÏÀÌÀ§Àúµå_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"high_wizard_male","ÇÏÀÌÀ§Àúµå_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"hunter_female","ÇåÅÍ_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"hunter_male","ÇåÅÍ_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"hyper_novice_female","½´ÆÛ³ëºñ½º_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"hyper_novice_female_riding","½´ÆÛ³ëºñ½º_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"hyper_novice_male","½´ÆÛ³ëºñ½º_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"hyper_novice_male_riding","½´ÆÛ³ëºñ½º_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"hyper_novice_riding_³²","½´ÆÛ³ëºñ½º_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"hyper_novice_riding_¿©","½´ÆÛ³ëºñ½º_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"hyper_novice_³²","½´ÆÛ³ëºñ½º_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"hyper_novice_¿©","½´ÆÛ³ëºñ½º_¿©","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
"imperial_guard_chicken_³²","·Î¾â°¡µå_³²","1=0,2=20,3=2,4=3,5=4,6=100,7=5,8=6,9=7,10=180,11=8,12=9,13=10,14=11,15=12,16=13,17=14,18=15,19=16,20=17"
