"Base","Status","OldCount","OldMin","OldMax","NewCount","NewMin","NewMax","OldHas520","NewHas520","OldHas699","NewHas699"
"»çÀÚÅ©·ç¼¼ÀÌ´õ_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"»çÀÚÅ©·ç¼¼ÀÌ´õ_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"»çÀÚÆÈ¶óµò_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"»çÀÚÆÈ¶óµò_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"»óÀÎ_¿©","both","700","0","699","700","0","699","True","True","True","True"
"»óÀÎ_³²","both","700","0","699","700","0","699","True","True","True","True"
"»óÀÎ¸äµÅÁö_¿©","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"»óÀÎ¸äµÅÁö_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"°¡µå_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"°¡µå_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"°áÈ¥_¿©","both","700","0","699","700","0","699","True","True","True","True"
"°áÈ¥_³²","both","700","0","699","700","0","699","True","True","True","True"
"°Ç³Ê_¿©","both","700","0","699","700","0","699","True","True","True","True"
"°Ç³Ê_³²","both","700","0","699","700","0","699","True","True","True","True"
"°Ë»ç_¿©","both","700","0","699","700","0","699","True","True","True","True"
"°Ë»ç_³²","both","700","0","699","700","0","699","True","True","True","True"
"°Ë»çÆäÄÚ_¿©","both","700","0","699","700","0","699","True","True","True","True"
"°Ë»çÆäÄÚ_³²","both","700","0","699","700","0","699","True","True","True","True"
"µµµÏ_¿©","both","700","0","699","700","0","699","True","True","True","True"
"µµµÏ_³²","both","700","0","699","700","0","699","True","True","True","True"
"µÎ²¨ºñ´ÑÀÚ_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"µÎ²¨ºñ´ÑÀÚ_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"µÎ²¨ºñ¼Ò¿ï¸µÄ¿_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"µÎ²¨ºñ¼Ò¿ï¸µÄ¿_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"·¹ÀÎÀú_¿©","both","700","0","699","700","0","699","True","True","True","True"
"·¹ÀÎÀú_³²","both","700","0","699","700","0","699","True","True","True","True"
"·éµå·¡°ï_¿©","both","700","0","699","700","0","699","True","True","True","True"
"·éµå·¡°ï_³²","both","700","0","699","700","0","699","True","True","True","True"
"·é³ªÀÌÆ®_¿©","both","700","0","699","700","0","699","True","True","True","True"
"·é³ªÀÌÆ®_³²","both","700","0","699","700","0","699","True","True","True","True"
"·é³ªÀÌÆ®»Ú¶ì_¿©","missing_in_meurag","4","4","7","0",,,"False","False","False","False"
"·é³ªÀÌÆ®»Ú¶ì_³²","missing_in_meurag","4","4","7","0",,,"False","False","False","False"
"·Î±×_¿©","both","700","0","699","700","0","699","True","True","True","True"
"·Î±×_³²","both","700","0","699","700","0","699","True","True","True","True"
"·Îµå³ªÀÌÆ®_¿©","both","700","0","699","700","0","699","True","True","True","True"
"·Îµå³ªÀÌÆ®_³²","both","700","0","699","700","0","699","True","True","True","True"
"·ÎµåÆäÄÚ_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"·ÎµåÆäÄÚ_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"·Î¾â°¡µå_¿©","both","700","0","699","700","0","699","True","True","True","True"
"·Î¾â°¡µå_³²","both","700","0","699","700","0","699","True","True","True","True"
"·Îº¸_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"·Îº¸_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"¼¼ÀÌÁö_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¼¼ÀÌÁö_³²","both","700","0","699","700","0","699","True","True","True","True"
"¼Ò¿ï¸®ÆÛ_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¼Ò¿ï¸®ÆÛ_³²","both","700","0","699","700","0","699","True","True","True","True"
"¼Ò¿ï¸µÄ¿_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¼Ò¿ï¸µÄ¿_³²","both","700","0","699","700","0","699","True","True","True","True"
"¼Ò¼­·¯_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¼Ò¼­·¯_³²","both","700","0","699","700","0","699","True","True","True","True"
"¼ºÁ¦_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¼ºÁ¦_¿©_Å»°Í","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"¼ºÁ¦_³²","both","700","0","699","700","0","699","True","True","True","True"
"¼ºÁ¦_³²_Å»°Í","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"¼ºÁ¦À¶ÇÕ_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"¼ºÁ¦À¶ÇÕ_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"¼ºÁ÷ÀÚ_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¼ºÁ÷ÀÚ_³²","both","700","0","699","700","0","699","True","True","True","True"
"¼ºÅõ»ç_¿©","both","698","0","699","700","0","699","True","True","True","True"
"¼ºÅõ»ç_³²","both","698","0","699","700","0","699","True","True","True","True"
"¼ºÅõ»ç2_¿©","both","698","0","699","700","0","699","True","True","True","True"
"¼ºÅõ»ç2_³²","both","698","0","699","700","0","699","True","True","True","True"
"½¦µµ¿ìÃ¼ÀÌ¼­_¿©","both","700","0","699","700","0","699","True","True","True","True"
"½¦µµ¿ìÃ¼ÀÌ¼­_³²","both","700","0","699","700","0","699","True","True","True","True"
"½´¶ó_¿©","both","700","0","699","700","0","699","True","True","True","True"
"½´¶ó_³²","both","700","0","699","700","0","699","True","True","True","True"
"½´¶ó¾ËÆÄÄ«_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"½´¶ó¾ËÆÄÄ«_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"½´ÆÛ³ëºñ½º_¿©","both","700","0","699","700","0","699","True","True","True","True"
"½´ÆÛ³ëºñ½º_³²","both","700","0","699","700","0","699","True","True","True","True"
"½´ÆÛ³ëºñ½ºÆ÷¸µ_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"½´ÆÛ³ëºñ½ºÆ÷¸µ_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"½ÅÆäÄÚÅ©·ç¼¼ÀÌ´õ_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"½ÅÆäÄÚÅ©·ç¼¼ÀÌ´õ_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"½º³ªÀÌÆÛ_¿©","both","700","0","699","700","0","699","True","True","True","True"
"½º³ªÀÌÆÛ_³²","both","700","0","699","700","0","699","True","True","True","True"
"½ºÅäÄ¿_¿©","both","700","0","699","700","0","699","True","True","True","True"
"½ºÅäÄ¿_³²","both","700","0","699","700","0","699","True","True","True","True"
"¾ÆÅ©ºñ¼ó_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¾ÆÅ©ºñ¼ó_³²","both","700","0","699","700","0","699","True","True","True","True"
"¾ÆÅ©ºñ¼ó¾ËÆÄÄ«_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"¾ÆÅ©ºñ¼ó¾ËÆÄÄ«_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"¾î»õ½Å_³²","both","700","0","699","700","0","699","True","True","True","True"
"¾î¼¼½Å_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¾î¼¼½Å_³²","both","700","0","699","700","0","699","True","True","True","True"
"¾î¼¼½ÅÅ©·Î½º_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¾î¼¼½ÅÅ©·Î½º_³²","both","700","0","699","700","0","699","True","True","True","True"
"¹«Èñ_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¹«Èñ_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"¹«Èñ¹ÙÁö_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"¹Î½ºÆ®·²_¿©","both","4","0","3","700","0","699","False","True","False","True"
"¹Î½ºÆ®·²_³²","both","700","0","699","700","0","699","True","True","True","True"
"¹ÌÄÉ´Ð_¸¶µµ±â¾î_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"¹ÌÄÉ´Ð_¸¶µµ±â¾î_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"¹ÌÄÉ´Ð_¿©","both","700","0","699","700","0","699","True","True","True","True"
"¹ÌÄÉ´Ð_³²","both","700","0","699","700","0","699","True","True","True","True"
"¹ÌÄÉ´Ð¸äµÅÁö_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"¹ÌÄÉ´Ð¸äµÅÁö_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"¹Ùµå_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"¹Ùµå_³²","both","700","0","699","700","0","699","True","True","True","True"
"³ëºñ½ºÆ÷¸µ_¿©","missing_in_meurag","9","0","8","0",,,"False","False","False","False"
"³ëºñ½ºÆ÷¸µ_³²","missing_in_meurag","9","0","8","0",,,"False","False","False","False"
"Á¦³×¸¯_¿©","both","700","0","699","700","0","699","True","True","True","True"
"Á¦³×¸¯_³²","both","700","0","699","700","0","699","True","True","True","True"
"Á¦³×¸¯¸äµÅÁö_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"Á¦³×¸¯¸äµÅÁö_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"Á¦Ã¶°ø_¿©","both","700","0","699","700","0","699","True","True","True","True"
"Á¦Ã¶°ø_³²","both","700","0","699","700","0","699","True","True","True","True"
"Á¦Ã¶°ø¸äµÅÁö_¿©","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"Á¦Ã¶°ø¸äµÅÁö_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"Ã¨ÇÇ¿Â_¿©","both","700","0","699","700","0","699","True","True","True","True"
"Ã¨ÇÇ¿Â_³²","both","700","0","699","700","0","699","True","True","True","True"
"Ã¨ÇÇ¿Â¾ËÆÄÄ«_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"Ã¨ÇÇ¿Â¾ËÆÄÄ«_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"Å¸Á¶¿ø´õ·¯_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"Å¸Á¶±Ã¼ö_¿©","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"Å¸Á¶±Ã¼ö_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"Å¸Á¶·¹ÀÎÁ®_¿©","both","700","0","699","700","0","699","True","True","True","True"
"'Å¸Á¶·¹ÀÎÁ®_¿©","both","4","0","3","700","0","699","False","True","False","True"
"Å¸Á¶·¹ÀÎÁ®_³²","both","700","0","699","700","0","699","True","True","True","True"
"'Å¸Á¶·¹ÀÎÁ®_³²","both","4","0","3","700","0","699","False","True","False","True"
"Å¸Á¶½º³ªÀÌÆÛ_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"Å¸Á¶½º³ªÀÌÆÛ_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"Å¸Á¶¹«Èñ_¿©","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"Å¸Á¶¹«Èñ_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"Å¸Á¶¹Î½ºÆ®·²_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"Å¸Á¶¹Ùµå_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"Å¸Á¶¹Ùµå_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"Å¸Á¶Â¤½Ã_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"Å¸Á¶Â¤½Ã_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"Å¸Á¶Å©¶ó¿î_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"Å¸Á¶Å©¶ó¿î_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"Å¸Á¶ÇåÅÍ_¿©","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"Å¸Á¶ÇåÅÍ_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"À§Àúµå_¿©","both","700","0","699","700","0","699","True","True","True","True"
"À§Àúµå_³²","both","700","0","699","700","0","699","True","True","True","True"
"Å©¸®¿¡ÀÌÅÍ_¿©","both","700","0","699","700","0","699","True","True","True","True"
"Å©¸®¿¡ÀÌÅÍ_³²","both","700","0","699","700","0","699","True","True","True","True"
"Å©¸®¿¡ÀÌÅÍ¸äµÅÁö_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"Å©¸®¿¡ÀÌÅÍ¸äµÅÁö_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"Å©¶ó¿î_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"Å©¶ó¿î_³²","both","700","0","699","700","0","699","True","True","True","True"
"Å©·ç_¿©","both","700","0","699","700","0","699","True","True","True","True"
"Å©·ç_³²","both","700","0","699","700","0","699","True","True","True","True"
"ÅÂ±Ç¼Ò³â_¿©","both","700","0","699","700","0","699","True","True","True","True"
"ÅÂ±Ç¼Ò³â_³²","both","700","0","699","700","0","699","True","True","True","True"
"ÅÂ±Ç¼Ò³âÆ÷¸µ_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"ÅÂ±Ç¼Ò³âÆ÷¸µ_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"abyss_chaser_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"abyss_chaser_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"abyss_chaser_riding_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"abyss_chaser_riding_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"ÆäÄÚ°Ç³Ê_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"ÆäÄÚ°Ç³Ê_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"ÆäÄÚ°Ë»ç_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"ÆäÄÚ°Ë»ç_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"ÆäÄÚ·Î³ª_¿©","both","700","0","699","700","0","699","True","True","True","True"
"ÆäÄÚ·Î³ª_³²","both","700","0","699","700","0","699","True","True","True","True"
"ÆäÄÚÆäÄÚ_±â»ç_¿©","both","700","0","699","700","0","699","True","True","True","True"
"ÆäÄÚÆäÄÚ_±â»ç_³²","both","700","0","699","700","0","699","True","True","True","True"
"ÆäÄÚÆäÄÚ_Å©·ç_¿©","both","700","0","699","700","0","699","True","True","True","True"
"ÆäÄÚÆäÄÚ_Å©·ç_³²","both","700","0","699","700","0","699","True","True","True","True"
"ÆäÄÚÆÈ¶ó_¿©","both","700","0","699","700","0","699","True","True","True","True"
"ÆäÄÚÆÈ¶ó_³²","both","700","0","699","700","0","699","True","True","True","True"
"ÆäÄÚÆÈ¶óµò_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"ÆäÄÚÆÈ¶óµò_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"ÆÈ¶óµò_¿©","both","700","0","699","700","0","699","True","True","True","True"
"ÆÈ¶óµò_³²","both","700","0","699","700","0","699","True","True","True","True"
"ÃÊº¸ÀÚ_¿©","both","700","0","699","700","0","699","True","True","True","True"
"ÃÊº¸ÀÚ_³²","both","700","0","699","700","0","699","True","True","True","True"
"ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"ÄÌº£·Î½ºµµµÏ_¿©","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"ÄÌº£·Î½ºµµµÏ_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"ÄÌº£·Î½º·Î±×_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"ÄÌº£·Î½º·Î±×_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"ÄÌº£·Î½º½ºÅäÄ¿_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"ÄÌº£·Î½º½ºÅäÄ¿_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"ÄÌº£·Î½º¾î½ê½Å_¿©","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"ÄÌº£·Î½º¾î½ê½Å_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"ÄÌº£·Î½º¾î½ê½ÅÅ©·Î½º_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"ÄÌº£·Î½º¾î½ê½ÅÅ©·Î½º_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"arch_mage_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"arch_mage_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"arch_mage_riding_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"arch_mage_riding_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"Áý½Ã_¿©","both","700","0","699","700","0","699","True","True","True","True"
"Áý½Ã_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"biolo_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"biolo_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"biolo_riding_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"biolo_riding_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"ÇÁ¸®½ºÆ®_¿©","both","700","0","699","700","0","699","True","True","True","True"
"ÇÁ¸®½ºÆ®_³²","both","700","0","699","700","0","699","True","True","True","True"
"ÇÁ¸®½ºÆ®¾ËÆÄÄ«_¿©","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"ÇÁ¸®½ºÆ®¾ËÆÄÄ«_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"ÇÁ·ÎÆä¼­_¿©","both","700","0","699","700","0","699","True","True","True","True"
"ÇÁ·ÎÆä¼­_³²","both","700","0","699","700","0","699","True","True","True","True"
"ÇåÅÍ_¿©","both","700","0","699","700","0","699","True","True","True","True"
"ÇåÅÍ_³²","both","700","0","699","700","0","699","True","True","True","True"
"cardinal_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"cardinal_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"cardinal_riding_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"cardinal_riding_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"cart_summoner_¿©","both","700","0","699","700","0","699","True","True","True","True"
"cart_summoner_³²","both","700","0","699","700","0","699","True","True","True","True"
"cartsummoner_¿©","both","700","0","699","700","0","699","True","True","True","True"
"cartsummoner_³²","both","699","0","699","700","0","699","True","True","True","True"
"ÇÏÀÌÀ§Àúµå_¿©","both","700","0","699","700","0","699","True","True","True","True"
"ÇÏÀÌÀ§Àúµå_³²","both","700","0","699","700","0","699","True","True","True","True"
"ÇÏÀÌÇÁ¸®½ºÆ®_¿©","both","700","0","699","700","0","699","True","True","True","True"
"ÇÏÀÌÇÁ¸®½ºÆ®_³²","both","700","0","699","700","0","699","True","True","True","True"
"ÇÏÀÌÇÁ¸®½ºÆ®¾ËÆÄÄ«_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"ÇÏÀÌÇÁ¸®½ºÆ®¾ËÆÄÄ«_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"ÇØÅÂ¼Ò¿ï¸®ÆÛ_¿©","both","700","0","699","700","0","699","True","True","True","True"
"ÇØÅÂ¼Ò¿ï¸®ÆÛ_²","both","1","3","3","700","0","699","False","True","False","True"
"ÇØÅÂ¼Ò¿ï¸®ÆÛ_³²","both","700","0","699","700","0","699","True","True","True","True"
"ÇØÅÂ¼ºÁ¦_¿©","both","700","0","699","700","0","699","True","True","True","True"
"ÇØÅÂ¼ºÁ¦_³²","both","700","0","699","700","0","699","True","True","True","True"
"dancer_b_riding_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"dragon_knight_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"dragon_knight_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"dragon_knight_chicken_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"dragon_knight_chicken_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"dragon_knight_riding_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"dragon_knight_riding_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"È­ÀÌÆ®½º¹Ì½º_¿©","both","700","0","699","700","0","699","True","True","True","True"
"È­ÀÌÆ®½º¹Ì½º_³²","both","700","0","699","700","0","699","True","True","True","True"
"È­ÀÌÆ®½º¹Ì½º¸äµÅÁö_¿©","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
"È­ÀÌÆ®½º¹Ì½º¸äµÅÁö_³²","missing_in_meurag","4","0","3","0",,,"False","False","False","False"
