Base,Colors,Sources
genetic_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
guillotine_cross_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
guillotine_cross_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
gunslinger_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
gunslinger_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
high_priest_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
high_priest_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
high_priest_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
high_priest_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
high_wizard_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
high_wizard_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
hunter_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
hunter_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
hyper_novice_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
hyper_novice_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
hyper_novice_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
hyper_novice_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
hyper_novice_riding_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
hyper_novice_riding_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
hyper_novice_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
hyper_novice_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
imperial_guard_chicken_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
imperial_guard_chicken_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
imperial_guard_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
imperial_guard_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
imperial_guard_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
imperial_guard_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
imperial_guard_riding_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
imperial_guard_riding_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
imperial_guard_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
imperial_guard_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
inquisitor_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
inquisitor_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
inquisitor_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
inquisitor_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
inquisitor_riding_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
inquisitor_riding_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
inquisitor_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
inquisitor_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
kagerou_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
kagerou_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
knight_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
knight_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
lion_crusader_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
lion_crusader_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
lion_knight_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
lion_knight_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
lion_lord_knight_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
lion_lord_knight_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
lion_paladin_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
lion_paladin_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
lion_royal_guard_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
lion_royal_guard_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
lion_rune_knight_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
lion_rune_knight_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
lord_knight_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
lord_knight_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
magician_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
magician_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
mechanic_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
mechanic_female_madogear,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
mechanic_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
mechanic_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
mechanic_male_madogear,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
mechanic_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
meister_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
meister_female_madogear1,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
meister_female_madogear2,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
meister_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
meister_madogear1_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
meister_madogear1_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
meister_madogear2_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
meister_madogear2_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
meister_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
meister_male_madogear1,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
meister_male_madogear2,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
meister_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
meister_riding_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
meister_riding_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
meister_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
meister_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
merchant_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
merchant_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
merchant_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
merchant_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
minstrel_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
monk_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
monk_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
monk_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
monk_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
new_peco_crusader_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
new_peco_crusader_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
night_watch_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
night_watch_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
night_watch_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
night_watch_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
night_watch_riding_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
night_watch_riding_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
night_watch_³²,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
night_watch_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
ninja_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
ninja_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
oboro_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
oboro_¿©,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
ostrich_archer_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
ostrich_archer_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
ostrich_bard_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
ostrich_bard_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
ostrich_clown_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
ostrich_dancer_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
ostrich_dancer_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
ostrich_hunter_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
ostrich_hunter_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
ostrich_minstrel_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
ostrich_sniper_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
ostrich_sniper_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
ostrich_wanderer_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
paladin_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
paladin_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
peco_gunslinger_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
peco_gunslinger_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
peco_paladin_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
peco_paladin_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
peco_swordman_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
peco_swordman_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
priest_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
priest_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
priest_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
priest_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
professor_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
professor_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
rebellion_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
rebellion_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
rebellion_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
rebellion_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
rogue_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
rogue_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
royal_guard_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
royal_guard_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
rune_knight_female,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
rune_knight_female_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
rune_knight_male,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
rune_knight_male_riding,1..20,"41,65,89,111,135,166,185,225,249,316,390,412,452,481,569,603,623,645,663,688"
