"Base","Missing","SourceNumber","Source","Created"
"cardinal_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\cardinal_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\cardinal_riding_³²_8.pal"
"cardinal_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\cardinal_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\cardinal_riding_¿©_8.pal"
"cardinal_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\cardinal_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\cardinal_³²_8.pal"
"cardinal_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\cardinal_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\cardinal_¿©_8.pal"
"dancer_b_riding_¿©","4","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dancer_b_riding_¿©_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dancer_b_riding_¿©_4.pal"
"dancer_b_riding_¿©","5","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dancer_b_riding_¿©_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dancer_b_riding_¿©_5.pal"
"dancer_b_riding_¿©","6","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dancer_b_riding_¿©_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dancer_b_riding_¿©_6.pal"
"dancer_b_riding_¿©","7","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dancer_b_riding_¿©_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dancer_b_riding_¿©_7.pal"
"dancer_b_riding_¿©","8","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dancer_b_riding_¿©_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dancer_b_riding_¿©_8.pal"
"dragon_knight_chicken_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dragon_knight_chicken_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dragon_knight_chicken_³²_8.pal"
"dragon_knight_chicken_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dragon_knight_chicken_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dragon_knight_chicken_¿©_8.pal"
"dragon_knight_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dragon_knight_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dragon_knight_riding_³²_8.pal"
"dragon_knight_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dragon_knight_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dragon_knight_riding_¿©_8.pal"
"dragon_knight_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dragon_knight_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dragon_knight_³²_8.pal"
"dragon_knight_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dragon_knight_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\dragon_knight_¿©_8.pal"
"elemetal_master_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\elemetal_master_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\elemetal_master_riding_³²_8.pal"
"elemetal_master_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\elemetal_master_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\elemetal_master_riding_¿©_8.pal"
"elemetal_master_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\elemetal_master_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\elemetal_master_³²_8.pal"
"elemetal_master_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\elemetal_master_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\elemetal_master_¿©_8.pal"
"frog_kagerou_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\frog_kagerou_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\frog_kagerou_³²_8.pal"
"frog_oboro_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\frog_oboro_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\frog_oboro_¿©_8.pal"
"hanbok_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\hanbok_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\hanbok_³²_8.pal"
"hanbok_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\hanbok_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\hanbok_¿©_8.pal"
"hyper_novice_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\hyper_novice_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\hyper_novice_riding_³²_8.pal"
"hyper_novice_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\hyper_novice_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\hyper_novice_riding_¿©_8.pal"
"hyper_novice_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\hyper_novice_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\hyper_novice_³²_8.pal"
"hyper_novice_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\hyper_novice_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\hyper_novice_¿©_8.pal"
"imperial_guard_chicken_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\imperial_guard_chicken_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\imperial_guard_chicken_³²_8.pal"
"imperial_guard_chicken_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\imperial_guard_chicken_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\imperial_guard_chicken_¿©_8.pal"
"imperial_guard_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\imperial_guard_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\imperial_guard_riding_³²_8.pal"
"imperial_guard_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\imperial_guard_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\imperial_guard_riding_¿©_8.pal"
"imperial_guard_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\imperial_guard_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\imperial_guard_³²_8.pal"
"imperial_guard_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\imperial_guard_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\imperial_guard_¿©_8.pal"
"inquisitor_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\inquisitor_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\inquisitor_riding_³²_8.pal"
"inquisitor_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\inquisitor_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\inquisitor_riding_¿©_8.pal"
"inquisitor_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\inquisitor_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\inquisitor_³²_8.pal"
"inquisitor_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\inquisitor_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\inquisitor_¿©_8.pal"
"meister_madogear1_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\meister_madogear1_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\meister_madogear1_³²_8.pal"
"meister_madogear1_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\meister_madogear1_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\meister_madogear1_¿©_8.pal"
"meister_madogear2_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\meister_madogear2_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\meister_madogear2_³²_8.pal"
"meister_madogear2_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\meister_madogear2_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\meister_madogear2_¿©_8.pal"
"meister_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\meister_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\meister_riding_³²_8.pal"
"meister_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\meister_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\meister_riding_¿©_8.pal"
"meister_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\meister_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\meister_³²_8.pal"
"meister_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\meister_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\meister_¿©_8.pal"
"night_watch_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\night_watch_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\night_watch_riding_³²_8.pal"
"night_watch_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\night_watch_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\night_watch_riding_¿©_8.pal"
"night_watch_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\night_watch_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\night_watch_³²_8.pal"
"night_watch_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\night_watch_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\night_watch_¿©_8.pal"
"oktoberfest_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\oktoberfest_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\oktoberfest_³²_8.pal"
"oktoberfest_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\oktoberfest_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\oktoberfest_¿©_8.pal"
"peco_rebellion_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\peco_rebellion_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\peco_rebellion_³²_8.pal"
"peco_rebellion_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\peco_rebellion_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\peco_rebellion_¿©_8.pal"
"santa_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\santa_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\santa_³²_8.pal"
"santa_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\santa_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\santa_¿©_8.pal"
"shadow_cross_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\shadow_cross_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\shadow_cross_riding_³²_8.pal"
"shadow_cross_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\shadow_cross_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\shadow_cross_riding_¿©_8.pal"
"shadow_cross_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\shadow_cross_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\shadow_cross_³²_8.pal"
"shadow_cross_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\shadow_cross_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\shadow_cross_¿©_8.pal"
"shinkiro_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\shinkiro_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\shinkiro_riding_³²_8.pal"
"shinkiro_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\shinkiro_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\shinkiro_³²_8.pal"
"shiranui_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\shiranui_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\shiranui_riding_¿©_8.pal"
"shiranui_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\shiranui_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\shiranui_¿©_8.pal"
"sky_emperor2_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\sky_emperor2_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\sky_emperor2_³²_8.pal"
"sky_emperor2_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\sky_emperor2_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\sky_emperor2_¿©_8.pal"
"sky_emperor_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\sky_emperor_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\sky_emperor_riding_³²_8.pal"
"sky_emperor_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\sky_emperor_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\sky_emperor_riding_¿©_8.pal"
"sky_emperor_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\sky_emperor_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\sky_emperor_³²_8.pal"
"sky_emperor_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\sky_emperor_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\sky_emperor_¿©_8.pal"
"soul_ascetic_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\soul_ascetic_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\soul_ascetic_riding_³²_8.pal"
"soul_ascetic_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\soul_ascetic_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\soul_ascetic_riding_¿©_8.pal"
"soul_ascetic_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\soul_ascetic_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\soul_ascetic_³²_8.pal"
"soul_ascetic_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\soul_ascetic_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\soul_ascetic_¿©_8.pal"
"summer2_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\summer2_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\summer2_³²_8.pal"
"summer2_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\summer2_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\summer2_¿©_8.pal"
"summer_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\summer_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\summer_³²_8.pal"
"summer_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\summer_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\summer_¿©_8.pal"
"troubadour_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\troubadour_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\troubadour_riding_³²_8.pal"
"troubadour_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\troubadour_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\troubadour_³²_8.pal"
"trouvere_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\trouvere_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\trouvere_riding_¿©_8.pal"
"trouvere_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\trouvere_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\trouvere_¿©_8.pal"
"windhawk_riding_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\windhawk_riding_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\windhawk_riding_³²_8.pal"
"windhawk_riding_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\windhawk_riding_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\windhawk_riding_¿©_8.pal"
"windhawk_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\windhawk_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\windhawk_³²_8.pal"
"windhawk_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\windhawk_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\windhawk_¿©_8.pal"
"wolf_windhawk_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\wolf_windhawk_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\wolf_windhawk_³²_8.pal"
"wolf_windhawk_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\wolf_windhawk_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\wolf_windhawk_¿©_8.pal"
"°¡µå_³²","4","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_³²_4.pal"
"°¡µå_³²","5","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_³²_5.pal"
"°¡µå_³²","6","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_³²_6.pal"
"°¡µå_³²","7","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_³²_7.pal"
"°¡µå_³²","8","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_³²_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_³²_8.pal"
"°¡µå_¿©","4","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_¿©_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_¿©_4.pal"
"°¡µå_¿©","5","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_¿©_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_¿©_5.pal"
"°¡µå_¿©","6","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_¿©_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_¿©_6.pal"
"°¡µå_¿©","7","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_¿©_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_¿©_7.pal"
"°¡µå_¿©","8","3","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_¿©_3.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\°¡µå_¿©_8.pal"
"±Ç¼ºÀ¶ÇÕ_³²","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\±Ç¼ºÀ¶ÇÕ_³²_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\±Ç¼ºÀ¶ÇÕ_³²_8.pal"
"±Ç¼ºÀ¶ÇÕ_¿©","8","7","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\±Ç¼ºÀ¶ÇÕ_¿©_7.pal","C:\Users\wesley\Desktop\MeuRag\data\palette\¸ö\±Ç¼ºÀ¶ÇÕ_¿©_8.pal"
