Base,TargetGroup,Count,Indices,Samples
sorcerer_female,neutral_shadow,12,"53,77,93,78,94,79,127,95,126,117,205,125","53:0(81,70,178)=>162(81,116,95); 77:0(96,122,197)=>162(122,160,136); 93:0(102,92,158)=>162(122,160,136); 78:0(87,105,171)=>162(99,128,108); 94:0(81,65,126)=>162(99,128,108); 79:0(78,81,145)=>162(76,97,81); 127:0(107,103,137)=>162(76,97,81); 95:0(59,37,92)=>162(76,97,81); 126:0(123,123,153)=>162(99,128,108); 117:0(79,73,109)=>162(81,116,95)"
sorcerer_female,white_main,11,"176,177,178,89,73,0,72,121,1,88,120","176:0(0,0,0)=>162(245,250,255); 177:0(0,0,0)=>162(228,237,250); 178:0(0,0,0)=>162(212,225,245); 89:0(198,202,236)=>162(212,247,242); 73:0(178,227,253)=>162(212,247,242); 0:0(211,248,200)=>162(237,247,228); 72:0(200,251,255)=>162(237,255,255); 121:0(215,223,238)=>162(212,247,242); 1:0(255,255,255)=>162(238,255,255); 88:0(229,240,255)=>162(237,255,255)"
sorcerer_female,green_trim,9,"51,52,92,76,115,116,203,204,124","51:0(122,126,233)=>162(126,181,155); 52:0(102,98,203)=>162(102,148,126); 92:0(124,116,184)=>162(141,190,164); 76:0(115,151,218)=>162(141,190,164); 115:0(111,114,153)=>162(126,181,155); 116:0(95,94,131)=>162(102,148,126); 203:0(153,135,163)=>162(126,181,155); 204:0(130,111,136)=>162(102,148,126); 124:0(155,163,184)=>162(141,190,164)"
elemetal_master_male,neutral_shadow,53,"210,211,163,16,24,32,56,80,104,144,152,184,164,212,17,33,57,81,105,145,153,185,25,213,165,18,34,58,82,106,146,154","210:0(0,0,0)=>162(193,167,175); 211:0(0,0,0)=>162(167,139,149); 163:0(0,0,0)=>162(153,135,163); 16:0(0,0,0)=>162(137,137,137); 24:0(0,0,0)=>162(137,137,137); 32:0(0,0,0)=>162(137,137,137); 56:0(0,0,0)=>162(137,137,137); 80:0(0,0,0)=>162(137,137,137); 104:0(0,0,0)=>162(137,137,137); 144:0(0,0,0)=>162(137,137,137)"
elemetal_master_male,dark_shadow,48,"230,127,247,126,15,20,36,60,84,108,148,156,188,14,28,231,54,215,55,2,3,4,5,6,7,63,21,37,61,85,109,149","230:0(0,0,0)=>162(24,34,143); 127:0(107,103,133)=>162(37,55,41); 247:0(0,0,0)=>162(41,52,103); 126:0(123,123,150)=>162(59,84,64); 15:0(83,83,130)=>162(37,55,41); 20:0(0,0,0)=>162(60,60,60); 36:0(0,0,0)=>162(60,60,60); 60:0(0,0,0)=>162(60,60,60); 84:0(0,0,0)=>162(60,60,60); 108:0(0,0,0)=>162(60,60,60)"
elemetal_master_male,cyan_white_main,22,"240,224,241,225,112,114,113,50,75,202,74,1,200,201,122,49,121,10,120,9,48,8","240:0(0,0,0)=>162(203,255,255); 224:0(0,0,0)=>162(163,229,255); 241:0(0,0,0)=>162(172,222,255); 225:0(0,0,0)=>162(139,197,251); 112:0(162,179,222)=>162(192,255,255); 114:0(127,134,175)=>162(150,214,192); 113:0(143,155,195)=>162(171,230,222); 50:0(146,152,244)=>162(150,214,192); 75:0(133,179,238)=>162(166,224,197); 202:0(176,159,189)=>162(150,214,192)"
elemetal_master_male,other,15,"179,180,242,226,243,181,227,228,244,182,245,229,183,246,174","179:0(0,0,0)=>162(195,212,240); 180:0(0,0,0)=>162(179,200,235); 242:0(0,0,0)=>162(140,192,255); 226:0(0,0,0)=>162(114,165,247); 243:0(0,0,0)=>162(113,161,235); 181:0(0,0,0)=>162(147,160,200); 227:0(0,0,0)=>162(89,133,242); 228:0(0,0,0)=>162(71,100,237); 244:0(0,0,0)=>162(92,133,207); 182:0(0,0,0)=>162(115,121,165)"
elemetal_master_male,green_trim,11,"51,52,124,76,115,123,12,11,116,203,204","51:0(122,126,233)=>162(126,181,155); 52:0(102,98,203)=>162(102,148,126); 124:0(155,163,184)=>162(102,148,126); 76:0(115,151,218)=>162(141,190,164); 115:0(111,114,153)=>162(126,181,155); 123:0(175,183,202)=>162(126,181,155); 12:0(131,153,186)=>162(102,148,126); 11:0(148,176,209)=>162(126,181,155); 116:0(95,94,131)=>162(102,148,126); 203:0(153,135,163)=>162(126,181,155)"
elemetal_master_male,white_main,9,"176,208,177,178,160,209,0,73,72","176:0(0,0,0)=>162(245,250,255); 208:0(0,0,0)=>162(255,237,237); 177:0(0,0,0)=>162(228,237,250); 178:0(0,0,0)=>162(212,225,245); 160:0(0,0,0)=>162(220,209,240); 209:0(0,0,0)=>162(224,204,206); 0:0(0,255,0)=>162(237,247,228); 73:0(178,227,253)=>162(212,247,242); 72:0(200,251,255)=>162(237,255,255)"
elemetal_master_male,purple_belt,3,"161,162,167","161:0(0,0,0)=>162(199,184,214); 162:0(0,0,0)=>162(176,159,189); 167:0(0,0,0)=>162(59,39,56)"
elemetal_master_female,other,70,"179,180,226,242,210,227,243,211,181,228,244,18,34,58,82,106,146,154,162,186,26,212,182,19,35,59,83,107,147,155,163,187","179:0(0,0,0)=>162(195,212,240); 180:0(0,0,0)=>162(179,200,235); 226:0(0,0,0)=>162(140,192,255); 242:0(0,0,0)=>162(140,192,255); 210:0(1,1,2)=>162(140,192,255); 227:0(0,0,0)=>162(113,161,235); 243:0(0,0,0)=>162(113,161,235); 211:0(1,2,3)=>162(113,161,235); 181:0(0,0,0)=>162(147,160,200); 228:0(0,0,0)=>162(92,133,207)"
elemetal_master_female,cyan_white_main,41,"208,224,240,16,24,32,56,80,104,144,152,160,184,225,241,209,17,33,57,81,105,145,153,161,185,25,112,91,114,113,50,90","208:0(0,0,0)=>162(203,255,255); 224:0(0,0,0)=>162(203,255,255); 240:0(0,0,0)=>162(203,255,255); 16:0(0,0,0)=>162(182,225,255); 24:0(0,0,0)=>162(182,225,255); 32:0(0,0,0)=>162(182,225,255); 56:0(0,0,0)=>162(182,225,255); 80:0(0,0,0)=>162(182,225,255); 104:0(0,0,0)=>162(182,225,255); 144:0(0,0,0)=>162(182,225,255)"
elemetal_master_female,dark_shadow,25,"231,247,215,23,31,39,63,87,111,151,159,167,191,54,2,3,4,5,6,7,55,206,118,207,119","231:0(0,0,0)=>162(41,52,103); 247:0(0,0,0)=>162(41,52,103); 215:0(4,5,8)=>162(41,52,103); 23:0(0,0,0)=>162(28,46,78); 31:0(0,0,0)=>162(28,46,78); 39:0(0,0,0)=>162(28,46,78); 63:0(0,0,0)=>162(28,46,78); 87:0(0,0,0)=>162(28,46,78); 111:0(0,0,0)=>162(28,46,78); 151:0(0,0,0)=>162(28,46,78)"
elemetal_master_female,neutral_shadow,12,"53,77,93,78,94,79,127,95,126,117,205,125","53:0(81,70,178)=>162(81,116,95); 77:0(96,122,197)=>162(122,160,136); 93:0(102,92,158)=>162(122,160,136); 78:0(87,105,171)=>162(99,128,108); 94:0(81,65,126)=>162(99,128,108); 79:0(78,81,145)=>162(76,97,81); 127:0(107,103,137)=>162(76,97,81); 95:0(59,37,92)=>162(76,97,81); 126:0(123,123,153)=>162(99,128,108); 117:0(79,73,109)=>162(81,116,95)"
elemetal_master_female,white_main,11,"176,177,178,89,73,0,72,121,1,88,120","176:0(0,0,0)=>162(245,250,255); 177:0(0,0,0)=>162(228,237,250); 178:0(0,0,0)=>162(212,225,245); 89:0(198,202,236)=>162(212,247,242); 73:0(178,227,253)=>162(212,247,242); 0:0(211,248,200)=>162(237,247,228); 72:0(200,251,255)=>162(237,255,255); 121:0(215,223,238)=>162(212,247,242); 1:0(255,255,255)=>162(238,255,255); 88:0(229,240,255)=>162(237,255,255)"
elemetal_master_female,green_trim,9,"51,52,92,76,115,116,203,204,124","51:0(122,126,233)=>162(126,181,155); 52:0(102,98,203)=>162(102,148,126); 92:0(124,116,184)=>162(141,190,164); 76:0(115,151,218)=>162(141,190,164); 115:0(111,114,153)=>162(126,181,155); 116:0(95,94,131)=>162(102,148,126); 203:0(153,135,163)=>162(126,181,155); 204:0(130,111,136)=>162(102,148,126); 124:0(155,163,184)=>162(141,190,164)"
